10 500000 0.95 gpomdp sample_bernstein 30000000

1 4000  0.01 188.3345
2 4000  0.01 193.0495
3 4000  0.01 195.0515
4 4000  0.01 193.1035
5 4000  0.01 193.8655
6 4000  0.01 191.3375
7 4000  0.01 191.09975
8 4000  0.01 189.61
9 4000  0.01 192.4065
10 4000  0.01 189.218
11 4000  0.01 194.438
12 4000  0.01 194.7225
13 4000  0.01 196.119
14 4000  0.01 195.74
15 4000  0.01 196.005
16 4000  0.01 195.84925
17 4000  0.01 195.68675
18 4000  0.01 196.069
19 4000  0.01 196.04125
20 4000  0.01 195.66725
21 4000  0.01 195.49775
22 4000  0.01 193.93375
23 4000  0.01 194.358
24 4000  0.01 193.628
25 4000  0.01 192.9155
26 4000  0.01 193.33375
27 4000  0.01 193.16475
28 4000  0.01 194.3745
29 4000  0.01 193.78175
30 4000  0.01 194.83475
31 4000  0.01 194.70875
32 4000  0.01 193.81475
33 4000  0.01 192.11625
34 4000  0.01 194.692
35 4000  0.01 192.86975
36 4000  0.01 193.975
37 4000  0.01 193.2935
38 4000  0.01 193.16725
39 4000  0.01 191.82
40 4000  0.01 193.816
41 4000  0.01 191.5055
42 4000  0.01 191.2385
43 4000  0.01 190.58375
44 4000  0.01 194.98025
45 4000  0.01 194.86725
46 4000  0.01 194.705
47 4000  0.01 193.86625
48 4000  0.01 194.42825
49 4000  0.01 194.072
50 4000  0.01 193.47875
51 4000  0.01 192.834
52 4000  0.01 193.306
53 4000  0.01 193.0055
54 4000  0.01 193.993
55 4000  0.01 193.601
56 4000  0.01 194.41725
57 4000  0.01 192.96425
58 4000  0.01 193.06125
59 4000  0.01 192.20525
60 4000  0.01 194.25975
61 4000  0.01 193.3995
62 4000  0.01 193.99325
63 4000  0.01 193.28575
64 4000  0.01 191.086
65 4000  0.01 192.43075
66 4000  0.01 193.1995
67 4000  0.01 192.539
68 4000  0.01 193.5975
69 4000  0.01 192.8235
70 4000  0.01 193.86225
71 4000  0.01 193.07325
72 4000  0.01 193.13725
73 4000  0.01 192.368
74 4000  0.01 194.828
75 4000  0.01 193.51325
76 4000  0.01 194.1355
77 4000  0.01 194.797
78 4000  0.01 194.71675
79 4000  0.01 194.086
80 4000  0.01 193.9725
81 4000  0.01 194.19325
82 4000  0.01 195.0315
83 4000  0.01 194.61625
84 4000  0.01 195.1785
85 4000  0.01 194.949
86 4000  0.01 194.73875
87 4000  0.01 194.61175
88 4000  0.01 193.6275
89 4000  0.01 191.49075
90 4000  0.01 194.3245
91 4000  0.01 192.98075
92 4000  0.01 193.566
93 4000  0.01 192.83925
94 4000  0.01 193.796
95 4000  0.01 191.04425
96 4000  0.01 194.4065
97 4000  0.01 194.1055
98 4000  0.01 194.404
99 4000  0.01 193.144
100 4000  0.01 193.8215
101 4000  0.01 193.00475
102 4000  0.01 193.508
103 4000  0.01 192.759
104 4000  0.01 193.72275
105 4000  0.01 192.2405
106 4000  0.01 195.62575
107 4000  0.01 195.71875
108 4000  0.01 195.8775
109 4000  0.01 195.69275
110 4000  0.01 194.85275
111 4000  0.01 192.588
112 4000  0.01 192.78275
113 4000  0.01 192.27525
114 4000  0.01 193.49825
115 4000  0.01 193.43725
116 4000  0.01 195.338
117 4000  0.01 194.778
118 4000  0.01 194.49125
119 4000  0.01 192.872
120 4000  0.01 193.78275
121 4000  0.01 191.624
122 4000  0.01 194.7095
123 4000  0.01 193.18725
124 4000  0.01 192.9095
125 4000  0.01 191.1555
126 4000  0.01 193.073
127 4000  0.01 192.4955
128 4000  0.01 194.08825
129 4000  0.01 193.98325
130 4000  0.01 194.042
131 4000  0.01 192.96125
132 4000  0.01 193.35625
133 4000  0.01 192.508
134 4000  0.01 195.07075
135 4000  0.01 195.067
136 4000  0.01 195.24825
137 4000  0.01 194.84575
138 4000  0.01 194.785
139 4000  0.01 193.55
140 4000  0.01 193.33475
141 4000  0.01 192.50675
142 4000  0.01 191.98475
143 4000  0.01 190.65825
144 4000  0.01 191.7315
145 4000  0.01 191.448
146 4000  0.01 193.08475
147 4000  0.01 192.87675
148 4000  0.01 194.41725
149 4000  0.01 194.126
150 4000  0.01 195.807
151 4000  0.01 195.5135
152 4000  0.01 195.8065
153 4000  0.01 194.566
154 4000  0.01 195.2415
155 4000  0.01 194.30375
156 4000  0.01 194.09
157 4000  0.01 194.804
158 4000  0.01 195.29725
159 4000  0.01 194.376
160 4000  0.01 192.40775
161 4000  0.01 191.8995
162 4000  0.01 192.68425
163 4000  0.01 192.4975
164 4000  0.01 191.1765
165 4000  0.01 191.7685
166 4000  0.01 193.9625
167 4000  0.01 192.979
168 4000  0.01 193.3945
