100 100000 0.95 reinforce cheb_reinforce 30000000

1 100 0 1.6744653289e-05 -56.6666666667 -11.7103176118
2 17063 -0.000147211191922 1.74208837461e-05 -56.5301332148 -12.1173372299
3 15025 -0.000310424774861 1.63782568656e-05 -56.3796250518 -12.1108379221
4 14705 -0.000465528618154 1.62244522049e-05 -56.2374329554 -12.1193175773
5 14619 -0.000619631834982 1.66770550122e-05 -56.0969596176 -12.1849484372
6 13881 -0.000782187409336 1.61656344558e-05 -55.949639822 -12.1413010948
7 13882 -0.000939752730292 1.59505668038e-05 -55.807676379 -12.2115587036
8 14189 -0.00109352858879 1.58160145569e-05 -55.6699118228 -12.1245792135
9 14703 -0.00124332178519 1.60320028443e-05 -55.536454289 -12.1644064407
10 14905 -0.00139412759929 1.63790675327e-05 -55.4028252914 -12.1837843053
11 14587 -0.00154986867112 1.64964731346e-05 -55.2655864209 -12.1647043464
12 14107 -0.00170937340669 1.54243256675e-05 -55.1258281859 -12.0929353766
13 15211 -0.00185299310258 1.64625745645e-05 -55.0006729636 -12.1257209624
14 14761 -0.00200860323871 1.61313419725e-05 -54.8657950089 -12.1304489927
15 14814 -0.00216081044951 1.62964904155e-05 -54.7345914 -12.1188049901
16 14620 -0.00231559195064 1.64555480515e-05 -54.6018977806 -12.1556218138
17 14197 -0.00247419186343 1.52672408051e-05 -54.4666869604 -12.1156955969
18 15555 -0.00261476941765 1.66110769153e-05 -54.3474755605 -12.0899154521
19 14869 -0.0027712107795 1.5703615188e-05 -54.2155072533 -12.1140177483
20 15584 -0.00291567158567 1.70642410964e-05 -54.0942911733 -12.0385488516
21 14228 -0.00307996167564 1.59149399762e-05 -53.9571840186 -12.1230442568
22 14596 -0.00323124310567 1.58681373957e-05 -53.8316310627 -12.1237099572
23 15045 -0.00337981255454 1.65329916901e-05 -53.7089748583 -12.0826632174
24 14496 -0.00353751009777 1.57326855559e-05 -53.5794774671 -12.1227477776
25 15149 -0.00368430516549 1.65733310607e-05 -53.4595709 -12.1507939279
26 14536 -0.00384216643387 1.65750188237e-05 -53.3313060933 -12.1426356075
27 13946 -0.00400335212959 1.61935208801e-05 -53.2010624432 -12.1129213951
28 13908 -0.00416104394496 1.55697713165e-05 -53.0743424655 -12.0422955864
29 14777 -0.00430813526904 1.5723829355e-05 -52.9567605076 -12.1187055846
30 15456 -0.00445338069908 1.65966052386e-05 -52.8412363975 -12.1173109624
31 14796 -0.00461007056228 1.66222001037e-05 -52.7172535271 -12.0872915069
32 14127 -0.00477067222614 1.6035320635e-05 -52.5908633987 -12.0921720626
33 14316 -0.00492457947991 1.65022902922e-05 -52.470389957 -12.1033480055
34 13836 -0.00508569112725 1.51950351126e-05 -52.3449514702 -12.086413733
35 15272 -0.00522689726556 1.59281541252e-05 -52.2355738478 -12.1029252576
36 15646 -0.00537313565567 1.69106330925e-05 -52.122848279 -12.0806071744
37 14509 -0.00553436390533 1.57462497334e-05 -51.9992117613 -12.0983886824
38 15141 -0.0056813209292 1.67360652412e-05 -51.88710268 -12.0985682778
39 14291 -0.0058420951686 1.60998819615e-05 -51.7650854784 -12.111240275
40 14388 -0.0059962370717 1.54893126018e-05 -51.6487176995 -12.0594092077
41 15412 -0.00613951935619 1.66445074702e-05 -51.5410848783 -12.0615411456
42 14682 -0.00629726822532 1.65871936073e-05 -51.4231782846 -12.1033707783
