100 100000 0.95 reinforce hoeffding 20000000

1 100 0 3.481331871e-05 -56.6666666667 -12.0373193791
2 100000 -0.000262219397746 1.80419668834e-05 -56.4239834545 -12.1349121198
3 82679 -0.000436736580319 1.58435417704e-05 -56.2637668037 -12.1360557587
4 85431 -0.000587499880112 1.62489134399e-05 -56.1261840326 -12.1216178192
5 84716 -0.000742771670782 1.59670368522e-05 -55.9852807345 -12.1464209699
6 86445 -0.000893816438551 1.65212241907e-05 -55.8489797841 -12.1300512788
7 83386 -0.00105294409435 1.60042720992e-05 -55.7061956991 -12.136715821
8 84767 -0.00120583240538 1.60463973199e-05 -55.5697871764 -12.1419923994
9 85803 -0.0013581947346 1.62062819542e-05 -55.4345991762 -12.1312883009
10 85454 -0.00151238924727 1.62949711564e-05 -55.298542732 -12.1257765437
11 84344 -0.00166844435219 1.60816232762e-05 -55.1616137088 -12.1328052228
12 85070 -0.00182179747974 1.63538770106e-05 -55.0278030428 -12.1158145257
13 83464 -0.00197923947417 1.5776071842e-05 -54.8911890594 -12.1246202116
14 86835 -0.00212814199353 1.64251030404e-05 -54.7626917055 -12.134283165
15 84583 -0.00228522074268 1.60765997841e-05 -54.6278772177 -12.118743004
16 85354 -0.00243827020025 1.6024725125e-05 -54.4972444451 -12.1159113056
17 86587 -0.00258973594491 1.64367422016e-05 -54.3686607857 -12.1300358951
18 84242 -0.00274724388507 1.56296399592e-05 -54.2356775493 -12.1264171377
19 88958 -0.00289299311945 1.65144297897e-05 -54.1132796847 -12.114227268
20 85869 -0.00304973853639 1.62373394591e-05 -53.9823471066 -12.1078733274
21 85250 -0.00320441266244 1.60708053359e-05 -53.8538498772 -12.1299010585
22 86078 -0.00335676245836 1.62987348755e-05 -53.7279628413 -12.1125013211
23 84927 -0.00351231650009 1.6081367807e-05 -53.6001180483 -12.098678045
24 85660 -0.00366513794913 1.59528244691e-05 -53.4751925079 -12.0902479833
25 87534 -0.00381510618951 1.61283596461e-05 -53.3532430987 -12.1036693439
