100 100000 0.95 reinforce iter_bernstein 20000000

1 100 0 2.55281976083e-08 -56.6666666667 -12.3454999893
2 753 -2.30519895579e-07 1.01957248919e-06 -56.6664522841 -12.2621833302
3 834 -8.85963818192e-06 1.12887293538e-06 -56.6584285575 -12.0661882195
4 671 -2.04988136383e-05 9.70299093112e-07 -56.6476100185 -12.0926256488
5 724 -2.9776993927e-05 9.66117903284e-07 -56.6389893549 -12.2085845733
6 790 -3.82370543651e-05 1.0031102329e-06 -56.6311314188 -12.2043683291
7 805 -4.6857119877e-05 1.06933971382e-06 -56.623127401 -12.0629426277
8 765 -5.65901645204e-05 1.10939928222e-06 -56.6140930195 -12.1525236883
9 811 -6.63720294211e-05 1.19639766209e-06 -56.605016606 -12.2088595308
10 869 -7.64094776026e-05 1.1408672478e-06 -56.5957064619 -12.0573703646
11 619 -8.90897690269e-05 9.52451727501e-07 -56.5839499222 -12.0206625969
12 743 -9.807271641e-05 1.0100561751e-06 -56.5756247191 -12.3697817613
13 647 -0.000108684250492 1.0039453233e-06 -56.5657937454 -12.349220766
14 706 -0.00011864332394 1.07322985815e-06 -56.5565707528 -12.3342657956
15 718 -0.000129183930923 1.12186464514e-06 -56.5468129125 -12.2053317556
16 754 -0.000139829284961 9.34139107849e-07 -56.5369619681 -12.1251541276
17 714 -0.000148661948077 1.06120911313e-06 -56.5287913886 -12.1965438003
18 709 -0.000159182465163 1.05419453067e-06 -56.5190629588 -12.1657091124
19 759 -0.00016897476614 1.04481588922e-06 -56.5100113204 -12.0504037413
20 713 -0.000179148907762 8.92460846442e-07 -56.5006101956 -12.1033149184
21 678 -0.000187988073672 1.00127791798e-06 -56.4924454886 -12.1587480763
22 710 -0.000197828788055 1.02168183393e-06 -56.4833587939 -12.2161001333
23 715 -0.000207741864167 9.53961684873e-07 -56.4742086245 -12.1920060536
24 644 -0.000217765383691 7.45874233349e-07 -56.4649599204 -12.0949132427
25 839 -0.000223709448562 1.21725835598e-06 -56.4594769486 -12.1311166886
26 795 -0.000234754098823 1.08382403118e-06 -56.4492922518 -12.1598379826
27 662 -0.000246029092078 9.40468430783e-07 -56.4388994335 -12.1154428151
28 642 -0.000255963300277 9.13079163753e-07 -56.4297460818 -12.1875977509
29 745 -0.000264398697185 1.13855625031e-06 -56.4219763671 -12.4485765534
30 758 -0.000275150716684 1.06483508107e-06 -56.4120763552 -12.2200201769
31 741 -0.000285223115407 1.10324836597e-06 -56.4028056747 -12.1692949395
32 777 -0.000295361115406 1.21323094676e-06 -56.393478095 -12.1139271764
33 758 -0.000306959839447 9.65671651579e-07 -56.3828108399 -12.0393455962
34 733 -0.000315931426628 1.04877468971e-06 -56.3745628732 -12.3721883834
35 775 -0.000325468461914 1.05564290663e-06 -56.365798059 -12.063769646
36 744 -0.000335370228449 1.13631271424e-06 -56.3567013083 -12.2021510571
37 755 -0.000346135856196 9.85704315628e-07 -56.3468146976 -12.2108194156
38 767 -0.000354985093297 8.70476220225e-07 -56.3386909423 -11.9966429339
39 782 -0.000362473304915 1.06127026689e-06 -56.3318187024 -12.0756243996
40 686 -0.000373121290689 9.70886627739e-07 -56.3220498741 -11.7625814247
41 777 -0.00038185427911 1.09171516e-06 -56.3140407915 -12.0854914425
42 671 -0.000393159274832 1.10867332287e-06 -56.3036767309 -12.0684886508
43 835 -0.000402897952751 1.08212097645e-06 -56.2947520813 -12.1803109519
44 735 -0.000413138667974 8.93226918281e-07 -56.2853708113 -12.1442049742
45 718 -0.000421493827811 1.16532353864e-06 -56.2777194735 -12.1972963191
46 717 -0.000433154973077 9.95630372369e-07 -56.2670445749 -12.090397141
47 747 -0.000442384705083 1.02345931057e-06 -56.2585987005 -12.1793697025
48 745 -0.000451920485434 1.0393024475e-06 -56.2498757831 -12.2612650207
49 699 -0.00046222919783 1.02100785431e-06 -56.2404492643 -12.2912219336
50 771 -0.000471553534984 1.01140494487e-06 -56.2319259598 -12.14075855
51 681 -0.000481668968276 9.21314112683e-07 -56.2226828266 -12.082422868
52 857 -0.000489193054818 1.03310076257e-06 -56.2158098069 -12.0947861044
53 892 -0.00049729455122 1.16008310678e-06 -56.2084114674 -12.177691094
54 730 -0.000508414044251 1.00236184862e-06 -56.1982606618 -12.2002027653
55 718 -0.000518039251074 1.15934899387e-06 -56.1894773163 -12.0648815991
56 805 -0.000528562360769 1.12928518457e-06 -56.1798781581 -12.3716984943
57 762 -0.000539032772539 1.08306266087e-06 -56.1703307549 -12.0774509598
58 763 -0.000549055319835 1.13974288131e-06 -56.1611951756 -12.2572423009
59 806 -0.000559235250844 9.56311093776e-07 -56.1519195838 -12.2281082976
60 746 -0.000567935238594 1.11436619234e-06 -56.1439952122 -12.1401201867
61 765 -0.000578303262375 9.3200565007e-07 -56.1345548186 -12.2555032509
62 757 -0.000586664524717 9.51375209611e-07 -56.1269442586 -12.1802999842
63 924 -0.00059390001829 1.1350004387e-06 -56.1203602774 -12.1599343066
64 833 -0.00060350016351 1.08101369693e-06 -56.1116272663 -12.1642910365
65 678 -0.000614430900016 9.49487525174e-07 -56.1016875955 -12.1908519126
66 689 -0.000623836362905 9.23647848044e-07 -56.0931380961 -12.1138584552
67 828 -0.000631602998109 1.12165522609e-06 -56.0860805031 -12.1399578066
68 726 -0.000642381432076 1.41547821104e-06 -56.0762893999 -12.1636567049
69 661 -0.00065837961861 9.7174936692e-07 -56.0617638205 -12.1965524596
70 731 -0.000667617651478 1.21224551554e-06 -56.0533800138 -12.148284786
71 805 -0.000678726785526 1.14868881326e-06 -56.0433018833 -12.2036328081
72 784 -0.000689189303383 1.25849926514e-06 -56.0338141103 -12.330789655
73 852 -0.00070014974112 1.23616045012e-06 -56.0238787073 -12.1433365931
74 770 -0.000711704016475 1.0021417993e-06 -56.0134093224 -12.0249088898
75 751 -0.000720879965626 9.72683040943e-07 -56.0050981069 -12.1543659223
76 873 -0.000728679240769 1.10229878596e-06 -55.9980360246 -12.2475080923
77 704 -0.000739451524256 1.13117906002e-06 -55.9882852611 -12.3852623182
78 810 -0.000749628703647 1.02154804762e-06 -55.9790767013 -12.2918762179
79 658 -0.000760178090717 8.01941380697e-07 -55.9695349794 -11.9655544303
80 751 -0.000767314964402 1.1136478677e-06 -55.9630819007 -11.9096343224
81 610 -0.000779998465688 9.36432523796e-07 -55.9516177836 -12.2099821948
82 650 -0.000789903310375 8.43209253653e-07 -55.9426688836 -12.1603439444
83 773 -0.000797326775178 8.80934607927e-07 -55.9359640038 -12.075991424
84 818 -0.000804614408347 1.24924794213e-06 -55.929383578 -12.3620906621
85 694 -0.00081750501048 9.33997764069e-07 -55.9177482009 -12.2279605412
86 714 -0.000826449133342 9.54059368385e-07 -55.9096782358 -12.01558001
87 824 -0.000834497201166 1.26729453306e-06 -55.9024190045 -12.2635450939
88 743 -0.000846869394712 8.52019869961e-07 -55.8912636432 -11.9639512502
89 876 -0.000853484966392 1.15651799163e-06 -55.8853007967 -11.9461724355
90 814 -0.000863546324675 1.19917745741e-06 -55.8762349044 -12.0577050164
91 768 -0.00087475931068 1.00671415272e-06 -55.8661352515 -12.2926790002
92 808 -0.000883421217474 1.15376652539e-06 -55.8583362134 -12.1485903113
93 1018 -0.00089184158015 1.21746935867e-06 -55.8507570222 -12.0436121082
94 829 -0.000902207288351 1.2268873617e-06 -55.8414300196 -12.385156986
95 716 -0.000914446280722 1.01073309249e-06 -55.83042199 -12.2416769721
96 740 -0.000923966892049 1.01426643438e-06 -55.8218623343 -12.169198928
97 769 -0.000933150192014 9.11705604252e-07 -55.8136087609 -12.0430453808
98 784 -0.000941045014556 1.09059352239e-06 -55.8065154286 -12.2043736842
99 651 -0.000952649269388 1.01886908085e-06 -55.7960929568 -12.2188046473
100 749 -0.000962256967476 1.17746951012e-06 -55.7874670489 -12.0276394848
101 736 -0.000973756424497 1.06856664141e-06 -55.7771466696 -12.181365668
102 628 -0.000985524363171 9.81235228105e-07 -55.7665898158 -12.0789727212
103 739 -0.000994846283331 8.28074395586e-07 -55.758230465 -12.0709301469
104 776 -0.00100196303538 1.07480034433e-06 -55.751850491 -12.0603444049
105 651 -0.00101332113561 8.55021912683e-07 -55.7416716911 -11.8122994897
106 774 -0.00102087155755 1.10905825088e-06 -55.7349075524 -12.0516065171
107 782 -0.00103096995603 9.45054816878e-07 -55.7258636852 -12.0183191915
108 808 -0.00103896989131 1.1689993097e-06 -55.718701509 -12.255193932
109 657 -0.00105141711259 8.28836916253e-07 -55.7075619178 -12.1828776251
110 774 -0.0010586377941 9.65661762311e-07 -55.701102111 -11.9584203245
111 709 -0.00106788022256 1.1430231862e-06 -55.6928360749 -12.2894921799
112 777 -0.00107850972032 1.16960878302e-06 -55.6833329403 -12.3505009392
113 791 -0.00108914379035 1.00711471944e-06 -55.6738293956 -12.2431579486
114 678 -0.00109926242016 1.08197126452e-06 -55.6647899072 -12.3025503254
115 786 -0.00110916379383 1.09366338453e-06 -55.6559477252 -12.2435279873
116 825 -0.00111860569502 9.83862108404e-07 -55.6475188295 -12.2238657703
117 763 -0.00112741270712 1.03764923676e-06 -55.6396593151 -12.0630852416
118 779 -0.00113671784739 9.66713735399e-07 -55.6313579972 -12.1202859409
119 681 -0.00114627537018 9.44634295921e-07 -55.6228344462 -12.1073778101
120 738 -0.00115507396183 8.78758932193e-07 -55.6149903394 -12.2420230936
121 785 -0.00116263154809 1.25615115001e-06 -55.6082546139 -12.1465036902
122 641 -0.00117664501191 1.0395991346e-06 -55.5957699582 -12.0098945455
123 833 -0.00118570673356 1.02275229054e-06 -55.5877002143 -12.1627175748
124 641 -0.00119644314863 1.04514400766e-06 -55.5781425409 -12.1859843637
125 742 -0.00120648114839 9.96989368117e-07 -55.5692099745 -12.1430468421
126 737 -0.00121579407355 9.53630504981e-07 -55.5609255447 -12.1040863455
127 707 -0.00122498303754 8.57586633709e-07 -55.5527541308 -12.0374051191
128 828 -0.0012320417933 1.14077732996e-06 -55.5464788848 -11.828108215
129 715 -0.00124319843578 1.1720182605e-06 -55.5365638881 -12.2430943272
130 766 -0.00125432046529 1.33118969846e-06 -55.5266836464 -12.1041798785
131 764 -0.00126726640205 9.64960869878e-07 -55.5151881583 -11.9630921761
132 672 -0.00127696616379 1.0392767012e-06 -55.5065786836 -12.0690550686
133 627 -0.0012884374755 9.78786461431e-07 -55.496400695 -12.1975221909
134 830 -0.00129690023195 1.14882398247e-06 -55.4888947774 -12.1112115084
135 811 -0.00130698063276 9.93933360793e-07 -55.4799571183 -12.1401325129
136 764 -0.00131588349413 1.12594453003e-06 -55.4720662245 -12.1139063733
137 836 -0.00132560897077 1.24329789044e-06 -55.463449129 -12.2620386619
138 723 -0.00133793579107 8.96156053595e-07 -55.4525315187 -12.1475359606
139 722 -0.00134627693692 1.07563695504e-06 -55.445146703 -12.2184347799
140 726 -0.00135669973898 1.01411328814e-06 -55.4359220322 -11.9117480258
141 793 -0.00136568842586 1.13372387336e-06 -55.4279694164 -12.0543066055
142 774 -0.00137610186798 1.02365808248e-06 -55.4187595034 -12.0457934728
143 807 -0.00138497916937 1.2573401721e-06 -55.4109109331 -12.1517270599
144 747 -0.00139717324417 1.0376331701e-06 -55.400134058 -11.8705014021
145 652 -0.00140811320132 9.3786581179e-07 -55.3904695925 -12.0225052594
146 743 -0.00141684688115 1.14797525337e-06 -55.3827569192 -12.1066578329
147 764 -0.00142765648519 1.19866994101e-06 -55.37321438 -12.068193279
148 649 -0.0014407481475 8.6443792848e-07 -55.3616622712 -12.0543183625
149 706 -0.00144899706457 1.12332909259e-06 -55.3543862181 -12.0824405507
150 747 -0.00145975715536 1.09898741556e-06 -55.3448984155 -12.0838598432
151 681 -0.00147102888783 1.24767743697e-06 -55.3349634249 -12.1966270858
152 747 -0.00148344581212 9.40118825683e-07 -55.3240237368 -12.0789851805
153 739 -0.00149210182539 1.17980634066e-06 -55.3164004283 -12.1438936779
154 713 -0.00150393892678 1.06960161997e-06 -55.3059794089 -12.1386994665
155 751 -0.00151399387975 1.23102473202e-06 -55.2971308368 -12.1153034917
156 875 -0.00152450105278 1.0746813022e-06 -55.2878877334 -12.0891431081
157 775 -0.00153411049875 1.06698394083e-06 -55.2794374247 -12.1220651341
158 730 -0.00154429961599 1.1760647844e-06 -55.2704805685 -12.104712374
159 626 -0.00155752533142 9.0876125486e-07 -55.2588592682 -12.3135698061
160 924 -0.0015645813447 1.12097500847e-06 -55.25266149 -12.0661131066
161 721 -0.00157531328756 1.20420117384e-06 -55.2432379159 -12.2258961812
162 798 -0.0015864335501 1.01721017265e-06 -55.2334772109 -12.1797933776
163 818 -0.00159507082043 1.15813500764e-06 -55.2258986292 -12.0206322604
164 809 -0.00160533571956 9.92354810753e-07 -55.2168949893 -12.173886948
165 642 -0.001615698321 9.99077902195e-07 -55.2078090308 -12.2507399313
166 689 -0.00162578882022 9.77094033705e-07 -55.1989649128 -11.97230086
167 741 -0.00163494116338 1.10101852273e-06 -55.1909458505 -12.123510287
168 822 -0.0016445421123 1.09977550999e-06 -55.1825365721 -12.2807152191
169 685 -0.00165562242129 1.04067888933e-06 -55.1728351666 -12.0543670522
170 689 -0.00166616125007 9.82291422454e-07 -55.1636114479 -12.1347827036
171 838 -0.00167446332134 1.0298418142e-06 -55.1563478328 -12.1694095948
172 802 -0.00168336394932 1.36024788903e-06 -55.1485629421 -12.1501286198
173 791 -0.0016962295951 9.87602136201e-07 -55.1373144758 -12.1539863996
174 829 -0.00170448004722 9.64876188541e-07 -55.1301038255 -12.1586576041
175 766 -0.00171301042811 1.21841258319e-06 -55.1226507765 -12.2421641956
176 675 -0.00172593404853 1.07650187279e-06 -55.1113636828 -12.2540994336
177 747 -0.00173619800757 1.01051095606e-06 -55.1024031938 -11.9668026334
178 858 -0.00174450770693 1.16750816286e-06 -55.0951512061 -12.0103799551
179 720 -0.00175588873123 1.07312072317e-06 -55.0852223473 -12.1033012646
180 702 -0.00176657769469 8.8858858636e-07 -55.0759009445 -12.2071539139
181 741 -0.0017746974565 1.00616677522e-06 -55.0688224296 -12.1289695975
182 720 -0.0017843254302 1.05468002905e-06 -55.0604317866 -12.0292331536
183 746 -0.00179424928824 9.85243091288e-07 -55.0517863222 -11.9818889493
184 679 -0.00180410623849 8.88492308705e-07 -55.0432021975 -12.2311056583
185 828 -0.0018115228746 1.0498061004e-06 -55.0367452734 -11.8639135594
186 714 -0.00182161078638 1.07973831506e-06 -55.027965497 -12.1004221483
187 803 -0.00183121917634 1.13234678917e-06 -55.019606018 -11.9165026638
188 751 -0.00184187607033 9.84100269495e-07 -55.0103376934 -12.2941111923
189 814 -0.00185031028552 9.82671878675e-07 -55.0030049508 -12.2356504095
190 878 -0.00185808155128 9.6461015558e-07 -54.996250544 -12.0851662105
191 827 -0.00186599768453 8.89261501526e-07 -54.9893721619 -11.9581047768
192 763 -0.00187376585047 1.04198811709e-06 -54.9826242487 -12.0937949223
193 819 -0.00188274507999 9.82320282238e-07 -54.9748266732 -12.2788155735
194 812 -0.00189108261426 1.22855787155e-06 -54.9675885953 -12.2915863955
195 716 -0.00190335719019 8.80281139132e-07 -54.9569365848 -12.1309749403
196 732 -0.00191147317864 9.71508522373e-07 -54.9498960163 -11.8802701286
197 720 -0.00192070624429 1.11659394924e-06 -54.9418888812 -12.0061430997
198 661 -0.0019325794682 8.77361494264e-07 -54.9315960323 -12.0830024377
199 710 -0.00194095423716 9.77423533188e-07 -54.9243386136 -12.1019658029
200 821 -0.00194928207258 1.0774962998e-06 -54.9171240261 -12.1434741865
201 760 -0.00195919176022 1.01856328264e-06 -54.9085418495 -12.1962584652
202 696 -0.0019692610854 9.83596080919e-07 -54.8998245408 -11.9414660266
203 733 -0.00197856442209 1.04270423875e-06 -54.8917731646 -12.1379288572
204 735 -0.00198846342842 9.71038673652e-07 -54.8832092237 -11.9103633627
205 700 -0.00199795858094 1.01559278761e-06 -54.8749975212 -11.8174151215
206 748 -0.0020074526465 9.72273565018e-07 -54.866789549 -12.066226417
207 695 -0.0020169625127 1.0507958763e-06 -54.8585707125 -12.1427394137
208 674 -0.0020278161084 1.22869060829e-06 -54.8491939841 -12.1978891427
209 681 -0.00204100772062 9.01536228933e-07 -54.8378022786 -12.2092661768
210 742 -0.00204928527016 1.0184923964e-06 -54.8306568895 -12.0205429501
211 676 -0.00205959987862 9.42006856301e-07 -54.8217560198 -11.9542454899
212 820 -0.00206764956962 1.06268649948e-06 -54.8148119144 -12.1262913658
213 829 -0.00207666684699 9.55621996677e-07 -54.8070354891 -12.0413884493
214 694 -0.00208591133787 8.59811531355e-07 -54.7990657186 -12.2880667075
215 798 -0.00209323206633 1.05350692147e-06 -54.7927563118 -12.3141692492
216 722 -0.00210335032342 1.13227013559e-06 -54.7840385577 -12.2677954328
217 690 -0.00211496580415 1.07682234967e-06 -54.7740347012 -12.3082648065
218 722 -0.00212554842749 8.67791471697e-07 -54.7649240086 -11.9406520043
219 892 -0.00213223134054 1.31722259129e-06 -54.7591723918 -12.3039746969
220 726 -0.00214530051013 1.16219384837e-06 -54.7479284406 -12.0470116503
221 894 -0.00215493147876 1.46806492789e-06 -54.7396458745 -12.0120478018
222 753 -0.00216950676441 1.09406784228e-06 -54.7271166447 -12.1152468701
223 697 -0.00218046188095 1.21362428754e-06 -54.71770368 -12.0902011827
224 715 -0.00219283870434 9.07121532851e-07 -54.7070735683 -11.9865181722
225 751 -0.00220103965798 1.08383992539e-06 -54.700032581 -12.064413258
226 680 -0.0022121404116 1.07926347526e-06 -54.69050523 -12.1106199404
227 852 -0.00222137207329 1.29955061516e-06 -54.6825849211 -12.2054122621
228 691 -0.00223490431482 1.15576425883e-06 -54.6709796386 -12.1698092598
229 671 -0.00224718828345 9.75954780002e-07 -54.6604497247 -12.4114912381
230 666 -0.0022572843446 9.92515376781e-07 -54.6517987533 -12.0839321304
231 838 -0.00226572127848 1.05748149594e-06 -54.6445718185 -11.9074916617
232 743 -0.00227556210161 1.10486870047e-06 -54.6361450804 -12.2876044149
233 737 -0.00228614621019 1.09723460009e-06 -54.6270851605 -12.2021166608
234 836 -0.00229560017135 1.06287842298e-06 -54.618995526 -12.2539661857
