100 100000 0.75 gpomdp cheb_gpomdp 30000000

1 100 0 4.33942536639e-06 -56.6666666667 -11.9557656322
2 4205 -4.02688874929e-05 1.69623895375e-05 -56.6292445636 -12.1468013548
3 3879 -0.000204154487902 1.59351589077e-05 -56.4775195304 -12.1860538846
4 3971 -0.000356317644439 1.57348715272e-05 -56.3374678665 -12.0660457899
5 4149 -0.000503314765004 1.69918521444e-05 -56.2029151962 -12.1243898166
6 3816 -0.000668836199491 1.59407649635e-05 -56.0522743549 -12.0533640777
7 3905 -0.000822347933783 1.57755537234e-05 -55.9133782752 -12.0224918623
8 4063 -0.000971272783741 1.64943211624e-05 -55.7793752881 -12.0720545908
9 3930 -0.00112959569515 1.65986241486e-05 -55.6377115719 -12.1393282121
10 3762 -0.00129245219875 1.54691591119e-05 -55.4928396081 -12.1251543466
11 4038 -0.00143893526609 1.64961537036e-05 -55.3632616351 -12.0819860686
12 3906 -0.00159777992689 1.56661938851e-05 -55.2235220699 -12.176187345
13 4110 -0.00174483415495 1.62596264008e-05 -55.0948663547 -12.1902563776
14 4072 -0.00189817341986 1.62368950269e-05 -54.9614345451 -12.1431959387
15 4043 -0.00205183385217 1.67332311457e-05 -54.8284573153 -12.1216329872
16 3817 -0.00221480870007 1.54010808203e-05 -54.6882157026 -12.1226455467
17 4126 -0.00235909210757 1.65088154068e-05 -54.5647367707 -12.1833873279
18 3985 -0.00251645531142 1.58866270078e-05 -54.4307845667 -12.1737972344
19 4100 -0.00266575551888 1.65612795961e-05 -54.3043852788 -12.0937520156
20 3939 -0.00282454035762 1.59500397816e-05 -54.1706868228 -12.0723595511
21 4027 -0.00297579540297 1.67746336205e-05 -54.0440232921 -12.0755778906
22 3786 -0.00313984163613 1.58780675657e-05 -53.9074081613 -12.0986231706
23 3899 -0.00329286631036 1.56306358122e-05 -53.7806786719 -12.1354337078
24 4117 -0.0034394532878 1.65226707818e-05 -53.6599155107 -12.1570097962
25 3971 -0.00359723141195 1.63132319796e-05 -53.5306213833 -12.1355478192
26 3913 -0.00375417176647 1.62693913564e-05 -53.4027164459 -12.0835390365
27 3873 -0.00391149585422 1.54213684714e-05 -53.2751964126 -12.011544596
28 4178 -0.00405506913908 1.64811435363e-05 -53.1594269661 -12.1645979842
29 4047 -0.00421096898433 1.5608532903e-05 -53.0343665548 -12.1054859702
30 4283 -0.00435448586086 1.65995273039e-05 -52.9198319052 -12.0859437647
31 4099 -0.00451050247869 1.60750932168e-05 -52.7959609235 -12.0323517814
32 4137 -0.00466089014289 1.650812166e-05 -52.6771845269 -12.128353524
33 3996 -0.00481803186704 1.61684377716e-05 -52.5537245115 -12.1589052901
34 3996 -0.00497195716371 1.57256013872e-05 -52.4334312393 -12.123071689
35 4179 -0.00511833845095 1.69399452773e-05 -52.319616431 -12.1560376111
36 3864 -0.00528232890849 1.59040326356e-05 -52.1927795918 -12.0896064757
37 3969 -0.0054342490604 1.56158330569e-05 -52.0759048056 -12.0508106349
38 4198 -0.0055792908798 1.63864111808e-05 -51.9648794572 -12.1884218924
39 4106 -0.00573318392483 1.59919528986e-05 -51.8476700518 -12.082278512
40 4180 -0.00588203676684 1.71242445804e-05 -51.7348743148 -12.0468669599
41 3793 -0.00604934697911 1.58500802293e-05 -51.6087617504 -12.1195544803
42 3917 -0.00620174416759 1.52711474609e-05 -51.4945020192 -12.0575600041
43 4290 -0.00634204156619 1.6589554071e-05 -51.3898259134 -12.084161927
44 4110 -0.00649775843552 1.66265336935e-05 -51.2742155721 -12.0574796372
45 3923 -0.00665750243677 1.60777072996e-05 -51.1562340879 -11.9586777359
46 3959 -0.00681127195353 1.5692598447e-05 -51.0432525347 -12.0075618069
47 4154 -0.00695778116628 1.56793469796e-05 -50.9361374447 -12.1213700108
48 4365 -0.00710059330652 1.6776199691e-05 -50.8322213588 -12.1130285404
49 4104 -0.00725818741223 1.58922306088e-05 -50.7181134885 -12.0895636235
50 4220 -0.00740540090765 1.65577762282e-05 -50.6120526804 -12.0098346696
51 4056 -0.00756185096215 1.61594572482e-05 -50.4998951847 -12.0420079346
52 4059 -0.00771447909672 1.60416410643e-05 -50.3910274178 -11.9861421234
53 4111 -0.00786503564309 1.62479391117e-05 -50.2841653705 -12.0429543825
54 4077 -0.00801815524864 1.6314138262e-05 -50.1760181051 -12.0869572323
55 4017 -0.00817305770562 1.59901333982e-05 -50.0671555285 -11.9895239459
56 4090 -0.0083235194742 1.61103234381e-05 -49.9619336916 -12.0104173752
57 4114 -0.00847467244756 1.60152897785e-05 -49.856740595 -12.043327509
58 4178 -0.00862377400907 1.6102059304e-05 -49.7534744297 -12.0796780769
59 4206 -0.00877318727942 1.61369550335e-05 -49.6504862415 -12.0628508782
60 4219 -0.00892268959283 1.5648653111e-05 -49.5479279808 -12.0579871425
61 4447 -0.00906389951821 1.69748065715e-05 -49.4515064529 -12.0549506386
62 4097 -0.00922348057406 1.65782721385e-05 -49.3430609879 -12.0125731126
63 3930 -0.00938262355392 1.59012068797e-05 -49.2354590593 -11.9957849076
64 4038 -0.00953321426709 1.57973527475e-05 -49.1341378382 -12.0149414299
65 4192 -0.00968003084667 1.64316903845e-05 -49.0358190249 -12.1046516262
66 4081 -0.00983481452032 1.5490862426e-05 -48.9326564654 -12.0572296854
67 4371 -0.00997580888122 1.73079560143e-05 -48.8391205297 -12.0652189398
68 3894 -0.0101427249265 1.55171403065e-05 -48.728921698 -12.1116923456
69 4160 -0.0102875032215 1.62882451701e-05 -48.6338035467 -12.0678314199
70 4109 -0.0104404082594 1.58234610034e-05 -48.5338120661 -12.0414014477
71 4255 -0.0105863848543 1.65750217651e-05 -48.4387948981 -12.0339197566
72 4083 -0.0107424888301 1.61590894892e-05 -48.3376617211 -12.0815861381
73 4086 -0.0108946051788 1.61957285926e-05 -48.2395818939 -12.0123336584
74 4074 -0.0110472940196 1.56320541865e-05 -48.1415961181 -11.9989229363
75 4302 -0.011190721447 1.60344773156e-05 -48.0499734935 -12.1509893952
76 4360 -0.0113368456242 1.64038804166e-05 -47.9570435263 -12.030137931
77 4257 -0.0114881475464 1.64749400212e-05 -47.8612594992 -11.9365793084
78 4126 -0.0116424873608 1.59253512724e-05 -47.76400911 -12.0081209484
79 4229 -0.0117898614602 1.60728955021e-05 -47.6715754963 -11.9596981239
80 4270 -0.0119378828628 1.59654629318e-05 -47.5791535504 -12.084113897
81 4358 -0.0120834115791 1.65844258059e-05 -47.4886933356 -12.0101976507
82 4177 -0.012237820901 1.59986257663e-05 -47.3931494317 -12.0267943803
83 4249 -0.0123855148295 1.64404029334e-05 -47.3021784831 -12.0177294233
84 4133 -0.0125394062834 1.62216892956e-05 -47.2078216927 -12.1000179377
85 4110 -0.0126916682138 1.65724825866e-05 -47.1148944558 -11.9899234853
86 3944 -0.0128504572065 1.54694119325e-05 -47.0184365714 -12.0322275095
87 4234 -0.0129935247268 1.57850894019e-05 -46.9319221575 -12.0457838396
88 4401 -0.0131367023173 1.63044473296e-05 -46.8457119709 -12.0640681905
89 4340 -0.0132856320663 1.67046583431e-05 -46.7564293322 -11.9646273794
90 4110 -0.0134424357954 1.59093775347e-05 -46.6628543396 -12.0378782678
91 4219 -0.0135898287823 1.60187470329e-05 -46.5752930147 -12.0142235646
92 4283 -0.0137371209056 1.65420293613e-05 -46.488174015 -12.0936716546
93 4123 -0.0138921445601 1.57502532675e-05 -46.3968922093 -12.0054897236
94 4301 -0.0140366605171 1.62239569608e-05 -46.3121739709 -12.0577972501
95 4276 -0.0141859571383 1.63949660748e-05 -46.2250320904 -12.0034983097
96 4178 -0.014338585923 1.61579544052e-05 -46.1363407206 -11.9893115445
97 4182 -0.0144889436824 1.608600948e-05 -46.0493573706 -12.0441791801
98 4217 -0.0146380151625 1.62077936893e-05 -45.9634961453 -12.0170128244
99 4200 -0.0147885177307 1.55708131786e-05 -45.8771899713 -11.9096480049
100 4462 -0.0149287866542 1.66439234264e-05 -45.7970932667 -11.9800675969
101 4251 -0.0150823959591 1.61360438084e-05 -45.7097538508 -11.9875769612
102 4264 -0.0152310895982 1.60950905137e-05 -45.6255803605 -11.9631187381
103 4295 -0.0153788721682 1.66414731788e-05 -45.5422818617 -11.9560351648
104 4093 -0.0155353968537 1.58042465021e-05 -45.4544438277 -12.0998612179
105 4247 -0.0156813383948 1.62146517161e-05 -45.3729020752 -12.0143520636
106 4227 -0.0158314241245 1.60258043678e-05 -45.2894021072 -11.9914250329
107 4288 -0.0159786943721 1.63675406012e-05 -45.2078184349 -11.9365487889
108 4202 -0.0161306430026 1.61004941105e-05 -45.124004027 -12.0221319965
109 4231 -0.0162796026565 1.62089871511e-05 -45.0421919213 -11.9894225715
110 4213 -0.0164298761806 1.63740082855e-05 -44.9600106634 -11.9358148838
111 4126 -0.0165832822262 1.63368039228e-05 -44.8764791101 -12.0018329455
