100 500000 0.95 gpomdp hoeffding 30000000

1 100 0 3.02359283232e-05 -56.6666666667 -11.9813304663
2 73653 -0.000309868653569 1.46770857427e-05 -56.3801363426 -12.1487642821
3 85703 -0.000449310467277 1.62020007032e-05 -56.25226301 -12.127986756
4 85391 -0.000603520657737 1.6370026139e-05 -56.1116086265 -12.149776501
5 83642 -0.000760950506162 1.60641920039e-05 -55.9688364889 -12.137567489
6 84511 -0.000914642893006 1.61311292622e-05 -55.8302451925 -12.1356748907
7 84811 -0.00106870257336 1.60716462573e-05 -55.6921007339 -12.1393624411
8 85628 -0.00122146066934 1.61090269519e-05 -55.5558861236 -12.1273049938
9 86125 -0.00137413118963 1.63620484417e-05 -55.4205021551 -12.1418487212
10 84430 -0.00153074898433 1.60842089115e-05 -55.2823931239 -12.112404233
11 85134 -0.00168406874951 1.6077796525e-05 -55.1479465986 -12.13923731
12 85900 -0.00183664274538 1.62214254085e-05 -55.0148886847 -12.1383851225
13 85419 -0.00199101272022 1.6144132855e-05 -54.8810042429 -12.1141134688
14 85609 -0.00214447613846 1.6139795032e-05 -54.7486375269 -12.1061910288
15 85837 -0.0022976942491 1.61971158158e-05 -54.6172040188 -12.1365605237
16 85567 -0.00245169939595 1.6122394151e-05 -54.4858160672 -12.1081723191
17 85947 -0.0026046547672 1.61350562305e-05 -54.3560330841 -12.1199382465
18 86218 -0.00275748965361 1.6086209019e-05 -54.2270527243 -12.102099809
19 86920 -0.00290924557643 1.62428873373e-05 -54.0996700827 -12.1047006039
20 86245 -0.00306307754533 1.61976696274e-05 -53.9712380613 -12.1101014955
21 85969 -0.00321672755371 1.60948529916e-05 -53.8436490811 -12.1027387269
22 86592 -0.00336885146789 1.63059701762e-05 -53.7180023675 -12.1250011808
23 85372 -0.00352406894569 1.59687937165e-05 -53.5904872627 -12.1246466677
24 87099 -0.00367456225553 1.62353174624e-05 -53.4675102366 -12.1089595503
25 86489 -0.00382810548052 1.61869687349e-05 -53.3427023572 -12.1142196611
26 86306 -0.00398135401627 1.60954426368e-05 -53.2187948983 -12.084473697
27 86927 -0.00413319074535 1.62054643956e-05 -53.0966749634 -12.0960834678
28 86580 -0.00428637103532 1.62037190411e-05 -52.9741209027 -12.1010901287
