100 100000 0.75 gpomdp iter_bernstein 20000000

1 100 0 2.7414834669e-09 -56.6666666667 -12.8569545042
2 794 -2.24640655612e-08 2.4341298841e-07 -56.6666457751 -12.259050088
3 683 -2.36340694719e-06 1.93007883469e-07 -56.6644687946 -12.1350355948
4 717 -4.11976632573e-06 2.70114026298e-07 -56.6628355768 -12.1352726438
5 699 -6.6930156365e-06 1.88941503735e-07 -56.6604429351 -12.2453673991
6 688 -8.47636990186e-06 2.17198404916e-07 -56.6587848823 -12.1857090986
7 700 -1.05046152543e-05 2.23643601709e-07 -56.6568992783 -12.2609997715
8 743 -1.24850381843e-05 1.83555656417e-07 -56.6550582704 -12.0349478904
9 723 -1.41135140209e-05 2.18239765303e-07 -56.6535445351 -12.1989087549
10 719 -1.610991124e-05 2.14562083003e-07 -56.6516889265 -12.0126806658
11 667 -1.82165400661e-05 2.22688469567e-07 -56.649731009 -12.1716446039
12 733 -2.0224216257e-05 2.23729252707e-07 -56.6478652012 -12.4528488397
13 715 -2.22654243022e-05 1.8034689145e-07 -56.6459683735 -12.0341410526
14 673 -2.39717147837e-05 1.99372419603e-07 -56.644382884 -12.2537839764
15 676 -2.58791561167e-05 2.10103311075e-07 -56.6426106033 -12.2861152904
16 708 -2.78236444234e-05 2.09099107555e-07 -56.6408040298 -12.243548033
17 700 -2.97713544904e-05 1.87092475545e-07 -56.6389945937 -11.9346225102
18 682 -3.15451331636e-05 1.993645027e-07 -56.6373468548 -12.2566867871
19 683 -3.34465703074e-05 1.98336190391e-07 -56.6355806489 -12.1506435491
20 656 -3.54180157164e-05 1.98409569088e-07 -56.6337495453 -12.2675177573
21 656 -3.7367102679e-05 1.99004852527e-07 -56.63193934 -12.0648166237
22 679 -3.92708714124e-05 2.06665371526e-07 -56.6301713502 -12.2505774509
23 723 -4.11316155714e-05 2.78899749772e-07 -56.628443437 -12.1664127502
24 671 -4.38976803651e-05 1.65124618655e-07 -56.6258750507 -12.0867026073
25 689 -4.54331935927e-05 1.95843858932e-07 -56.6244493875 -12.0979002424
26 661 -4.73506992934e-05 1.67759341524e-07 -56.6226691735 -12.2178711521
27 675 -4.89381628386e-05 1.98106559327e-07 -56.6211954666 -12.0121479792
28 674 -5.08574084847e-05 2.06549244754e-07 -56.6194138688 -12.0495600539
29 679 -5.28527077417e-05 2.03298422765e-07 -56.6175618063 -12.3011979948
30 698 -5.47559040225e-05 1.78805891776e-07 -56.6157953627 -11.9401627014
31 628 -5.65696041307e-05 2.09010608283e-07 -56.6141121005 -12.1376655995
32 668 -5.86061543466e-05 1.869331313e-07 -56.6122221501 -12.0070673371
33 676 -6.04001650409e-05 2.04030250599e-07 -56.6105573984 -12.099721683
34 663 -6.24017821227e-05 1.81884188418e-07 -56.608700129 -12.2178460998
35 711 -6.40610026615e-05 1.97607930657e-07 -56.6071606685 -12.2400474602
36 701 -6.58807175849e-05 1.94711294975e-07 -56.6054724068 -12.2322802471
37 695 -6.77003068864e-05 2.14332516378e-07 -56.6037843754 -12.052227737
38 682 -6.97573484919e-05 1.97412765911e-07 -56.6018761969 -12.1801099314
39 690 -7.16012236497e-05 1.96243780009e-07 -56.6001658821 -12.2470430066
40 701 -7.34047622905e-05 1.85486736494e-07 -56.5984930951 -12.3074486479
41 735 -7.50354215463e-05 2.39449751411e-07 -56.5969807505 -12.1859836471
42 649 -7.74473643157e-05 2.05593632755e-07 -56.594743977 -12.0285745508
43 683 -7.94020908294e-05 2.11720818325e-07 -56.5929313607 -12.5375415078
44 713 -8.13516142042e-05 2.24383370488e-07 -56.5911237001 -12.0488402269
45 646 -8.3610049187e-05 1.76631981882e-07 -56.5890297699 -12.28918934
46 661 -8.53357892899e-05 1.79807700227e-07 -56.5874298512 -12.100002694
47 706 -8.69692874209e-05 2.19613584107e-07 -56.5859155434 -12.1476907094
48 646 -8.91759088562e-05 1.86011090339e-07 -56.5838700765 -12.1279060558
49 684 -9.09457064374e-05 1.8539006611e-07 -56.5822296521 -12.177959383
50 726 -9.2592179342e-05 2.17542438966e-07 -56.5807036339 -12.2138013221
51 698 -9.46266843223e-05 1.82875781136e-07 -56.5788181002 -12.2025584411
52 659 -9.64179315253e-05 2.10179143406e-07 -56.5771581301 -12.3702490434
53 677 -9.84569997443e-05 1.88370803769e-07 -56.5752686354 -12.1380038936
54 702 -0.000100200479257 2.06381539754e-07 -56.5736531599 -12.1617616277
55 719 -0.000102067550357 2.12540534399e-07 -56.5719232825 -12.1142717869
56 681 -0.000104107917153 1.77078217292e-07 -56.5700329801 -12.1205019116
57 751 -0.00010563256319 2.15188343338e-07 -56.5686205616 -12.2584544941
58 708 -0.000107606829108 2.25614317109e-07 -56.5667917378 -12.1468903934
59 695 -0.000109730185099 1.88554665679e-07 -56.5648249565 -11.9623895523
60 696 -0.000111482656835 1.95452635506e-07 -56.5632018272 -12.1192501161
61 691 -0.000113304706371 1.78030277938e-07 -56.561514367 -12.174669455
62 702 -0.00011493730158 1.6183398226e-07 -56.5600024635 -12.0187033152
