100 100000 0.75 gpomdp bernstein 30000000

1 100 0 2.72906332741e-05 -56.6666666667 -12.3809838223
2 4441 0.000233677525834 2.82955729277e-05 -56.8849331572 -12.1776202808
3 3924 0.000504290164939 2.67038019994e-05 -57.1400863322 -12.0627609558
4 3823 0.000766850139324 2.5669795918e-05 -57.3901311549 -12.0659188998
5 3972 0.00100896789389 2.65117594732e-05 -57.6229082513 -12.056616289
6 3911 0.00126408730067 2.60771372462e-05 -57.8705023197 -12.1403194076
7 3953 0.00151236677053 2.64531051768e-05 -58.1137733078 -12.2313837277
8 3915 0.00176587527716 2.61900645082e-05 -58.3645582201 -12.2236895427
9 3937 0.00201561870527 2.60345662664e-05 -58.6140143242 -12.1687872326
10 3993 0.00226067775217 2.68730238711e-05 -58.8611362154 -12.0770880956
11 3842 0.00252429613923 2.63527674962e-05 -59.1296048974 -12.1419286825
12 3820 0.00278383342847 2.5733594555e-05 -59.3966215007 -12.1234489946
13 3945 0.00302899769869 2.65867598106e-05 -59.6513522111 -12.1529021866
14 3869 0.00328732935263 2.62123479245e-05 -59.9224329626 -12.1564155581
15 3895 0.00353922896947 2.60489961062e-05 -60.1894408703 -12.3007371522
16 3950 0.0037868044644 2.69173649893e-05 -60.4544793174 -12.1123228256
17 3805 0.00405208365268 2.61181648176e-05 -60.741390116 -12.1520037392
18 3847 0.00430670920347 2.61644614852e-05 -61.0196635205 -12.1440776971
19 3878 0.00455971640373 2.64345943005e-05 -61.2990109151 -12.1494098721
20 3845 0.00481762191622 2.60753285096e-05 -61.5867282826 -12.2090191736
21 3899 0.00506829203835 2.65797543892e-05 -61.8692838647 -12.1312117982
22 3828 0.00532922674725 2.5955296362e-05 -62.1665049402 -12.1245570827
23 3902 0.00557910689981 2.63897118039e-05 -62.4541401649 -12.1672407347
24 3882 0.00583396063668 2.6020660228e-05 -62.7505778252 -12.1666102124
25 3945 0.00608146748263 2.67491713376e-05 -63.0414910334 -12.2299956814
26 3836 0.00634325143679 2.58698809431e-05 -63.3524766015 -12.1935007531
27 3941 0.00658898165196 2.70170449682e-05 -63.6475188941 -12.1686203698
28 3756 0.00686024862604 2.56057071201e-05 -63.9767978185 -12.2932608863
29 3911 0.00710610803821 2.64980521119e-05 -64.2785294601 -12.2227665517
30 3867 0.00736280274979 2.63934598642e-05 -64.5969561743 -12.2370937444
31 3841 0.00762080539361 2.60818449014e-05 -64.9205598375 -12.1531584824
32 3891 0.0078722415498 2.63506003619e-05 -65.2394128318 -12.3011809981
33 3872 0.00812805502417 2.64609501491e-05 -65.5674064897 -12.1380016177
34 3834 0.00838698563021 2.61406958651e-05 -65.9031457031 -12.2197602457
35 3875 0.00863955036501 2.66365741502e-05 -66.2343256737 -12.2086217939
36 3794 0.00890315825065 2.61357216269e-05 -66.5839447325 -12.2146027069
