2 100000 0.5 gpomdp sample_hoeffding 30000000

1 2 0 1.31014178154e-08 -56.6666666667 -11.3039254411
2 28 3.76793754231e-08 2.48251800484e-06 -56.6667017085 -11.8867121031
3 146 1.68510701648e-05 1.20410814106e-05 -56.6823430636 -12.0348640872
4 224 0.000128730500323 1.35556518368e-05 -56.7866726837 -12.3372043063
5 293 0.000257720523405 1.82415170233e-05 -56.9074984255 -12.1621183942
6 238 0.000434253970842 1.42222985549e-05 -57.0738033951 -12.1928635659
7 291 0.000582961234644 1.48700252702e-05 -57.2147490715 -12.3884927083
8 333 0.000715139086942 1.611364424e-05 -57.3406897198 -12.1525198865
9 335 0.000872223265993 1.84566456081e-05 -57.4911778569 -12.0171540332
10 266 0.0010488644192 1.96635261069e-05 -57.6614702736 -12.4489349581
11 187 0.00123531169996 1.77520579552e-05 -57.8424555095 -11.9841452957
12 160 0.00140301650037 8.32575954946e-06 -58.0063454264 -12.5969167061
13 368 0.00148416741431 2.09438883871e-05 -58.0860268149 -12.063939098
14 227 0.00169446040099 1.46974768761e-05 -58.2936642266 -12.5581300475
15 264 0.0018251633622 1.56856564347e-05 -58.4235615614 -12.4033390029
16 278 0.00197164394618 1.87876788215e-05 -58.5699161499 -11.8607507902
17 214 0.00214826625659 1.14644921648e-05 -58.7474880033 -12.2942177945
18 348 0.0022640311185 2.08619317629e-05 -58.8645340728 -11.9417166718
19 216 0.00246342236034 1.09995196364e-05 -59.0673668369 -12.0277418526
20 369 0.00256128868727 1.83777891897e-05 -59.1674985808 -12.3122964044
21 295 0.00271397454302 2.06871702456e-05 -59.3244832064 -12.4677163297
22 187 0.00289903107137 1.45588813353e-05 -59.5160093424 -12.1083222829
23 221 0.00302668543147 1.48751505299e-05 -59.6489382547 -12.1216741275
24 253 0.00316199767625 1.65157090284e-05 -59.7905713896 -12.2640931155
25 245 0.0033117145506 1.25420482928e-05 -59.9481645399 -12.1007963613
26 356 0.00343421385113 1.78149843906e-05 -60.0778034126 -12.1037173717
27 302 0.00360993294146 2.24627825206e-05 -60.264865964 -11.8777972749
28 159 0.00382687999302 1.15539798479e-05 -60.49762791 -12.1570409908
29 256 0.00392460870845 1.92185101245e-05 -60.6031405947 -11.9811919287
30 188 0.00412564175915 1.24798453888e-05 -60.821487561 -11.8590609167
31 275 0.00425741716033 1.94521277785e-05 -60.9655709188 -11.8813731707
32 197 0.00445972723006 5.36542863018e-06 -61.1882706021 -11.997894338
33 653 0.00451324998268 2.48892593216e-05 -61.2474925553 -12.254382476
34 265 0.00474455993486 1.53534596529e-05 -61.5049146661 -12.3143001862
35 288 0.00488087836411 2.05414350048e-05 -61.657758636 -12.1005620033
36 185 0.00507713093184 1.11081735876e-05 -61.8792999833 -12.2360011984
37 313 0.00518045323998 1.11426343175e-05 -61.9966527731 -12.2503991626
38 527 0.00529379958373 2.1907324853e-05 -62.1259641251 -12.2293907283
39 294 0.0054942629965 1.35486407632e-05 -62.3561443201 -12.3666250315
40 385 0.00561034672846 2.15777413599e-05 -62.4903092361 -11.8239991862
41 222 0.00581602289854 1.45956608156e-05 -62.7296105314 -12.1836428297
42 261 0.00594967470774 1.18401828508e-05 -62.8862117705 -12.1046603562
43 408 0.00606997961198 1.91797349667e-05 -63.0279219293 -12.1852824661
44 301 0.0062536467152 1.46667383593e-05 -63.2456466868 -12.1842521452
45 351 0.00639523656937 1.50332613964e-05 -63.4146396254 -12.3686534986
46 394 0.00653979469515 1.44716137832e-05 -63.5882165206 -12.210650274
47 469 0.00668742458177 1.98046514133e-05 -63.7665775204 -12.177554072
48 325 0.00685578025661 2.01099992065e-05 -63.9713431419 -11.7351553988
49 218 0.00705951666802 1.45661261374e-05 -64.2211071413 -12.1848727866
50 257 0.0071893267043 1.36378893707e-05 -64.3813783529 -12.4997033467
51 333 0.00731419231067 1.28667400801e-05 -64.5363865317 -12.3713560079
52 467 0.00743984357516 1.93283527233e-05 -64.6932099385 -12.0673587519
53 339 0.00763772038209 1.96768369307e-05 -64.9419016109 -12.1809142682
54 238 0.00782546772019 1.26427344627e-05 -65.1798345849 -11.9954703378
55 342 0.00795598645762 2.28845218959e-05 -65.3463856298 -12.1744262449
56 172 0.00816748303787 1.56337071048e-05 -65.6182853487 -12.3302497491
57 182 0.00832063575797 1.73948333847e-05 -65.8167510268 -11.6596794278
58 161 0.00850282077395 1.12037719734e-05 -66.0545798549 -12.6473479004
59 269 0.0085991568028 1.71489989963e-05 -66.1811112331 -12.1801000238
60 244 0.00875841804999 1.62009405838e-05 -66.3914734058 -12.4122068986
61 244 0.00889953372932 1.39883309698e-05 -66.5791098606 -12.1796548772
62 305 0.00903786991462 1.85037246421e-05 -66.7641943428 -12.079966541
63 241 0.00921071618759 1.06827519954e-05 -66.9970584709 -12.4055813646
64 426 0.00930497292166 1.87998123565e-05 -67.1248034445 -12.2960153123
