100 100000 0.95 gpomdp sample_bernstein 30000000

1 100 0 1.3085543501e-05 -56.6666666667 -12.1750766563
2 192 -0.000120403018187 2.60131524275e-05 -56.5549414721 -11.7657007396
3 154 -0.000362148118058 2.21711024571e-05 -56.3321171004 -12.5408139093
4 157 -0.000559583568613 2.07855317108e-05 -56.1516022704 -11.9065767623
5 179 -0.000756063051681 2.02737820036e-05 -55.9732565164 -11.8908172717
6 213 -0.000951913509848 2.11628544094e-05 -55.7967536552 -11.8707788325
7 239 -0.00114002670217 2.29685642354e-05 -55.6284067727 -12.0339629031
8 244 -0.00135633454853 2.52700812475e-05 -55.4362451841 -12.558245709
9 208 -0.00161230466099 2.27613534548e-05 -55.2107842279 -12.5038776284
10 207 -0.00183334319609 2.80731975071e-05 -55.0177584703 -12.2061737077
11 137 -0.00212459126045 1.44507755815e-05 -54.7657479022 -12.244239841
12 240 -0.00225819791632 2.41725970104e-05 -54.6510160983 -12.1979709978
13 228 -0.00249905796918 2.18952454643e-05 -54.4455569217 -12.2663316228
14 243 -0.00270207260037 2.53917979313e-05 -54.2737397144 -12.1130677298
15 203 -0.00296233568939 2.53117534087e-05 -54.0552673489 -12.128711092
16 165 -0.00319795968933 2.16921558523e-05 -53.8591968279 -11.9457959332
17 179 -0.00341379847005 2.28234023519e-05 -53.6810061577 -12.4189013253
18 180 -0.00362756040971 2.54028798851e-05 -53.5058490798 -12.1088119786
19 148 -0.00386795474937 2.21437241678e-05 -53.3104193499 -12.0076774232
20 153 -0.00409963333262 1.87382305327e-05 -53.1236095764 -12.4592478073
21 195 -0.00425008541856 2.59165245553e-05 -53.0030933056 -12.3007619553
22 155 -0.0045223343957 2.18783130737e-05 -52.7865938712 -12.0103303408
23 164 -0.00473462046236 2.10723964354e-05 -52.6191750425 -11.9968519817
24 185 -0.00496564165011 1.81389312437e-05 -52.438354449 -12.3210999735
25 256 -0.00513555074769 2.57285869415e-05 -52.3062706061 -12.0064055778
26 208 -0.00537651392185 2.77223430485e-05 -52.1202507767 -11.5234515259
27 145 -0.00564473301497 2.3423188093e-05 -51.9149626915 -12.4205026726
28 139 -0.00585419277183 1.73050440967e-05 -51.7559307818 -11.665758102
29 202 -0.00600020521517 2.35152240323e-05 -51.6457299105 -12.3800522293
30 191 -0.00622901407672 2.08230902958e-05 -51.4741175961 -11.9245916117
31 220 -0.0064302803805 2.56065832664e-05 -51.3242405559 -12.0837799472
32 174 -0.00665334485347 2.43138790826e-05 -51.1592968356 -11.7441593275
33 154 -0.00688299055945 2.39887766337e-05 -50.990753361 -11.8894719914
34 141 -0.0071157285703 2.09977842837e-05 -50.8212368634 -11.548744646
35 157 -0.00733046667624 2.34547970995e-05 -50.6659756408 -11.8286719642
36 153 -0.0075578730083 2.11849806922e-05 -50.5027398532 -11.7614840676
37 167 -0.00774283029981 2.21201155076e-05 -50.3708643315 -11.8752912078
38 173 -0.00796540941671 2.22001840169e-05 -50.2132115494 -11.6990334696
39 183 -0.00819498404753 2.35276274819e-05 -50.0517900654 -11.7615363717
40 178 -0.00841848373806 1.90064096093e-05 -49.8957847488 -11.6794362877
41 235 -0.0085909510203 2.73638572301e-05 -49.7761649019 -11.9142032623
42 167 -0.00886280516576 2.20500610508e-05 -49.5889497897 -12.1474760603
43 175 -0.00905559787435 2.18982045254e-05 -49.4571630228 -11.691993043
44 182 -0.00923315005392 2.1742328775e-05 -49.336507615 -12.5503996153
45 192 -0.00942155601178 1.96381358536e-05 -49.2092180315 -12.1251167501
46 239 -0.00959793134855 2.35814352724e-05 -49.0907425238 -11.9100539075
47 235 -0.00982144419643 2.36385927085e-05 -48.9415479003 -12.179227449
48 224 -0.0100254154226 2.50758811899e-05 -48.8063097976 -12.1710870228
49 190 -0.010259124449 2.43284875975e-05 -48.6524142627 -11.9172266067
50 169 -0.0104755412686 2.27172845984e-05 -48.5109042796 -11.8524083274
51 168 -0.0106708817172 2.05953372945e-05 -48.3839920924 -12.233701759
