10000 10000 0.95 gpomdp cheb_gpomdp 30000000

1 10000 0 2.74272651919e-05 -56.6666666667 -12.1448503916
2 10000 -0.000265451256505 2.74851665107e-05 -56.4210070407 -12.1449900028
3 10000 -0.000532348351553 2.71320055611e-05 -56.1764254934 -12.1495217077
4 10000 -0.000790547798128 2.71698217269e-05 -55.9420867095 -12.1784796036
5 10000 -0.00104966488544 2.698603017e-05 -55.7091297612 -12.1394080806
6 10000 -0.00130435230225 2.70527391435e-05 -55.4822871794 -12.1713069336
7 10000 -0.00156063875324 2.68917113691e-05 -55.2561243427 -12.1603353798
8 10000 -0.0018130821594 2.71171416765e-05 -55.0353879788 -12.1157868074
9 10000 -0.00207092180715 2.72878812318e-05 -54.8119896741 -12.1034669073
10 10000 -0.00233292466928 2.70152360682e-05 -54.5870840123 -12.0892930885
11 10000 -0.00258831093972 2.70954517182e-05 -54.3698672985 -12.0986086805
12 10000 -0.00284562644913 2.70732843696e-05 -54.1529884377 -12.0882309073
13 10000 -0.00310240737772 2.69090430212e-05 -53.9385135259 -12.1124343196
14 10000 -0.00335526166372 2.74493234175e-05 -53.7291996818 -12.0614688545
15 10000 -0.00362126280046 2.72348312832e-05 -53.5109907285 -12.0396070959
16 10000 -0.00388196499667 2.69306359121e-05 -53.2990798464 -12.0497241346
17 10000 -0.00413533210763 2.67950532208e-05 -53.0949572729 -12.087671915
18 10000 -0.00438549609889 2.68961856715e-05 -52.8951581492 -12.14147516
19 10000 -0.00463804551374 2.68355805788e-05 -52.695187893 -12.102332522
20 10000 -0.00488916274996 2.69278564223e-05 -52.4980570451 -12.0501983436
21 10000 -0.00514246379123 2.690994545e-05 -52.300912662 -12.1015681834
22 10000 -0.0053953394891 2.65664230566e-05 -52.1057814846 -12.1114480541
23 10000 -0.00564019209317 2.72543494227e-05 -51.918422786 -12.0739145858
24 10000 -0.00590137207914 2.73062039721e-05 -51.7202639214 -12.0598022896
25 10000 -0.00616382567825 2.6927852133e-05 -51.5228771283 -12.0962259318
26 10000 -0.00641712661759 2.70898330622e-05 -51.3340051785 -12.0378024379
27 10000 -0.00667430652476 2.69981372933e-05 -51.1438593886 -12.0994770579
28 10000 -0.00692928341684 2.69938262529e-05 -50.9569320921 -12.1106421638
29 10000 -0.00718415719675 2.6923451022e-05 -50.7716424878 -12.0491257433
