100 100000 0.95 gpomdp sample_bernstein 30000000

1 100 [-0.5 -0.  -0.  -0.5] 2.73701022428e-06 -26.6650121788 -19.8531404361
2 2938 [ -5.00000000e-01  -0.00000000e+00  -3.85127703e-06  -5.00000000e-01] 4.91185417402e-06 -26.6646839934 -19.3178673771
3 3860 [ -5.00000000e-01  -0.00000000e+00  -3.85127703e-06  -5.00007294e-01] 5.45762927877e-06 -26.6660928602 -19.2471567745
4 4253 [ -5.00006956e-01  -0.00000000e+00  -3.85127703e-06  -5.00007294e-01] 5.74814770619e-06 -26.6682944098 -19.440113428
5 4305 [ -5.00006956e-01  -0.00000000e+00  -3.85127703e-06  -5.00014543e-01] 5.46971781569e-06 -26.6666643956 -19.2689392078
6 4727 [ -5.00013619e-01  -0.00000000e+00  -3.85127703e-06  -5.00014543e-01] 5.73255183018e-06 -26.6665256292 -19.3484086914
7 4920 [ -5.00013619e-01  -0.00000000e+00  -3.85127703e-06  -5.00021735e-01] 6.19591571501e-06 -26.6652395035 -19.2604303903
8 4539 [ -5.00021752e-01  -0.00000000e+00  -3.85127703e-06  -5.00021735e-01] 5.91081879739e-06 -26.6665860041 -19.3249970501
9 4594 [ -5.00021752e-01  -0.00000000e+00  -3.85127703e-06  -5.00029689e-01] 6.0187327213e-06 -26.6656038464 -19.2850808794
10 4436 [ -5.00029636e-01  -0.00000000e+00  -3.85127703e-06  -5.00029689e-01] 5.0590162753e-06 -26.6705235939 -19.3003548571
11 5535 [ -5.00035581e-01  -0.00000000e+00  -3.85127703e-06  -5.00029689e-01] 6.96535908599e-06 -26.668407969 -19.2520236493
12 4080 [ -5.00045250e-01  -0.00000000e+00  -3.85127703e-06  -5.00029689e-01] 4.68681880607e-06 -26.6669796691 -19.3337737825
13 5655 [ -5.00050883e-01  -0.00000000e+00  -3.85127703e-06  -5.00029689e-01] 6.35526876988e-06 -26.6670026765 -19.3060530363
14 5098 [ -5.00059243e-01  -0.00000000e+00  -3.85127703e-06  -5.00029689e-01] 6.42778222042e-06 -26.6656466105 -19.3631513209
