100 100000 0.95 gpomdp sample_bernstein 1000000

1 1000  1e-06 -426.666666667 -19.0814533373
2 1000  1e-06 -426.666580077 -19.2603039482
3 1000  1e-06 -426.666469276 -19.3611283304
4 1000  1e-06 -426.666347311 -19.1350697958
5 1000  1e-06 -426.66623081 -19.4244846698
6 1000  1e-06 -426.666090293 -19.4181622932
7 1000  1e-06 -426.665951297 -19.3953392002
8 1000  1e-06 -426.665864459 -19.1572373701
9 1000  1e-06 -426.66574781 -19.4915091165
10 1000  1e-06 -426.665624594 -19.3739993262
11 1000  1e-06 -426.665494155 -19.4757667126
12 1000  1e-06 -426.665396401 -19.3382758464
13 1000  1e-06 -426.665270247 -19.2441887135
14 1000  1e-06 -426.665148938 -19.1867119694
15 1000  1e-06 -426.665050269 -19.2811765293
16 1000  1e-06 -426.664958981 -19.4618607359
17 1000  1e-06 -426.664860678 -19.585238071
18 1000  1e-06 -426.664729843 -19.2916855635
19 1000  1e-06 -426.664583568 -19.4954013061
20 1000  1e-06 -426.664476297 -19.4994388519
21 1000  1e-06 -426.66435915 -19.3963183408
22 1000  1e-06 -426.664227606 -19.2611321923
23 1000  1e-06 -426.664113406 -19.1728844683
24 1000  1e-06 -426.663995631 -19.3539185194
25 1000  1e-06 -426.663895877 -19.3848351952
26 1000  1e-06 -426.663764222 -19.4986504872
27 1000  1e-06 -426.663640055 -19.458055018
28 1000  1e-06 -426.663513152 -19.5172937493
29 1000  1e-06 -426.663425463 -19.3047373459
30 1000  1e-06 -426.663309817 -19.3493050253
31 1000  1e-06 -426.663184127 -19.022770614
32 1000  1e-06 -426.663080211 -19.2802486416
33 1000  1e-06 -426.66299125 -19.3732772293
34 1000  1e-06 -426.662849411 -19.3971947131
35 1000  1e-06 -426.662730959 -19.5485253272
36 1000  1e-06 -426.662605791 -19.3745456493
37 1000  1e-06 -426.662484097 -19.2048809801
38 1000  1e-06 -426.662348834 -19.257574695
39 1000  1e-06 -426.662221155 -19.2145889063
40 1000  1e-06 -426.662105479 -19.2912820696
