100 100000 0.95 gpomdp sample_bernstein 1000000

1 1000 [-0.5 -0.  -0.  -0.5] 1e-06 -426.666666667 -19.0814533373
2 1000 [ -5.00000874e-01   5.92564589e-08   1.93975397e-07  -5.00000924e-01] 1e-06 -426.666580077 -19.2603039482
3 1000 [ -5.00001999e-01  -1.64836748e-08   2.50185591e-07  -5.00002099e-01] 1e-06 -426.666469276 -19.3611283304
4 1000 [ -5.00003483e-01   1.23146607e-07   2.77481540e-07  -5.00003146e-01] 1e-06 -426.666347311 -19.1350697958
5 1000 [ -5.00004567e-01   2.39436465e-07   3.78872730e-07  -5.00004481e-01] 1e-06 -426.66623081 -19.4244846698
6 1000 [ -5.00005944e-01   3.99584345e-07   2.89003864e-07  -5.00006021e-01] 1e-06 -426.666090293 -19.4181622932
7 1000 [ -5.00007522e-01   5.99444482e-07   2.29139725e-07  -5.00007329e-01] 1e-06 -426.665951297 -19.3953392002
8 1000 [ -5.00008247e-01   2.44807174e-07   6.95624532e-08  -5.00008407e-01] 1e-06 -426.665864459 -19.1572373701
9 1000 [ -5.00009314e-01   1.82177133e-07  -2.35336806e-08  -5.00009762e-01] 1e-06 -426.66574781 -19.4915091165
10 1000 [ -5.00010784e-01   5.25565225e-07   4.01794631e-07  -5.00010850e-01] 1e-06 -426.665624594 -19.3739993262
11 1000 [ -5.00012122e-01   6.85087092e-07   5.33921956e-07  -5.00012220e-01] 1e-06 -426.665494155 -19.4757667126
12 1000 [ -5.00013349e-01   6.17391182e-07   7.53603050e-07  -5.00013022e-01] 1e-06 -426.665396401 -19.3382758464
13 1000 [ -5.00014558e-01   7.73030482e-07   5.29711295e-07  -5.00014433e-01] 1e-06 -426.665270247 -19.2441887135
14 1000 [ -5.00015700e-01   5.96176113e-07   5.87582916e-08  -5.00015810e-01] 1e-06 -426.665148938 -19.1867119694
15 1000 [ -5.00016449e-01   8.01758458e-07  -2.12711271e-07  -5.00017110e-01] 1e-06 -426.665050269 -19.2811765293
16 1000 [ -5.00017529e-01   8.37783214e-07  -2.20308419e-07  -5.00017924e-01] 1e-06 -426.664958981 -19.4618607359
17 1000 [ -5.00018494e-01   1.07790497e-06  -1.11926380e-07  -5.00019001e-01] 1e-06 -426.664860678 -19.585238071
18 1000 [ -5.00019867e-01   5.96286085e-07  -4.41863948e-07  -5.00020345e-01] 1e-06 -426.664729843 -19.2916855635
19 1000 [ -5.00021336e-01   5.67976597e-07  -5.30151074e-07  -5.00021913e-01] 1e-06 -426.664583568 -19.4954013061
20 1000 [ -5.00022476e-01   7.26777371e-07  -5.40311722e-07  -5.00023001e-01] 1e-06 -426.664476297 -19.4994388519
21 1000 [ -5.00023747e-01   3.62285350e-07  -1.67206518e-07  -5.00024162e-01] 1e-06 -426.66435915 -19.3963183408
22 1000 [ -5.00025017e-01   5.89443452e-07   5.48424822e-09  -5.00025624e-01] 1e-06 -426.664227606 -19.2611321923
23 1000 [ -5.00026407e-01   7.95489197e-07  -1.07881309e-07  -5.00026605e-01] 1e-06 -426.664113406 -19.1728844683
24 1000 [ -5.00027654e-01   6.90254062e-07  -2.84678073e-07  -5.00027803e-01] 1e-06 -426.663995631 -19.3539185194
25 1000 [ -5.00028814e-01   4.58606123e-07  -2.02578038e-07  -5.00028716e-01] 1e-06 -426.663895877 -19.3848351952
26 1000 [ -5.00030378e-01   5.89335435e-07  -5.29043036e-07  -5.00029886e-01] 1e-06 -426.663764222 -19.4986504872
27 1000 [ -5.00031743e-01   5.29359934e-07  -2.21947727e-07  -5.00031099e-01] 1e-06 -426.663640055 -19.458055018
28 1000 [ -5.00032935e-01   1.41366982e-07  -6.20736021e-07  -5.00032543e-01] 1e-06 -426.663513152 -19.5172937493
29 1000 [ -5.00033881e-01   1.60863860e-07  -7.68534742e-07  -5.00033418e-01] 1e-06 -426.663425463 -19.3047373459
30 1000 [ -5.00035034e-01  -4.20603361e-07  -7.99403396e-07  -5.00034667e-01] 1e-06 -426.663309817 -19.3493050253
31 1000 [ -5.00036685e-01  -1.06331782e-06  -7.15164926e-07  -5.00035626e-01] 1e-06 -426.663184127 -19.022770614
32 1000 [ -5.00037848e-01  -9.73383627e-07  -6.58852992e-07  -5.00036621e-01] 1e-06 -426.663080211 -19.2802486416
33 1000 [ -5.00038563e-01  -1.00575044e-06  -2.65471210e-07  -5.00037754e-01] 1e-06 -426.66299125 -19.3732772293
34 1000 [ -5.00040009e-01  -1.11290665e-06  -2.65072695e-07  -5.00039254e-01] 1e-06 -426.662849411 -19.3971947131
35 1000 [ -5.00041318e-01  -1.33098525e-06  -5.83012410e-07  -5.00040405e-01] 1e-06 -426.662730959 -19.5485253272
36 1000 [ -5.00042658e-01  -9.91021984e-07  -3.36630559e-07  -5.00041665e-01] 1e-06 -426.662605791 -19.3745456493
37 1000 [ -5.00043786e-01  -1.53166199e-06  -5.93387247e-07  -5.00043065e-01] 1e-06 -426.662484097 -19.2048809801
38 1000 [ -5.00045081e-01  -1.64917140e-06  -3.66418497e-07  -5.00044579e-01] 1e-06 -426.662348834 -19.257574695
39 1000 [ -5.00046484e-01  -1.86998191e-06  -5.13327532e-07  -5.00045828e-01] 1e-06 -426.662221155 -19.2145889063
40 1000 [ -5.00047627e-01  -2.02450668e-06  -5.02190618e-07  -5.00047088e-01] 1e-06 -426.662105479 -19.2912820696
41 1000 [ -5.00048671e-01  -2.01239514e-06  -4.05124684e-07  -5.00048649e-01] 1e-06 -426.661980055 -19.4925355745
42 1000 [ -5.00049356e-01  -2.20798995e-06  -6.51641239e-07  -5.00049763e-01] 1e-06 -426.661893476 -19.4499505085
43 1000 [ -5.00050766e-01  -2.00784361e-06  -6.16797836e-07  -5.00050730e-01] 1e-06 -426.661779034 -19.4484565927
44 1000 [ -5.00052092e-01  -1.48868903e-06  -7.00056865e-07  -5.00051921e-01] 1e-06 -426.661657891 -19.3910598363
45 1000 [ -5.00053189e-01  -1.70359270e-06  -9.16563894e-07  -5.00053018e-01] 1e-06 -426.661552259 -19.4478204115
46 1000 [ -5.00054308e-01  -1.62628922e-06  -1.28027856e-06  -5.00054183e-01] 1e-06 -426.661442335 -19.2168672602
47 1000 [ -5.00055351e-01  -1.37876700e-06  -8.78470922e-07  -5.00055090e-01] 1e-06 -426.661348457 -19.3232687154
48 1000 [ -5.00056485e-01  -1.59317351e-06  -7.66116378e-07  -5.00056734e-01] 1e-06 -426.661214704 -19.3429927693
49 1000 [ -5.00057675e-01  -1.49373782e-06  -8.84115593e-07  -5.00057699e-01] 1e-06 -426.661110999 -19.3493873905
50 1000 [ -5.00059221e-01  -1.25510073e-06  -5.71271014e-07  -5.00059114e-01] 1e-06 -426.660968476 -19.1101346618
51 1000 [ -5.00060459e-01  -1.50165427e-06  -9.59896172e-07  -5.00060413e-01] 1e-06 -426.660846348 -19.162075639
52 1000 [ -5.00061881e-01  -1.25019460e-06  -8.66204670e-07  -5.00061295e-01] 1e-06 -426.660735454 -19.3977130313
53 1000 [ -5.00063201e-01  -1.26030966e-06  -6.89963114e-07  -5.00062761e-01] 1e-06 -426.660601325 -19.4029214149
54 1000 [ -5.00064262e-01  -9.60932855e-07  -7.71910579e-07  -5.00063944e-01] 1e-06 -426.66049334 -19.2599623378
55 1000 [ -5.00066023e-01  -6.46446545e-07  -8.73375549e-07  -5.00065164e-01] 1e-06 -426.660349858 -19.3106629743
56 1000 [ -5.00067374e-01  -5.20708836e-07  -1.05538123e-06  -5.00066438e-01] 1e-06 -426.66022354 -19.4152171628
57 1000 [ -5.00068608e-01  -5.24998211e-08  -1.10890826e-06  -5.00067403e-01] 1e-06 -426.660117676 -19.2487836088
58 1000 [ -5.00069595e-01  -2.00887494e-07  -7.61837224e-07  -5.00068979e-01] 1e-06 -426.6599943 -19.292659216
59 1000 [ -5.00070544e-01  -2.35160067e-07  -5.82370898e-07  -5.00070199e-01] 1e-06 -426.659889928 -19.1252967483
60 1000 [ -5.00071555e-01  -2.89227172e-07  -4.77252029e-07  -5.00071267e-01] 1e-06 -426.659789897 -19.2311648681
61 1000 [ -5.00072514e-01  -2.79076154e-07  -4.95453075e-07  -5.00072289e-01] 1e-06 -426.659694532 -19.2652244516
62 1000 [ -5.00073793e-01   2.18904540e-07  -1.64325762e-07  -5.00073649e-01] 1e-06 -426.659567516 -19.173898312
63 1000 [ -5.00074976e-01   1.96053450e-07  -3.31535245e-07  -5.00074770e-01] 1e-06 -426.659456647 -19.2748449068
64 1000 [ -5.00076350e-01   3.89775890e-07   1.35908613e-07  -5.00076227e-01] 1e-06 -426.659320396 -19.1253849346
65 1000 [ -5.00077462e-01   2.12721838e-07  -4.99670750e-07  -5.00077198e-01] 1e-06 -426.659220131 -19.1021448386
66 1000 [ -5.00078522e-01   1.51289179e-07  -4.47355629e-07  -5.00078344e-01] 1e-06 -426.65911401 -19.3050325899
67 1000 [ -5.00079634e-01   7.84213728e-08  -2.44484682e-07  -5.00079756e-01] 1e-06 -426.658992522 -19.1950624908
68 1000 [ -5.00081000e-01  -1.97572053e-07  -3.58994783e-07  -5.00081022e-01] 1e-06 -426.65886586 -19.3207908237
69 1000 [ -5.00082430e-01  -2.72246823e-07  -5.29525284e-07  -5.00081986e-01] 1e-06 -426.65875069 -19.3309137109
70 1000 [ -5.00083479e-01  -5.31777915e-07  -2.89890970e-07  -5.00083031e-01] 1e-06 -426.658649912 -19.1234836653
71 1000 [ -5.00084109e-01  -5.67523458e-07  -1.06624503e-06  -5.00084191e-01] 1e-06 -426.658563811 -19.4507882173
72 1000 [ -5.00085302e-01  -2.09942079e-07  -8.09289215e-07  -5.00085643e-01] 1e-06 -426.658436541 -19.2097467552
73 1000 [ -5.00086622e-01  -1.91462749e-07  -1.16091300e-06  -5.00087016e-01] 1e-06 -426.65830696 -19.2829523403
74 1000 [ -5.00087724e-01  -1.66832928e-07  -7.56286747e-07  -5.00088468e-01] 1e-06 -426.658184036 -19.2421384218
75 1000 [ -5.00088936e-01  -7.68789761e-08  -8.30219277e-07  -5.00089813e-01] 1e-06 -426.658061052 -19.2611904915
76 1000 [ -5.00089492e-01  -1.64094922e-07  -9.36056598e-07  -5.00090607e-01] 1e-06 -426.657996055 -19.3866806747
77 1000 [ -5.00091149e-01  -2.69257144e-07  -8.98782841e-07  -5.00091705e-01] 1e-06 -426.657863539 -19.2714829438
78 1000 [ -5.00092422e-01   5.28514917e-08  -1.00147602e-06  -5.00092841e-01] 1e-06 -426.657747583 -19.568071621
79 1000 [ -5.00093573e-01  -1.49381881e-07  -8.51220929e-07  -5.00094063e-01] 1e-06 -426.657633445 -19.3398173993
80 1000 [ -5.00094700e-01  -2.26718103e-07  -8.31991300e-07  -5.00095514e-01] 1e-06 -426.657509427 -19.3622795312
81 1000 [ -5.00095879e-01  -3.83229718e-07  -1.10975178e-06  -5.00096785e-01] 1e-06 -426.657391518 -19.3423170828
82 1000 [ -5.00097206e-01  -7.43842513e-07  -1.31960016e-06  -5.00098251e-01] 1e-06 -426.657257193 -19.405529807
83 1000 [ -5.00098388e-01  -8.18463964e-07  -9.30762526e-07  -5.00099345e-01] 1e-06 -426.657147645 -19.3999195468
84 1000 [ -5.00099846e-01  -1.12021984e-06  -9.77585485e-07  -5.00100827e-01] 1e-06 -426.657006193 -19.2435206099
85 1000 [ -5.00100984e-01  -1.05976352e-06  -7.20395671e-07  -5.00101978e-01] 1e-06 -426.656896123 -19.1859739007
86 1000 [ -5.00102395e-01  -9.32815010e-07  -9.56098037e-07  -5.00103080e-01] 1e-06 -426.656775225 -19.4796949574
87 1000 [ -5.00103663e-01  -4.48179883e-07  -1.75026110e-07  -5.00104254e-01] 1e-06 -426.65665776 -19.2323416678
88 1000 [ -5.00104473e-01  -4.46856396e-07  -3.24290751e-07  -5.00105634e-01] 1e-06 -426.656552405 -19.3176248983
89 1000 [ -5.00105709e-01  -6.09019695e-07  -5.48188974e-08  -5.00106414e-01] 1e-06 -426.656455415 -19.2921922911
90 1000 [ -5.00106928e-01  -2.99300608e-07  -8.53620281e-08  -5.00107637e-01] 1e-06 -426.656337953 -19.3439886598
91 1000 [ -5.00108484e-01  -2.35100547e-07  -3.01370191e-07  -5.00108947e-01] 1e-06 -426.656200085 -19.350841045
92 1000 [ -5.00109821e-01  -3.05371900e-07  -1.22324418e-07  -5.00110466e-01] 1e-06 -426.656062663 -19.1803164995
93 1000 [ -5.00110928e-01  -1.10875678e-08  -1.47674809e-07  -5.00111662e-01] 1e-06 -426.655951932 -19.3742575887
94 1000 [ -5.00112289e-01  -9.54473108e-08   2.01973073e-07  -5.00112755e-01] 1e-06 -426.655833857 -19.2203853516
95 1000 [ -5.00113054e-01  -3.98445153e-08   1.79202202e-07  -5.00113931e-01] 1e-06 -426.655740519 -19.2076063961
96 1000 [ -5.00114196e-01  -4.47141946e-08   4.10959311e-07  -5.00114873e-01] 1e-06 -426.655640267 -19.3074477439
97 1000 [ -5.00115554e-01  -1.48361611e-07   5.64777453e-07  -5.00116161e-01] 1e-06 -426.655512958 -19.0577297514
98 1000 [ -5.00116500e-01  -3.17699922e-08   3.91562723e-07  -5.00117082e-01] 1e-06 -426.655423167 -19.6017264903
99 1000 [ -5.00117803e-01   8.12376196e-08   2.64019733e-07  -5.00118190e-01] 1e-06 -426.655307214 -19.3305529503
100 1000 [ -5.00119169e-01  -5.75872703e-08  -4.69721893e-08  -5.00119009e-01] 1e-06 -426.655202161 -19.2178553426
101 1000 [ -5.00120459e-01  -4.99048873e-07  -1.73694062e-07  -5.00120307e-01] 1e-06 -426.655077723 -19.3582888774
102 1000 [ -5.00121517e-01  -3.89362471e-07  -4.01383982e-07  -5.00121516e-01] 1e-06 -426.654968663 -19.1617838353
103 1000 [ -5.00122672e-01   1.61322727e-07  -3.29964355e-07  -5.00122875e-01] 1e-06 -426.654847776 -19.3093066798
104 1000 [ -5.00123877e-01  -1.21447712e-07  -6.58378918e-07  -5.00124638e-01] 1e-06 -426.654704993 -19.2325358475
105 1000 [ -5.00124854e-01  -4.23469758e-07  -2.26398856e-07  -5.00126240e-01] 1e-06 -426.654580994 -19.2774023018
106 1000 [ -5.00125899e-01  -4.33114222e-07  -1.82309319e-07  -5.00127215e-01] 1e-06 -426.654483822 -19.3734334557
107 1000 [ -5.00127272e-01  -3.89434917e-07  -4.75158868e-07  -5.00128004e-01] 1e-06 -426.654379851 -19.3326920612
108 1000 [ -5.00128512e-01  -4.05325866e-07  -4.28387728e-07  -5.00129389e-01] 1e-06 -426.654253627 -19.3884195283
109 1000 [ -5.00129631e-01  -7.37271148e-07  -6.71974867e-07  -5.00130603e-01] 1e-06 -426.654141434 -19.1965571223
110 1000 [ -5.00130306e-01  -1.08531031e-06  -7.89853943e-07  -5.00131787e-01] 1e-06 -426.654052027 -19.2459366024
111 1000 [ -5.00131434e-01  -8.59162765e-07  -1.43085382e-06  -5.00133023e-01] 1e-06 -426.653938344 -19.3369488638
112 1000 [ -5.00132858e-01  -5.95660287e-07  -1.55132656e-06  -5.00134362e-01] 1e-06 -426.653805433 -19.4239902794
113 1000 [ -5.00134379e-01  -9.59082323e-07  -1.83514080e-06  -5.00135428e-01] 1e-06 -426.653681098 -19.418938696
114 1000 [ -5.00135364e-01  -1.42525161e-06  -1.76013503e-06  -5.00136493e-01] 1e-06 -426.653582502 -19.3708612768
115 1000 [ -5.00136866e-01  -1.39143248e-06  -2.07842015e-06  -5.00137735e-01] 1e-06 -426.653450562 -19.4424878378
116 1000 [ -5.00138144e-01  -1.71460676e-06  -2.09559511e-06  -5.00138749e-01] 1e-06 -426.653340366 -19.5311624063
117 1000 [ -5.00139545e-01  -1.72779772e-06  -2.50578932e-06  -5.00140291e-01] 1e-06 -426.653198871 -19.244347298
118 1000 [ -5.00140659e-01  -1.72846829e-06  -2.81166555e-06  -5.00141978e-01] 1e-06 -426.653064142 -19.0677596207
119 1000 [ -5.00141771e-01  -2.11831698e-06  -2.78998262e-06  -5.00143096e-01] 1e-06 -426.652956925 -19.330022758
120 1000 [ -5.00142967e-01  -2.42558206e-06  -2.54927040e-06  -5.00144218e-01] 1e-06 -426.652845502 -19.3631880224
121 1000 [ -5.00144105e-01  -2.94866767e-06  -2.38445680e-06  -5.00145181e-01] 1e-06 -426.652744451 -19.4678423801
122 1000 [ -5.00145139e-01  -2.87512178e-06  -2.62107891e-06  -5.00146698e-01] 1e-06 -426.652621799 -19.1200998194
123 1000 [ -5.00146791e-01  -2.62902799e-06  -2.91136574e-06  -5.00148004e-01] 1e-06 -426.652479586 -19.3442690621
124 1000 [ -5.00147828e-01  -2.82373388e-06  -2.52345997e-06  -5.00149332e-01] 1e-06 -426.65236591 -19.2069431412
125 1000 [ -5.00148512e-01  -3.29106220e-06  -2.11498223e-06  -5.00150397e-01] 1e-06 -426.652281828 -19.3048537647
126 1000 [ -5.00149635e-01  -3.50504676e-06  -2.27894105e-06  -5.00151370e-01] 1e-06 -426.652181033 -19.1678308071
