10 500000 0.95 gpomdp sample_bernstein 30000000

1 4000  0.01 187.363
2 4000  0.01 190.83425
3 4000  0.01 192.4685
4 4000  0.01 189.35875
5 4000  0.01 194.65575
6 4000  0.01 193.2025
7 4000  0.01 192.344
8 4000  0.01 190.8065
9 4000  0.01 192.33925
10 4000  0.01 191.3325
11 4000  0.01 191.45425
12 4000  0.01 190.96
13 4000  0.01 191.957
14 4000  0.01 192.13225
15 4000  0.01 190.024
16 4000  0.01 190.52425
17 4000  0.01 192.75375
18 4000  0.01 193.46675
19 4000  0.01 191.58275
20 4000  0.01 188.38475
21 4000  0.01 194.30625
22 4000  0.01 194.73925
23 4000  0.01 196.12975
24 4000  0.01 195.324
25 4000  0.01 195.358
26 4000  0.01 194.8795
27 4000  0.01 195.03825
28 4000  0.01 195.12975
29 4000  0.01 194.0425
30 4000  0.01 194.18125
31 4000  0.01 194.565
32 4000  0.01 194.01
33 4000  0.01 194.50225
34 4000  0.01 193.4335
35 4000  0.01 193.3965
36 4000  0.01 192.51325
37 4000  0.01 192.51125
38 4000  0.01 192.19325
39 4000  0.01 194.1385
40 4000  0.01 193.59975
41 4000  0.01 195.51425
42 4000  0.01 193.7185
43 4000  0.01 194.537
44 4000  0.01 193.2835
45 4000  0.01 194.5175
46 4000  0.01 192.64225
47 4000  0.01 193.30925
48 4000  0.01 191.78725
49 4000  0.01 192.8795
50 4000  0.01 192.27975
51 4000  0.01 191.664
52 4000  0.01 191.44925
53 4000  0.01 194.8335
54 4000  0.01 192.453
55 4000  0.01 193.87575
56 4000  0.01 191.2235
57 4000  0.01 193.133
58 4000  0.01 193.246
59 4000  0.01 193.15125
60 4000  0.01 191.994
61 4000  0.01 192.5425
62 4000  0.01 192.31925
63 4000  0.01 193.68825
64 4000  0.01 192.10525
65 4000  0.01 192.54625
66 4000  0.01 192.723
67 4000  0.01 193.02225
68 4000  0.01 190.8015
69 4000  0.01 194.30575
70 4000  0.01 194.185
71 4000  0.01 193.513
72 4000  0.01 190.45
73 4000  0.01 192.8255
74 4000  0.01 190.952
75 4000  0.01 194.39125
76 4000  0.01 192.53675
77 4000  0.01 193.6715
78 4000  0.01 193.2555
79 4000  0.01 193.53025
80 4000  0.01 193.35075
81 4000  0.01 194.403
82 4000  0.01 193.56225
83 4000  0.01 192.57875
84 4000  0.01 192.67325
85 4000  0.01 192.78
86 4000  0.01 190.49875
87 4000  0.01 193.721
