10 500000 0.95 gpomdp sample_bernstein 30000000

1 1000    8.14196095e-06 187.538
2 2609    2.14438103e-05 187.417018015
3 2348    1.76308766e-05 187.612436116
4 2334    2.12293541e-05 187.522707798
5 2143    2.03270178e-05 187.108726085
6 2413    2.22177531e-05 188.565271446
7 2616    2.24236099e-05 187.172018349
8 2196    2.30432733e-05 187.627504554
9 1842    1.46731885e-05 189.661237785
10 2826    2.39247924e-05 188.251592357
11 2298    2.16016574e-05 188.400348129
12 2299    1.68895128e-05 187.869943454
13 3627    2.46574140e-05 187.893851668
14 2426    2.28999785e-05 187.669414674
15 2347    2.06283174e-05 187.701320835
16 2685    2.35197297e-05 188.297206704
17 2481    2.11685263e-05 187.864973801
18 2497    1.96368893e-05 188.622747297
19 2503    2.11517041e-05 188.227726728
20 2509    2.45706070e-05 188.013551216
21 2209    1.72844277e-05 188.373924853
22 2501    2.56464353e-05 188.868852459
23 1948    1.73286225e-05 189.157597536
24 2711    2.22029687e-05 189.282921431
25 2409    2.23364229e-05 188.402241594
26 2244    1.44219369e-05 188.172905526
27 3210    2.31059535e-05 188.573208723
28 2893    2.49310947e-05 188.783961286
29 2626    2.55463533e-05 189.070449353
30 2123    1.76369214e-05 188.21761658
31 2726    2.21632934e-05 188.739178283
32 2361    2.35795232e-05 188.299449386
33 2014    2.00782938e-05 189.633565045
34 2439    2.19395728e-05 189.43296433
35 2177    1.52303007e-05 189.587046394
36 3202    2.15476902e-05 189.478763273
37 2834    2.49908297e-05 189.380733945
38 2054    2.03525358e-05 189.541382668
39 2236    1.59703653e-05 188.728085868
40 3517    2.48940535e-05 189.38982087
41 2480    1.77483274e-05 188.998790323
42 3476    2.57758980e-05 189.592059839
43 2458    2.12314379e-05 190.129780309
44 2613    1.89341362e-05 188.806735553
45 2977    2.26916688e-05 189.449445751
46 2835    2.22877720e-05 188.729453263
47 2606    2.38673070e-05 189.769762087
48 2028    2.09712048e-05 190.114891519
49 2125    2.01698215e-05 189.756235294
50 2621    2.01229023e-05 189.892025944
51 2763    1.98816262e-05 189.436482085
52 2825    2.23204153e-05 190.435044248
53 2711    1.77841108e-05 190.009590557
54 3667    2.16726778e-05 189.6263976
55 3412    2.62033299e-05 189.847596717
56 2400    2.13706728e-05 189.984583333
57 2085    1.71136581e-05 190.594724221
58 2681    2.23776536e-05 189.798955614
59 2599    1.95931568e-05 190.229318969
60 2769    2.16758497e-05 190.239075479
61 2442    1.96765377e-05 190.688779689
62 2563    1.91238303e-05 190.944986344
63 3235    1.99371060e-05 190.75301391
64 3597    2.63502541e-05 190.404503753
65 2776    2.32080515e-05 189.777377522
66 2446    2.21932838e-05 190.525756337
67 2470    2.08997009e-05 191.295951417
68 2603    2.13804343e-05 190.939684979
69 2592    1.92012589e-05 191.521219136
70 3025    1.80274162e-05 190.490247934
71 4264    2.28020580e-05 191.465525328
72 3376    2.28791353e-05 190.60278436
73 3307    2.26717414e-05 190.800423344
74 2614    1.78686302e-05 191.050879878
75 3449    2.19064290e-05 191.164105538
76 3365    1.99455950e-05 191.051708767
77 3923    2.70276231e-05 190.969666072
78 2573    1.93758798e-05 191.376991838
79 3147    2.03410292e-05 191.042262472
80 3565    2.41295172e-05 191.514446003
81 2789    2.08641489e-05 191.770527071
82 3400    2.00918559e-05 191.532941176
83 3453    2.03560619e-05 191.847089487
84 3822    2.48565273e-05 191.631344846
85 3011    1.95438310e-05 191.291929591
86 2955    1.87878981e-05 191.762774958
87 3039    2.44030393e-05 191.839749918
88 2578    2.02783181e-05 191.594259116
89 2922    2.20031397e-05 191.322039699
90 2787    1.92154604e-05 191.035880875
91 3326    1.94162454e-05 191.944377631
92 3914    2.70548263e-05 191.343893715
93 3082    2.77595277e-05 191.814081765
94 2246    1.47295757e-05 192.452359751
95 4015    2.34778695e-05 191.862266501
96 3470    1.78686491e-05 191.809798271
97 4143    2.39792171e-05 191.723388849
98 3401    2.28401466e-05 191.515730667
99 3195    1.95772666e-05 192.381846635
100 3822    2.42187723e-05 191.675824176
101 2794    2.16864038e-05 191.285612026
102 2994    2.06937329e-05 191.918503674
103 3112    1.96175833e-05 192.140102828
104 3177    2.14466418e-05 192.497954045
105 3035    1.26509726e-05 191.402965404
106 5151    2.61526483e-05 192.442632499
107 3779    2.05607598e-05 192.367292935
108 4131    2.04014537e-05 192.355361898
109 3978    2.23129787e-05 192.049773756
110 3969    2.07299005e-05 191.485260771
111 3655    2.30662623e-05 191.886183311
112 2987    2.05107931e-05 192.931369267
113 3154    1.79249961e-05 192.841471148
114 3829    2.34306734e-05 192.78323322
115 3894    1.91751004e-05 192.043143297
116 4377    2.41786963e-05 192.126799178
117 3261    2.13032428e-05 192.210671573
118 3448    1.63063126e-05 192.479988399
119 4514    2.46708924e-05 192.332299513
120 3575    1.99935559e-05 192.386573427
121 3896    2.28508281e-05 192.704312115
122 3960    2.02058461e-05 192.84469697
123 4696    2.09434107e-05 192.513202726
124 4549    2.20722468e-05 192.672235656
125 4239    2.47168497e-05 192.951639538
126 3440    1.92987628e-05 193.079069767
127 3936    2.33908225e-05 193.016514228
128 3931    2.03722660e-05 193.176036632
129 4530    1.94929274e-05 192.846578366
130 4493    2.11273735e-05 193.16692633
131 4406    2.04863785e-05 192.751929187
132 3601    2.34642195e-05 192.679255762
133 3132    1.84405675e-05 193.18550447
134 4059    2.41378168e-05 192.636363636
135 3604    2.08378260e-05 193.030521643
136 3985    2.24813128e-05 193.068005019
137 4039    2.22308979e-05 193.152760584
138 3884    2.31074761e-05 192.406282183
139 3549    1.81326489e-05 193.1386306
140 3722    1.86962757e-05 193.472326706
141 4423    1.60466144e-05 193.296405155
142 5538    2.49788688e-05 193.471469845
143 4277    2.21721471e-05 193.129530044
144 4290    2.73993563e-05 192.675291375
145 3056    1.38092171e-05 193.108311518
146 4938    2.24337235e-05 193.615836371
147 4425    2.01376066e-05 193.271864407
148 4557    1.97621655e-05 193.489795918
149 5249    2.13543273e-05 193.277195656
150 4533    2.44503737e-05 192.960070593
151 3580    1.69055010e-05 193.543296089
152 5204    2.12098363e-05 193.551114527
153 5306    2.04254787e-05 193.640595552
154 5657    2.17246865e-05 193.714689765
155 4246    2.20489839e-05 193.86104569
156 4522    1.98986808e-05 193.440291906
157 4770    1.94011071e-05 193.78427673
158 5526    1.99508908e-05 193.660152009
159 5341    2.22006962e-05 193.426886351
160 5526    1.94010928e-05 193.572023163
161 5611    2.49007863e-05 193.499554447
162 4019    2.17915076e-05 193.946752924
163 4470    1.67640370e-05 193.598434004
164 5675    2.54284304e-05 193.987665198
165 5063    1.85374463e-05 193.857791823
166 5860    2.29165179e-05 193.752901024
167 4758    1.69528885e-05 194.277847835
168 6739    2.14023010e-05 194.092001781
169 4859    2.45777223e-05 193.661041367
170 4172    1.89728498e-05 194.294822627
171 5380    2.05965023e-05 194.074907063
172 6414    2.65065225e-05 193.768942937
173 5045    2.25197087e-05 194.465411298
174 4359    1.95912148e-05 194.17664602
175 5204    2.29515750e-05 194.178324366
176 4203    1.80158877e-05 194.361884368
177 4963    2.26434493e-05 193.747531735
178 4138    1.60495226e-05 193.98622523
179 5652    2.20468742e-05 194.089525832
180 5086    1.99021715e-05 194.069012977
181 5729    2.60721922e-05 194.193227439
182 5046    1.97645454e-05 194.78319461
183 5756    2.12436934e-05 194.152883947
184 5573    2.10598215e-05 193.866319756
185 4879    1.64654350e-05 194.208444353
186 6564    2.19944844e-05 194.398842169
187 5299    2.16627077e-05 194.513681827
188 5442    2.19000076e-05 193.834252113
189 5145    1.82255659e-05 194.374927114
190 6392    2.00836285e-05 194.668178974
191 6192    2.31878161e-05 194.305555556
192 5973    1.97187449e-05 194.025113009
193 6675    2.29891495e-05 194.584419476
194 5461    2.11783476e-05 194.23255814
195 5258    2.10641076e-05 194.001331305
196 4999    2.24668558e-05 194.888577716
197 5531    2.14741834e-05 194.740553245
198 6111    2.31447258e-05 194.416462117
199 6068    2.13009809e-05 194.138595913
200 5895    2.16155405e-05 194.301272265
201 5812    2.19722444e-05 194.43633861
202 5546    1.69644037e-05 194.695997115
203 7356    2.24730315e-05 194.468733007
204 6591    2.23279067e-05 194.566681839
205 6467    1.97173988e-05 194.868099582
206 6649    2.17339144e-05 194.658896075
207 5892    1.92726130e-05 194.463849287
208 6462    2.01197953e-05 194.756886413
209 7852    2.13023977e-05 194.72427407
210 8346    1.99686217e-05 194.656721783
211 6583    1.99398931e-05 194.375056965
212 6633    1.89790395e-05 194.797376753
213 8647    2.32649589e-05 194.835202961
214 6887    1.80855616e-05 195.008276463
215 8990    2.44831300e-05 194.855839822
216 7992    2.37866290e-05 194.943193193
217 6377    1.51593630e-05 194.328210757
218 8402    2.27669699e-05 194.898357534
219 7603    1.98225193e-05 194.79284493
220 8204    2.24428298e-05 194.802779132
221 7624    2.36952905e-05 194.850734523
222 5691    1.60815845e-05 194.869618696
223 7971    2.03556835e-05 194.792748714
224 7305    1.97486606e-05 194.762628337
225 9209    2.39931916e-05 194.838853296
226 7098    2.34073234e-05 194.828684136
227 6173    1.51852620e-05 194.685080188
228 9425    2.02779889e-05 195.085729443
229 11113    2.31557210e-05 194.64159093
230 8970    2.28437461e-05 195.000111483
231 7074    1.51378945e-05 195.129346904
232 9514    2.20616773e-05 194.832142106
233 7821    2.20011011e-05 194.746963304
234 7235    2.34928562e-05 194.661230131
235 6730    1.97431754e-05 195.009955423
236 8247    1.56637704e-05 194.671880684
237 13067    2.48530802e-05 195.026708502
238 8541    2.02420359e-05 195.132654256
239 7521    1.77069379e-05 195.177635953
240 7177    1.78872046e-05 194.876410757
241 8360    2.27794396e-05 195.068899522
242 8080    2.14129122e-05 194.854950495
243 8384    2.02254759e-05 194.982824427
244 8813    1.80352607e-05 195.149551798
245 10083    1.73643916e-05 195.096895765
246 12224    2.31094245e-05 194.926292539
247 10682    1.92747120e-05 195.034637708
248 9337    2.16284299e-05 195.096819107
249 8917    2.20115425e-05 195.244028261
250 8842    2.12368282e-05 195.239199276
251 8797    1.86961549e-05 195.103671706
