100 100000 0.95 reinforce cheb_reinforce 30000000

1 100 0 1.6133972487e-05 -56.6666666667 -12.7622721916
2 16038 -0.000146303538149 1.76690617188e-05 -56.5309727541 -12.1732815659
3 13772 -0.000319211905358 1.56436163151e-05 -56.3715476694 -12.1524910118
4 14523 -0.000468287262261 1.63445989133e-05 -56.2349113017 -12.1082034072
5 14263 -0.000625456268713 1.62166022048e-05 -56.0916659109 -12.1569950589
6 14190 -0.000781791065122 1.6389739759e-05 -55.9499979527 -12.1380855556
7 13872 -0.000941598095172 1.52358660072e-05 -55.8060185738 -12.1210555228
8 15248 -0.00108329411529 1.63545536525e-05 -55.6790567271 -12.0983632626
9 14960 -0.00123685207038 1.66035915957e-05 -55.5422034612 -12.1171671769
10 14311 -0.00139624177021 1.63351113118e-05 -55.400957108 -12.0975375449
11 14068 -0.00155440260332 1.57751556974e-05 -55.2616026771 -12.143118671
12 14638 -0.00170413891217 1.61173401347e-05 -55.130401925 -12.1417177173
13 14711 -0.0018567431406 1.59908894562e-05 -54.9974136913 -12.137364349
14 14975 -0.00200680783644 1.64537070679e-05 -54.867346923 -12.1311750407
15 14545 -0.0021634844169 1.6290661682e-05 -54.7322927942 -12.1106233397
16 14363 -0.00231958862338 1.54911553085e-05 -54.5984811303 -12.1256022336
17 15383 -0.00246302605173 1.69163204101e-05 -54.4761812079 -12.0830559175
18 14257 -0.00262572827933 1.52629566784e-05 -54.3382072492 -12.1493225233
19 15628 -0.00276593976896 1.61042172235e-05 -54.2199418178 -12.0673339251
20 15727 -0.00291341286323 1.65030939915e-05 -54.0961817046 -12.0988084849
21 15199 -0.00306714111469 1.64976262465e-05 -53.9678548583 -12.1446163542
22 14697 -0.00322342162223 1.60239941688e-05 -53.8381060289 -12.1613246139
23 14911 -0.00337412159883 1.60483715131e-05 -53.7136614761 -12.1024659173
24 15091 -0.00352414936988 1.64520916877e-05 -53.590421371 -12.0471432666
25 14660 -0.0036801945208 1.64633220518e-05 -53.4629202686 -12.07577752
26 14225 -0.00383871521291 1.58385373416e-05 -53.3341027593 -12.0816894201
27 14706 -0.00398870325044 1.65774691497e-05 -53.2128692549 -12.1304475867
28 14105 -0.00414899819362 1.49540746255e-05 -53.0839980308 -12.1103561088
29 15955 -0.0042849539779 1.66769401685e-05 -52.9752516794 -12.0888161956
30 15150 -0.00444055296901 1.64157140854e-05 -52.851416029 -12.1374495113
31 14772 -0.00459566322737 1.60125381167e-05 -52.7286257567 -12.098636227
32 15004 -0.00474578537087 1.64597808858e-05 -52.6104034549 -12.0615672656
33 14564 -0.00490241647631 1.61237374724e-05 -52.4876994998 -12.0713362224
34 14627 -0.00505551832238 1.60457248274e-05 -52.3683912085 -12.0834164515
35 14807 -0.00520695024847 1.58753329053e-05 -52.2509929781 -12.1223542342
36 15251 -0.00535457815826 1.70231128995e-05 -52.1371221721 -12.0853656618
37 13982 -0.00551990693585 1.56567884379e-05 -52.0102705466 -12.0931924666
