100 100000 0.5 gpomdp cheb_gpomdp 30000000

1 100 0 6.78951954596e-06 -56.6666666667 -12.2207001874
2 5833 -6.55189353843e-05 1.57117852026e-05 -56.6058080454 -12.138976059
3 6109 -0.000213672248458 1.64421367325e-05 -56.4687362434 -12.1042565028
4 5941 -0.000370890301823 1.57657435351e-05 -56.3240963425 -12.1067597898
5 6188 -0.000518599307318 1.63509144813e-05 -56.1889663407 -12.1150692643
6 6074 -0.000673226932376 1.59841603227e-05 -56.0482907995 -12.1591828683
7 6188 -0.000822985396911 1.62802056795e-05 -55.9128031294 -12.1811827827
8 6117 -0.000976393192886 1.64210297071e-05 -55.7747808677 -12.09614513
9 5961 -0.00113313886106 1.59963275972e-05 -55.6345505563 -12.169171874
10 6065 -0.00128451865066 1.6191198403e-05 -55.4998772193 -12.1902296194
11 6050 -0.00143793279343 1.6291712791e-05 -55.3641460836 -12.1752681949
12 5974 -0.00159328063908 1.62906333146e-05 -55.2274691903 -12.1263551441
13 5899 -0.00174959459616 1.57542576487e-05 -55.090712878 -12.1827929176
14 6151 -0.00189763410906 1.66692774414e-05 -54.9619025534 -12.0974762749
15 5845 -0.00205831872849 1.58866876612e-05 -54.8228613946 -12.1398252454
16 6014 -0.00220930273355 1.62271213089e-05 -54.6929403413 -12.1318235367
17 5977 -0.00236398945321 1.58228128736e-05 -54.5605567015 -12.1076034882
18 6189 -0.00251221505309 1.64734229832e-05 -54.4343841959 -12.2021982722
19 5999 -0.00266895936453 1.5832603541e-05 -54.3016801834 -12.1421176153
20 6206 -0.00281707810161 1.63748798619e-05 -54.1769533424 -12.1726783583
21 6076 -0.00297189567684 1.64004938182e-05 -54.0472805208 -12.1383684008
22 5934 -0.00312880913132 1.60583295262e-05 -53.9165711873 -12.0952442003
23 6000 -0.00328160106512 1.63680967618e-05 -53.7899849919 -12.1103206996
24 5879 -0.00343893455963 1.60113796149e-05 -53.6603417664 -12.1152577112
25 5972 -0.00359162645841 1.59880230635e-05 -53.5352022954 -12.0979159674
26 6081 -0.00374272454535 1.61485423105e-05 -53.4120222557 -12.145240305
27 6092 -0.0038952027408 1.52442394443e-05 -53.2883706416 -12.1933981833
28 6691 -0.00403255356867 1.72934856576e-05 -53.1775442843 -12.1065482589
29 5969 -0.00419752428207 1.58148421994e-05 -53.0451252121 -12.0984507218
30 6186 -0.00434571446029 1.59275406705e-05 -52.926815772 -12.1258881897
