100 500000 0.5 gpomdp hoeffding 30000000

1 100 0 3.4461402448e-05 -56.6666666667 -12.1825636371
2 129508 -0.000363452527519 1.41601658036e-05 -56.3309201698 -12.1482277052
3 158883 -0.000498284332157 1.62155945438e-05 -56.207507744 -12.1374801148
4 158086 -0.000653076448915 1.61358578339e-05 -56.0665778978 -12.1416902529
5 158571 -0.000806871773651 1.61199149171e-05 -55.9273456279 -12.1511006217
6 159315 -0.000960155948084 1.62089911363e-05 -55.7893531114 -12.1382870832
7 158622 -0.00111462335072 1.61525039722e-05 -55.6510735619 -12.1527430513
8 158840 -0.00126844686556 1.61618453769e-05 -55.5141402211 -12.1448208298
9 158908 -0.00142232660011 1.61204232483e-05 -55.3779190479 -12.1268477948
10 159645 -0.00157545692988 1.61859878053e-05 -55.2431118102 -12.1347734458
11 159322 -0.00172936589517 1.61226762447e-05 -55.1083672949 -12.1365273405
12 160025 -0.00188233600037 1.61534606674e-05 -54.9751818639 -12.1120199072
13 160229 -0.00203550022131 1.61815263532e-05 -54.842557663 -12.1228924488
14 159977 -0.00218905134305 1.62358572302e-05 -54.7103259299 -12.1284097248
15 158848 -0.00234366488811 1.61015975145e-05 -54.5779092456 -12.12894257
16 159890 -0.00249649920535 1.61750521207e-05 -54.4477303774 -12.1278420958
17 159744 -0.00265010105896 1.61601909328e-05 -54.3176071829 -12.1231721863
18 159839 -0.00280351618297 1.61332360685e-05 -54.1883463532 -12.1214164916
19 160372 -0.00295642063073 1.62279631705e-05 -54.0602103914 -12.1109879474
20 159367 -0.00311070677168 1.61611562519e-05 -53.9316137576 -12.1343938996
21 159446 -0.00326431994689 1.6152484385e-05 -53.8042682135 -12.1054334408
22 159665 -0.00341774513655 1.60767599152e-05 -53.6777604007 -12.1213943976
23 161118 -0.00356976105542 1.62171305885e-05 -53.5530813748 -12.1094654596
24 160285 -0.00372350233897 1.61271012077e-05 -53.4276569228 -12.1028273957
25 160920 -0.00387608833902 1.62421807453e-05 -53.303835579 -12.0921257031
26 159682 -0.00403035771603 1.60299041907e-05 -53.1793119476 -12.1067025009
27 161903 -0.00418156252986 1.61551779778e-05 -53.0579045249 -12.0959279587
28 162081 -0.00433386530094 1.62403363351e-05 -52.9362535218 -12.1004339291
29 160864 -0.00448754932761 1.61528078431e-05 -52.8141432348 -12.106107072
30 161080 -0.00464030237236 1.62264340184e-05 -52.6934086846 -12.0899843333
31 160096 -0.00479422262394 1.60081409464e-05 -52.5723879467 -12.0980363587
32 162682 -0.00494486030067 1.62072709721e-05 -52.4545618575 -12.0981983112
33 162003 -0.00509769129411 1.61611235994e-05 -52.3356358146 -12.0847326534
34 162084 -0.00525004904025 1.61552278222e-05 -52.2176904822 -12.0886658042
35 162262 -0.00540226760355 1.62546833515e-05 -52.1004588656 -12.1074159583
36 160809 -0.00555611350562 1.60506207571e-05 -51.9825846598 -12.0792523823
37 162704 -0.00570714097816 1.6262140792e-05 -51.8674625142 -12.0864488201
38 161125 -0.00586090641168 1.60674288696e-05 -51.7508519277 -12.0943161515
39 162745 -0.00601207260405 1.61713605637e-05 -51.6367967988 -12.0838281066
40 162657 -0.00616425794197 1.6213008424e-05 -51.5225534552 -12.0696345516
41 161884 -0.00631719929604 1.60718195364e-05 -51.40832518 -12.0798806964
42 163439 -0.00646808552555 1.62885685166e-05 -51.2961998431 -12.0742473189
43 161420 -0.0066219602738 1.61665505451e-05 -51.1824303671 -12.0843635115
44 161412 -0.00677468620733 1.61113629285e-05 -51.0700817705 -12.0789534015
