100 100000 0.95 gpomdp bernstein 30000000

1 100 0 2.33386939799e-05 -56.6666666667 -12.1742541972
2 3525 -0.00020558809763 2.73263149084e-05 -56.4761963528 -12.0478742611
3 3313 -0.00046206656454 2.65693034242e-05 -56.240597952 -12.1050235771
4 3260 -0.000715479186262 2.58147242841e-05 -56.0099895832 -12.1218617124
5 3354 -0.000955012919866 2.66495001277e-05 -55.7939705624 -12.1511941303
6 3282 -0.00120779619114 2.59272041262e-05 -55.5680399918 -12.1220288385
7 3355 -0.00144828697359 2.65228360176e-05 -55.3550124767 -12.137579469
8 3301 -0.00169915320936 2.64030345907e-05 -55.1347590787 -12.0992871635
9 3274 -0.0019505988164 2.62888739029e-05 -54.9159834989 -12.0834907104
10 3276 -0.00220019842496 2.63836411203e-05 -54.7007547328 -12.0926421101
11 3256 -0.00245257796505 2.59824998432e-05 -54.4850685861 -12.1447042096
12 3313 -0.00269706217798 2.63170653366e-05 -54.2779653355 -12.1404202233
13 3303 -0.00294556224236 2.57613759053e-05 -54.0692871104 -12.0661296113
14 3408 -0.0031809015401 2.68934264681e-05 -53.8733370825 -12.1540343346
15 3281 -0.00343650729677 2.61791543015e-05 -53.6623364294 -12.0290044036
16 3301 -0.00368349723286 2.60997450509e-05 -53.4602291687 -12.0666535547
17 3333 -0.00392776098771 2.69729297307e-05 -53.2620522193 -12.0423931527
18 3194 -0.00419106928992 2.56020013952e-05 -53.0502923672 -12.0550148756
19 3320 -0.00443185987352 2.63074686475e-05 -52.858317109 -12.1877103027
20 3312 -0.00467947910075 2.64554962028e-05 -52.6625453383 -12.0985162324
21 3275 -0.00493136037164 2.61017188339e-05 -52.4650966167 -12.0464400954
22 3313 -0.00517655824175 2.61501316522e-05 -52.2745061739 -12.0376667945
23 3340 -0.00542034956849 2.6480359431e-05 -52.0865730123 -12.0996176828
24 3303 -0.00566979866192 2.6324887722e-05 -51.8958726591 -12.0920221248
25 3296 -0.00591846836696 2.59390786612e-05 -51.7073532868 -12.0908536937
26 3360 -0.00615934946363 2.63553512206e-05 -51.5262291306 -12.0396344622
27 3341 -0.00640544401242 2.63090446971e-05 -51.3426812724 -12.02931439
28 3328 -0.00665234258137 2.63210802846e-05 -51.1600352377 -12.1245703069
29 3315 -0.00690017759054 2.63355653892e-05 -50.978190604 -12.0284272042
30 3303 -0.00714866396857 2.63565158851e-05 -50.7973526818 -12.0113086069
31 3288 -0.00739830156847 2.59561689149e-05 -50.6171557289 -12.0599199382
32 3350 -0.00763992586677 2.63895681345e-05 -50.4441377324 -12.1130312187
33 3325 -0.00788747747206 2.63994511822e-05 -50.2682812852 -12.1391840508
34 3295 -0.00813762810723 2.61383898253e-05 -50.0920067529 -12.08746561
35 3322 -0.00838283858248 2.63154510633e-05 -49.9205902835 -12.1033081915
36 3317 -0.0086297236093 2.64687777064e-05 -49.7493640373 -12.0461740962
37 3284 -0.00888041035681 2.62218236269e-05 -49.5768818086 -11.9904067279
38 3298 -0.00912788645828 2.64842388371e-05 -49.4079571734 -12.0139163016
39 3263 -0.00938013986911 2.55971195579e-05 -49.237134196 -12.1160267048
40 3394 -0.00961556872504 2.64656571826e-05 -49.0789313464 -12.0443133491
41 3359 -0.00986072039592 2.61341910908e-05 -48.9154393657 -12.1272496515
42 3385 -0.0101015474597 2.65151968139e-05 -48.7560537413 -12.0460441928
43 3331 -0.0103502026828 2.6189147576e-05 -48.5927438475 -12.0777337244
44 3338 -0.0105957595042 2.62543774882e-05 -48.4327076073 -12.1229837046
45 3337 -0.0108414181687 2.6658205935e-05 -48.2738226699 -12.0561049824
46 3253 -0.0110975467696 2.5730365749e-05 -48.1094481117 -12.0639603084
47 3355 -0.011337056027 2.67955605637e-05 -47.9569100182 -12.045753191
48 3253 -0.0115935535866 2.57971426017e-05 -47.7947928033 -11.9586017418
49 3344 -0.0118343015012 2.63849840972e-05 -47.6437840793 -12.0779473022
50 3322 -0.0120819002439 2.62655341901e-05 -47.4896307209 -12.017994472
51 3323 -0.0123283561408 2.57556606779e-05 -47.3373366788 -12.0572174011
52 3423 -0.0125632825118 2.6726747751e-05 -47.1932215224 -11.9676319393
53 3329 -0.0128137163198 2.60600221128e-05 -47.0407142237 -11.9744039739
54 3377 -0.013053859824 2.61349277345e-05 -46.8955480649 -12.0216075481
55 3406 -0.0132929728764 2.66745937866e-05 -46.752038819 -12.0514634653
56 3322 -0.0135434722335 2.58837185961e-05 -46.6027905329 -12.0082824933
57 3400 -0.0137807477886 2.62323375118e-05 -46.462443001 -11.9996585895
58 3406 -0.0140210791346 2.60275571844e-05 -46.3212907047 -12.034112671
59 3459 -0.0142553898284 2.66495144636e-05 -46.1846358976 -11.9769271603
60 3378 -0.0145016181265 2.58070060039e-05 -46.0420426213 -11.9473846906
61 3469 -0.0147339980562 2.65888937746e-05 -45.9084105823 -11.9637923865
62 3409 -0.0149766331406 2.62606331589e-05 -45.7698467213 -11.9671011973
63 3407 -0.0152172591175 2.6359235848e-05 -45.6333942823 -12.0764383862
64 3388 -0.0154599239428 2.67539316205e-05 -45.4967478129 -11.9633671407
65 3291 -0.0157133563371 2.55166557369e-05 -45.3550586214 -12.1171135874
66 3430 -0.0159464999371 2.6227466394e-05 -45.2256237774 -11.9487614592
67 3442 -0.0161838129988 2.65688220038e-05 -45.0947617683 -11.947402595
68 3381 -0.0164287259587 2.59330212226e-05 -44.9606383555 -11.9055236857
69 3459 -0.0166616401296 2.67932767336e-05 -44.8339528996 -11.9229350506
70 3359 -0.0169096560138 2.64756549175e-05 -44.6999730856 -11.953072977
71 3314 -0.0171590533163 2.60857379376e-05 -44.5661937241 -11.9939581216
72 3351 -0.0174017997365 2.53695722864e-05 -44.4368842257 -12.0047952212
73 3532 -0.0176261265678 2.66138730158e-05 -44.3181701447 -11.9020286341
74 3461 -0.0178657737279 2.67656430618e-05 -44.1921717279 -11.8803465823
75 3363 -0.0181134854657 2.55567824721e-05 -44.0628182136 -12.0163768788
76 3502 -0.0183417241082 2.68398229883e-05 -43.9444218898 -12.0179545449
77 3374 -0.018590527216 2.55895635286e-05 -43.8162108586 -11.9706758532
78 3510 -0.0188181933304 2.67968702482e-05 -43.6996639178 -11.9490257285
79 3401 -0.0190637553705 2.60301854828e-05 -43.5747745041 -11.9815893713
80 3451 -0.0192988347188 2.56552357909e-05 -43.4560049018 -12.077908499
81 3569 -0.0195239195671 2.72476609046e-05 -43.3430006892 -11.9424719562
82 3362 -0.0197766010737 2.59195137697e-05 -43.2169678356 -11.9227257882
83 3434 -0.0200118991234 2.62707131939e-05 -43.1003838762 -11.9163221784
84 3444 -0.0202487928469 2.65902256367e-05 -42.9837601843 -11.9793201943
85 3375 -0.0204946336123 2.65290245644e-05 -42.8635208014 -11.9328789818
86 3325 -0.0207432172458 2.57011410995e-05 -42.7427490077 -11.9525289799
87 3440 -0.0209761771961 2.55259483875e-05 -42.630299169 -12.0499719547
88 3589 -0.0211985399304 2.73885494834e-05 -42.5236185093 -11.9303514853
89 3354 -0.0214528878657 2.56436435172e-05 -42.4023683801 -11.9476240362
90 3484 -0.0216821512882 2.61941335473e-05 -42.2937790289 -11.95677437
91 3496 -0.0219161729023 2.66646053676e-05 -42.183616683 -11.8988092664
92 3415 -0.0221594808007 2.53487990276e-05 -42.0698053574 -12.0164554078
93 3604 -0.0223790935591 2.71577776843e-05 -41.9677044371 -11.8827657134
94 3410 -0.0226277577788 2.59195809645e-05 -41.8528081562 -12.0015250198
95 3480 -0.0228602243745 2.65189517499e-05 -41.746072817 -12.0273744794
96 3430 -0.0231011752306 2.59899336738e-05 -41.6361257569 -11.9274084827
97 3481 -0.0233346698184 2.61493116032e-05 -41.5302390125 -11.8845308068
98 3508 -0.0235669433527 2.66379394243e-05 -41.4255427258 -11.9652689724
99 3428 -0.0238095154085 2.59435464725e-05 -41.3168761796 -11.9759155321
100 3489 -0.0240419708873 2.71236854262e-05 -41.2133797781 -11.9782777234
101 3313 -0.0242972284105 2.55692704231e-05 -41.1004439663 -11.8309411223
102 3460 -0.0245271810819 2.63283450467e-05 -40.9993369846 -11.8709101219
103 3446 -0.0247655106739 2.60354533079e-05 -40.8951741349 -11.8360530043
104 3498 -0.0249973461256 2.61400717387e-05 -40.7944568583 -11.8733317997
105 3520 -0.0252293216364 2.63921543511e-05 -40.6942728699 -11.8860032099
106 3490 -0.0254655076308 2.62354144109e-05 -40.5928757089 -11.9121704161
107 3500 -0.02569898505 2.64388743809e-05 -40.4932362929 -11.868928874
108 3463 -0.0259371288073 2.64804925579e-05 -40.3922094155 -11.8695956976
109 3421 -0.0261782665359 2.58757658982e-05 -40.2905283828 -11.8189171347
110 3499 -0.026409174679 2.63393196709e-05 -40.1937366881 -11.9054638928
111 3482 -0.0266452518195 2.59688945327e-05 -40.095355542 -11.9256055222
112 3553 -0.0268724944734 2.64758578583e-05 -40.0012026085 -11.8204520741
113 3509 -0.0271076946014 2.65203282962e-05 -39.9043124765 -11.8198780412
114 3458 -0.0273466955929 2.63986473367e-05 -39.8064348794 -11.8585578331
115 3427 -0.0275872449117 2.57599053518e-05 -39.7085066539 -11.9641873716
116 3529 -0.027815221677 2.6500530844e-05 -39.6162323291 -11.8383800146
117 3480 -0.0280526863195 2.59981076379e-05 -39.5206671943 -11.9140972158
118 3534 -0.0282823691278 2.63447579647e-05 -39.4287626582 -11.8953180335
119 3504 -0.0285180662748 2.56209427892e-05 -39.334987643 -11.8121276209
120 3642 -0.028737418338 2.66997430597e-05 -39.2481995176 -11.90843453
121 3547 -0.0289722686206 2.65551363422e-05 -39.1557921399 -11.8813179719
122 3488 -0.029209424882 2.62748049687e-05 -39.0630110092 -11.8655294771
123 3481 -0.0294452958824 2.63019632924e-05 -38.9712600426 -11.864622835
124 3476 -0.0296810575352 2.59416559887e-05 -38.8800727071 -11.8578396907
125 3547 -0.0299089282311 2.58800773567e-05 -38.7924284077 -11.8936375838
126 3611 -0.0301340822754 2.67683498512e-05 -38.7062991569 -11.8915749888
127 3497 -0.0303733803947 2.63759278139e-05 -38.6152674104 -11.7459447341
128 3477 -0.0306097231687 2.58865870743e-05 -38.5258695796 -11.8674694849
129 3556 -0.0308368874406 2.65455641831e-05 -38.4404169923 -11.8667407034
130 3496 -0.0310737267059 2.59214169155e-05 -38.351815014 -11.8560003133
131 3567 -0.0313004788166 2.66196717736e-05 -38.2674516385 -11.9107738954
132 3486 -0.0315390582421 2.61200046407e-05 -38.1791749425 -11.8294715814
133 3516 -0.0317708253626 2.64472496859e-05 -38.0938932218 -11.855916691
134 3464 -0.032010228483 2.56309576065e-05 -38.0062885346 -11.8516452512
135 3575 -0.0322357627456 2.6339830902e-05 -37.9242077537 -11.8776868977
136 3552 -0.0324675750625 2.61480972633e-05 -37.840292334 -11.8594096431
137 3565 -0.0326973251055 2.62356235457e-05 -37.757570188 -11.9424376736
138 3561 -0.0329279197876 2.61111488908e-05 -37.6749875676 -11.7630126986
139 3598 -0.0331539390434 2.60120534282e-05 -37.5944714615 -11.899530798
140 3651 -0.0333763689574 2.65810765803e-05 -37.5156443933 -11.8342674209
141 3574 -0.0336089566746 2.64133663773e-05 -37.4336495289 -11.8071766917
142 3543 -0.0338413419932 2.57101517866e-05 -37.3521636719 -11.9063069298
143 3662 -0.0340603212028 2.67689117843e-05 -37.2757758965 -11.7926094308
144 3544 -0.0342965909832 2.61808123559e-05 -37.1937854769 -11.7855689213
145 3560 -0.0345261453683 2.61754560068e-05 -37.1145485568 -11.7867250092
146 3578 -0.034754498691 2.65347679659e-05 -37.0361367384 -11.8131809021
147 3514 -0.0349905378664 2.58870004891e-05 -36.9555127552 -11.8219155208
148 3597 -0.0352148580926 2.66374031541e-05 -36.8792907911 -11.8286508901
149 3516 -0.0354511655653 2.6381202571e-05 -36.7994131478 -11.8309432123
150 3488 -0.035687407447 2.56056136887e-05 -36.7199825178 -11.8140760892
151 3634 -0.0359066481037 2.67239838197e-05 -36.6466452479 -11.8962143786
152 3532 -0.0361428866518 2.63004249926e-05 -36.5680253147 -11.7723641621
153 3528 -0.0363750596671 2.64905929808e-05 -36.4911628324 -11.6434052185
154 3481 -0.036612424711 2.60841759906e-05 -36.4129927545 -11.827108066
155 3520 -0.0368435208509 2.61454103548e-05 -36.3372835842 -11.780499115
156 3548 -0.0370731359895 2.58631949973e-05 -36.2624439876 -11.780668614
157 3630 -0.0372957654936 2.65225027979e-05 -36.1902443602 -11.7725185995
158 3573 -0.0375273056972 2.60803798069e-05 -36.1155313765 -11.7661091887
159 3621 -0.0377512424019 2.59681574335e-05 -36.0436342875 -11.8201842505
160 3682 -0.0379715578671 2.66445320311e-05 -35.9732450456 -11.7695014353
161 3601 -0.0382021073072 2.6980692655e-05 -35.8999500666 -11.7603363074
162 3452 -0.0384455899363 2.55883086853e-05 -35.8229445229 -11.7953507778
163 3597 -0.0386673040585 2.59143947296e-05 -35.7531793706 -11.8633618753
164 3666 -0.0388883772534 2.66314802182e-05 -35.6839510177 -11.7652500859
165 3598 -0.0391182855412 2.67343523581e-05 -35.61230839 -11.8240337578
166 3499 -0.0393564509306 2.56321999043e-05 -35.5384688397 -11.7221509473
167 3635 -0.0395762898953 2.58319050892e-05 -35.4706483212 -11.6663259
168 3728 -0.039792661214 2.71190788764e-05 -35.404211397 -11.8091351114
169 3533 -0.0400326275424 2.56392650443e-05 -35.3308911021 -11.8376077538
170 3663 -0.0402513544233 2.61490042542e-05 -35.2643892211 -11.7726771678
171 3695 -0.0404715955542 2.69617515758e-05 -35.1977415369 -11.7048259567
172 3541 -0.0407090941115 2.62240360373e-05 -35.1262227674 -11.7451074395
173 3550 -0.0409395408696 2.63635273694e-05 -35.0571734041 -11.7625742731
174 3532 -0.0411720385885 2.59288266109e-05 -34.9878521915 -11.7822015863
175 3610 -0.0413955952833 2.59110604543e-05 -34.9215190933 -11.7911401689
176 3682 -0.0416155253947 2.64033735517e-05 -34.8565681941 -11.7754827737
177 3649 -0.0418413607392 2.63762632081e-05 -34.790187092 -11.8005546657
178 3623 -0.0420685563141 2.62291041645e-05 -34.7237247215 -11.7902212876
179 3620 -0.0422953665107 2.60913443799e-05 -34.6576915367 -11.8035903159
180 3647 -0.0425193777306 2.6449406307e-05 -34.5927814173 -11.6941320611
181 3603 -0.042748621536 2.64802453771e-05 -34.5266699403 -11.6994209833
182 3550 -0.0429817937523 2.60307092295e-05 -34.4597499617 -11.8025764473
183 3604 -0.0432068239411 2.60486797975e-05 -34.3954747684 -11.6913760274
184 3653 -0.0434291549471 2.66203126615e-05 -34.3322656115 -11.6592632057
185 3570 -0.0436620996465 2.60050169234e-05 -34.2663513984 -11.7087074189
186 3629 -0.043885437591 2.61087329215e-05 -34.2034536579 -11.7319305123
187 3668 -0.04410708547 2.62331615642e-05 -34.1413184489 -11.8215620028
188 3670 -0.0443304392983 2.60926761913e-05 -34.0789918275 -11.7757412597
189 3708 -0.0445499692812 2.64294170537e-05 -34.018010926 -11.7197459775
190 3667 -0.044775177453 2.66970369775e-05 -33.9557378876 -11.6680999201
191 3572 -0.045008336802 2.55282933784e-05 -33.8915684249 -11.6884097991
192 3730 -0.0452219628905 2.64828477877e-05 -33.8330428964 -11.7040052118
193 3684 -0.0454459225676 2.65302877515e-05 -33.7719597238 -11.6733478569
194 3622 -0.0456745956513 2.66034413511e-05 -33.7098778039 -11.7083500687
195 3544 -0.0459091573443 2.57936085677e-05 -33.6464962034 -11.6969349526
196 3641 -0.0461305007409 2.58880074358e-05 -33.5869621518 -11.7133291298
197 3720 -0.0463479158499 2.63634814233e-05 -33.5287436442 -11.792516205
198 3681 -0.0465725877687 2.63958818531e-05 -33.4688498012 -11.6055104555
199 3659 -0.0467970454432 2.62547967961e-05 -33.4092831474 -11.6993133157
200 3661 -0.047020725481 2.63803306587e-05 -33.3501896227 -11.731601552
201 3625 -0.0472486413972 2.56358198415e-05 -33.2902491135 -11.7715618001
202 3752 -0.0474626355615 2.67570185157e-05 -33.2342182878 -11.6640351139
