10 100000 0.95 gpomdp sample_hoeffding 30000000

1 10 0 5.75503669294e-06 -56.6666666667 -11.3939965866
2 32 -3.52417253001e-05 9.92867263866e-06 -56.6339132806 -11.9284618505
3 62 -0.00010744480532 9.88448748934e-06 -56.5669418205 -11.9415908564
4 120 -0.000190180474871 1.8667989363e-05 -56.4904207882 -12.3201213466
5 94 -0.000386421604856 1.25290810632e-05 -56.3098530927 -12.0477325936
6 137 -0.000509208655267 1.40539376414e-05 -56.1975354331 -12.1267507164
7 170 -0.000631671537245 1.88233929086e-05 -56.0860182301 -12.0397849081
8 130 -0.000807838696878 1.45915695684e-05 -55.9264727408 -12.8204209634
9 153 -0.00093457592881 1.21841454854e-05 -55.8123276151 -11.8302494917
10 231 -0.00105564903547 7.97538670897e-06 -55.7037757251 -12.0505120802
11 553 -0.00113151924558 2.78568989444e-05 -55.6359954366 -12.0177926208
12 161 -0.00139415518504 1.96542977607e-05 -55.4028009144 -11.9246418612
13 113 -0.00159034016039 1.14213330944e-05 -55.2300491498 -12.1175579229
14 185 -0.00169039184602 1.75240701622e-05 -55.1424177888 -12.387228
15 162 -0.00186632098088 1.8274260473e-05 -54.989091289 -11.9942619968
16 131 -0.00204538999187 1.56743667245e-05 -54.8340191282 -12.0604101151
17 138 -0.00219909996639 1.57859503368e-05 -54.7016977311 -12.00568247
18 144 -0.0023293534168 1.73323583539e-05 -54.59013551 -11.9486727737
19 128 -0.00248854115066 1.34075064945e-05 -54.4544913402 -12.24370572
20 170 -0.00260700750513 1.52706787344e-05 -54.3540422711 -12.1772694936
21 187 -0.00273932269412 1.86554606234e-05 -54.2423476993 -12.3257208303
22 146 -0.00292144529097 2.0917195694e-05 -54.0894593153 -12.0370387065
23 90 -0.00311816104345 1.19938253886e-05 -53.9254183021 -12.1000999851
24 139 -0.00323327731586 1.85025679235e-05 -53.8299473452 -11.8097926261
25 110 -0.00340064545865 2.01931666945e-05 -53.6918264863 -12.2364369255
26 74 -0.00360820723953 1.88791439558e-05 -53.5216534603 -11.5055706328
27 57 -0.00380961268257 1.59593884438e-05 -53.3576990502 -11.9248776535
28 59 -0.00395637157515 2.14647274644e-05 -53.2389493582 -11.5636132199
29 35 -0.00417965702098 5.04862212785e-06 -53.059430585 -11.3610040519
30 122 -0.00422083491613 1.5089683015e-05 -53.0264748543 -12.4402328792
31 137 -0.00435869301271 2.26120394283e-05 -52.9164828807 -11.7993260201
32 71 -0.00456459210469 1.62005268037e-05 -52.753170415 -12.1421948475
33 71 -0.00471509743905 1.98098878731e-05 -52.6345211305 -12.1091744092
34 50 -0.0049199570551 1.54825519753e-05 -52.4739990424 -12.118694161
35 54 -0.00505052735913 6.4189910756e-06 -52.372270753 -12.9280015864
36 157 -0.00509152998032 1.3804481266e-05 -52.3404183305 -11.9876895864
37 200 -0.00522910127632 2.09223700276e-05 -52.233870777 -12.1267847543
38 124 -0.0054118240665 1.11435273027e-05 -52.0931190249 -12.2813624908
39 209 -0.00550684097471 1.30164579554e-05 -52.0202699237 -11.7259874918
40 289 -0.00563938852215 1.84764406933e-05 -51.9190351466 -12.3997511391
41 229 -0.00581451778123 2.12572276115e-05 -51.7859681755 -11.9069735842
42 137 -0.00600368600581 9.96733376189e-06 -51.6431093971 -12.1974433745
