10000 10000 0.95 gpomdp cheb_gpomdp 30000000

1 10000 0 2.73472373515e-05 -56.6666666667 -12.1873213844
2 10000 -0.000263465829799 2.70407776336e-05 -56.4228354979 -12.1583490545
3 10000 -0.000519464829291 2.71499801227e-05 -56.1881766895 -12.1427814236
4 10000 -0.000778100039606 2.71466258282e-05 -55.9533333576 -12.1700964627
5 10000 -0.00103665387506 2.70526219677e-05 -55.7207747757 -12.1590408952
6 10000 -0.0012929375086 2.75337737772e-05 -55.49240917 -12.1323725015
7 10000 -0.00156105447329 2.70079062056e-05 -55.2557591847 -12.1651733162
8 10000 -0.00181626517269 2.71027650903e-05 -55.0326175298 -12.1263077007
9 10000 -0.00207375729148 2.69117345799e-05 -54.8095443917 -12.1554270977
10 10000 -0.00232667544522 2.69378175777e-05 -54.592423988 -12.1133110035
11 10000 -0.00258021334636 2.69357552108e-05 -54.3767244655 -12.1251237382
12 10000 -0.00283370218985 2.71309652444e-05 -54.1629953196 -12.1032788778
13 10000 -0.00309187643802 2.71722377103e-05 -53.9472714027 -12.1095273041
14 10000 -0.00335105226137 2.68849638273e-05 -53.7326690966 -12.1110178942
15 10000 -0.00360333588255 2.71560688248e-05 -53.5256332342 -12.1266582092
16 10000 -0.00386211886931 2.71405954282e-05 -53.3151443729 -12.1025656114
17 10000 -0.00412052647192 2.67794454846e-05 -53.1068361862 -12.1018823125
18 10000 -0.00437032430431 2.68533953441e-05 -52.907226528 -12.0779959471
19 10000 -0.00462186169365 2.66709267996e-05 -52.7079505325 -12.1496497198
20 10000 -0.00486912819283 2.69896655078e-05 -52.5137225647 -12.1278016446
21 10000 -0.00512390249455 2.6949302161e-05 -52.3153014099 -12.1160749774
22 10000 -0.00537771375195 2.72776312706e-05 -52.1193283152 -12.0055039959
23 10000 -0.0056394648039 2.69694923853e-05 -51.9189770154 -12.1546776815
24 10000 -0.00589375733631 2.69092301246e-05 -51.7260167403 -12.1011397289
25 10000 -0.00614661606155 2.67754993128e-05 -51.5357672443 -12.0260409549
26 10000 -0.00639632139995 2.68574053726e-05 -51.3494585274 -12.1052933926
27 10000 -0.00664795345952 2.70534811837e-05 -51.1632691161 -12.0583452109
28 10000 -0.00690425775329 2.70091244551e-05 -50.9752092784 -12.1303338173
29 10000 -0.00715949762494 2.70618187661e-05 -50.7895019424 -12.0925288419
30 10000 -0.00741600248547 2.68096414193e-05 -50.6044344048 -12.0578927207
31 10000 -0.00766650919484 2.68893078875e-05 -50.4251854896 -12.1324373881
32 10000 -0.00791889567397 2.69533042911e-05 -50.2460632295 -12.1088508726
33 10000 -0.00817280225861 2.6833232426e-05 -50.0673346038 -12.1037878214
34 10000 -0.00842386416634 2.67593344381e-05 -49.8920429676 -12.0843619879
35 10000 -0.00867319096915 2.69091903471e-05 -49.7193575633 -12.0550594077
36 10000 -0.00892604875062 2.6684199443e-05 -49.5456292241 -12.0607234864
37 10000 -0.00917362349364 2.69706574727e-05 -49.3768829776 -12.066330706
38 10000 -0.0094279438258 2.70027675765e-05 -49.2049156423 -12.0617277814
39 10000 -0.00968303151175 2.67592432794e-05 -49.0338143115 -12.0586767108
40 10000 -0.00993235618148 2.68012936731e-05 -48.8679029866 -12.061291433
41 10000 -0.0101826667221 2.65800409947e-05 -48.7026372363 -12.0181101238
42 10000 -0.0104278325704 2.64726342456e-05 -48.5420178923 -12.0596685375
43 10000 -0.010670538406 2.6668727507e-05 -48.3842144656 -12.0083640041
44 10000 -0.0109177538652 2.66776159148e-05 -48.2246968083 -12.0166517688
45 10000 -0.0111651756653 2.67156451163e-05 -48.0662627091 -11.9945453356
46 10000 -0.0114134822082 2.68500354714e-05 -47.9084719421 -12.1029945272
47 10000 -0.0116649403035 2.65310672481e-05 -47.7498996332 -11.9830400591
48 10000 -0.0119089814668 2.65649688375e-05 -47.5971663188 -12.0487337114
49 10000 -0.0121538006435 2.63411920694e-05 -47.4450831178 -12.07659886
50 10000 -0.0123935286812 2.66491120125e-05 -47.2972540384 -12.0283012655
51 10000 -0.0126402893711 2.65368565471e-05 -47.1462038869 -12.060141859
52 10000 -0.0128844632228 2.66072563124e-05 -46.9978391005 -11.9893980054
53 10000 -0.0131302562614 2.63700086709e-05 -46.8495853336 -12.0401239081
54 10000 -0.0133706340778 2.62202490726e-05 -46.7056487912 -12.0733160949
55 10000 -0.0136076535295 2.66662262693e-05 -46.5647299141 -11.9976917702
56 10000 -0.0138548109538 2.68867847446e-05 -46.4188368662 -11.98434397
57 10000 -0.0141071376854 2.63355427515e-05 -46.2709898256 -11.9779607032
58 10000 -0.014346738538 2.6443316616e-05 -46.1316144981 -12.0071447232
59 10000 -0.0145887770853 2.64038739875e-05 -45.9918144982 -12.0210332065
60 10000 -0.0148299207103 2.68452595266e-05 -45.8535138172 -11.9698568036
61 10000 -0.0150812661342 2.66790144447e-05 -45.7103948235 -12.0594695255
62 10000 -0.015328720416 2.66632828745e-05 -45.5705101818 -12.041139309
63 10000 -0.0155758095635 2.62275819366e-05 -45.4318296612 -12.0161435631
64 10000 -0.0158129923913 2.66630016179e-05 -45.2996371388 -11.9765966601
65 10000 -0.0160600750156 2.68180582195e-05 -45.1628836717 -11.9876682213
66 10000 -0.0163107796697 2.638026959e-05 -45.025112875 -11.9739407466
67 10000 -0.0165513892701 2.6314038659e-05 -44.8938151671 -11.9541179748
68 10000 -0.0167905065923 2.62901133236e-05 -44.7642206031 -11.9542592501
69 10000 -0.0170290870538 2.65194555539e-05 -44.6357911645 -11.9909811321
70 10000 -0.0172728622938 2.642982228e-05 -44.505458132 -12.025987023
71 10000 -0.0175145943021 2.68442732385e-05 -44.3770995843 -11.964854468
72 10000 -0.0177659164642 2.61708465672e-05 -44.2445704954 -11.9845884641
73 10000 -0.0180018380608 2.63615298303e-05 -44.1210090065 -11.9517586986
74 10000 -0.0182420245125 2.64297244191e-05 -43.9960474427 -11.9926409954
75 10000 -0.0184837542991 2.62689255646e-05 -43.8711237223 -11.9777447078
76 10000 -0.0187218603037 2.62990503125e-05 -43.7488891996 -11.976174485
77 10000 -0.0189606411654 2.62381206871e-05 -43.6271139711 -11.9983732228
78 10000 -0.0191980589873 2.62406131208e-05 -43.5068260656 -11.9630067313
79 10000 -0.0194355324185 2.64428464884e-05 -43.3872925173 -11.9460928083
80 10000 -0.01967756028 2.63283747001e-05 -43.2662639298 -11.9549084904
81 10000 -0.01991699985 2.64696130281e-05 -43.1473141162 -11.9748170642
82 10000 -0.0201596368381 2.64139465242e-05 -43.0275640684 -11.9408629937
83 10000 -0.0204010086944 2.64059907146e-05 -42.9092179911 -11.9257333038
84 10000 -0.0206422002645 2.63807410416e-05 -42.7917294486 -11.964785322
85 10000 -0.0208828205197 2.62791117395e-05 -42.675277938 -11.9491800848
86 10000 -0.0211211545088 2.62411712751e-05 -42.5606728149 -11.8969069854
87 10000 -0.021358640395 2.63004703325e-05 -42.4472010162 -11.9045122747
88 10000 -0.0215974531138 2.62490094713e-05 -42.3338186515 -11.9371138169
89 10000 -0.0218351139714 2.61230764312e-05 -42.2216965676 -11.9038849264
90 10000 -0.0220699786595 2.61014939735e-05 -42.1115862844 -11.9018477555
91 10000 -0.0223043673376 2.62880556052e-05 -42.0023792681 -11.8806386884
92 10000 -0.0225429016804 2.64232831344e-05 -41.8919317949 -11.9333065615
