trajectory performance
1000 -56.666667
2000 -55.796754
3000 -55.017758
4000 -54.055267
5000 -53.003093
6000 -52.120251
7000 -51.324241
8000 -50.213212
9000 -49.457163
10000 -48.806310
11000 -48.145765
12000 -47.607157
13000 -46.860118
14000 -46.218193
15000 -45.617703
16000 -45.037571
17000 -44.603583
18000 -44.051044
19000 -43.646280
20000 -43.221160
21000 -42.709665
22000 -42.219376
23000 -41.780295
24000 -41.214191
25000 -40.797367
26000 -40.367816
27000 -40.041228
28000 -39.613861
29000 -39.271726
30000 -38.890010
31000 -38.504777
32000 -38.216173
33000 -37.818765
34000 -37.409383
35000 -37.065646
36000 -36.728758
37000 -36.417377
38000 -36.134282
39000 -35.813541
40000 -35.520980
41000 -35.301162
42000 -35.001135
43000 -34.712502
44000 -34.442923
45000 -34.214664
46000 -33.987761
47000 -33.733280
48000 -33.476993
49000 -33.254329
50000 -33.057042
51000 -32.877842
52000 -32.632484
53000 -32.446642
54000 -32.211413
55000 -32.049046
56000 -31.831347
57000 -31.652014
58000 -31.423140
59000 -31.294731
60000 -31.055896
61000 -30.904325
62000 -30.695091
63000 -30.498715
64000 -30.353646
65000 -30.215717
66000 -30.053752
67000 -29.903202
68000 -29.748794
69000 -29.572312
70000 -29.407250
71000 -29.277286
72000 -29.154017
73000 -29.015813
74000 -28.850729
75000 -28.678930
76000 -28.558469
77000 -28.422321
78000 -28.256959
79000 -28.177878
80000 -28.021572
81000 -27.907546
82000 -27.805677
83000 -27.679289
84000 -27.582476
85000 -27.463047
86000 -27.321637
87000 -27.242458
88000 -27.110166
89000 -27.033255
90000 -26.893036
91000 -26.819066
92000 -26.714498
93000 -26.585110
94000 -26.484022
95000 -26.349694
96000 -26.248497
97000 -26.152351
98000 -26.064584
99000 -25.963858
100000 -25.869732
101000 -25.777399
102000 -25.688121
103000 -25.575545
104000 -25.480414
105000 -25.375824
106000 -25.271592
107000 -25.185338
108000 -25.125654
109000 -25.039464
110000 -24.961404
111000 -24.900710
112000 -24.819565
113000 -24.739826
114000 -24.660758
115000 -24.587300
116000 -24.512739
117000 -24.434068
118000 -24.336893
119000 -24.262857
120000 -24.218606
121000 -24.164173
122000 -24.094984
123000 -24.025438
124000 -23.955687
125000 -23.903801
126000 -23.833420
127000 -23.784584
128000 -23.697761
129000 -23.628407
130000 -23.564328
131000 -23.495095
132000 -23.433424
133000 -23.366398
134000 -23.320909
135000 -23.260257
136000 -23.198246
137000 -23.152267
138000 -23.108551
139000 -23.044262
140000 -23.000060
141000 -22.937084
142000 -22.882498
143000 -22.836730
144000 -22.791849
145000 -22.718671
146000 -22.672363
147000 -22.634303
148000 -22.571619
149000 -22.517902
150000 -22.463673
151000 -22.412055
152000 -22.372046
153000 -22.316257
154000 -22.260902
155000 -22.205178
156000 -22.169468
157000 -22.115130
158000 -22.063504
159000 -22.011983
160000 -21.963127
161000 -21.920412
162000 -21.869849
163000 -21.820379
164000 -21.785265
165000 -21.753817
166000 -21.716916
167000 -21.681216
168000 -21.634317
169000 -21.600099
170000 -21.566811
171000 -21.515308
172000 -21.484753
173000 -21.450315
174000 -21.404222
175000 -21.371920
176000 -21.330455
177000 -21.299796
178000 -21.270962
179000 -21.223439
180000 -21.193005
181000 -21.148409
182000 -21.118100
183000 -21.086146
184000 -21.047568
185000 -21.014728
186000 -20.981344
187000 -20.945080
188000 -20.909286
189000 -20.880386
190000 -20.836936
191000 -20.797584
192000 -20.766785
193000 -20.726918
194000 -20.700052
