trajectory performance
1000 -56.666667
2000 -56.666667
3000 -56.666667
4000 -56.666667
5000 -56.471709
6000 -56.471709
7000 -56.471709
8000 -56.252258
9000 -56.252258
10000 -56.252258
11000 -56.017739
12000 -56.017739
13000 -56.017739
14000 -55.799087
15000 -55.799087
16000 -55.799087
17000 -55.799087
18000 -55.586267
19000 -55.586267
20000 -55.586267
21000 -55.357062
22000 -55.357062
23000 -55.357062
24000 -55.140365
25000 -55.140365
26000 -55.140365
27000 -55.140365
28000 -54.925673
29000 -54.925673
30000 -54.925673
31000 -54.704355
32000 -54.704355
33000 -54.704355
34000 -54.488914
35000 -54.488914
36000 -54.488914
37000 -54.277795
38000 -54.277795
39000 -54.277795
40000 -54.277795
41000 -54.060249
42000 -54.060249
43000 -54.060249
44000 -53.857285
45000 -53.857285
46000 -53.857285
47000 -53.649620
48000 -53.649620
49000 -53.649620
50000 -53.444475
51000 -53.444475
52000 -53.444475
53000 -53.444475
54000 -53.236949
55000 -53.236949
56000 -53.236949
57000 -53.047143
58000 -53.047143
59000 -53.047143
60000 -52.854234
61000 -52.854234
62000 -52.854234
63000 -52.854234
64000 -52.658298
65000 -52.658298
66000 -52.658298
67000 -52.454099
68000 -52.454099
69000 -52.454099
70000 -52.273614
71000 -52.273614
72000 -52.273614
73000 -52.273614
74000 -52.083687
75000 -52.083687
76000 -52.083687
77000 -51.885421
78000 -51.885421
79000 -51.885421
80000 -51.699456
81000 -51.699456
82000 -51.699456
83000 -51.699456
84000 -51.515569
85000 -51.515569
86000 -51.515569
87000 -51.328339
88000 -51.328339
89000 -51.328339
90000 -51.147095
91000 -51.147095
92000 -51.147095
93000 -51.147095
94000 -50.975698
95000 -50.975698
96000 -50.975698
97000 -50.789979
98000 -50.789979
99000 -50.789979
100000 -50.613104
101000 -50.613104
102000 -50.613104
103000 -50.613104
104000 -50.442311
105000 -50.442311
106000 -50.442311
107000 -50.258662
108000 -50.258662
109000 -50.258662
110000 -50.087743
111000 -50.087743
112000 -50.087743
113000 -49.910314
114000 -49.910314
115000 -49.910314
116000 -49.910314
117000 -49.739509
118000 -49.739509
119000 -49.739509
120000 -49.572388
121000 -49.572388
122000 -49.572388
123000 -49.402561
124000 -49.402561
125000 -49.402561
126000 -49.402561
127000 -49.234476
128000 -49.234476
129000 -49.234476
130000 -49.071945
131000 -49.071945
132000 -49.071945
133000 -48.907804
134000 -48.907804
135000 -48.907804
136000 -48.907804
137000 -48.750304
138000 -48.750304
139000 -48.750304
140000 -48.588126
141000 -48.588126
142000 -48.588126
143000 -48.588126
144000 -48.430844
145000 -48.430844
146000 -48.430844
147000 -48.271933
148000 -48.271933
149000 -48.271933
150000 -48.110867
151000 -48.110867
152000 -48.110867
153000 -48.110867
154000 -47.956449
155000 -47.956449
156000 -47.956449
157000 -47.808126
158000 -47.808126
159000 -47.808126
160000 -47.654643
161000 -47.654643
162000 -47.654643
163000 -47.654643
164000 -47.495098
165000 -47.495098
166000 -47.495098
167000 -47.347450
168000 -47.347450
169000 -47.347450
170000 -47.198726
171000 -47.198726
172000 -47.198726
173000 -47.198726
174000 -47.050397
175000 -47.050397
176000 -47.050397
177000 -46.898243
178000 -46.898243
179000 -46.898243
180000 -46.754436
181000 -46.754436
182000 -46.754436
183000 -46.754436
184000 -46.611528
185000 -46.611528
186000 -46.611528
187000 -46.465366
188000 -46.465366
189000 -46.465366
190000 -46.320756
191000 -46.320756
192000 -46.320756
193000 -46.320756
194000 -46.181307
195000 -46.181307
196000 -46.181307
197000 -46.040160
198000 -46.040160
199000 -46.040160
200000 -46.040160
201000 -45.896432
202000 -45.896432
203000 -45.896432
204000 -45.759393
205000 -45.759393
206000 -45.759393
207000 -45.622967
208000 -45.622967
209000 -45.622967
210000 -45.622967
211000 -45.485118
212000 -45.485118
213000 -45.485118
214000 -45.351921
215000 -45.351921
216000 -45.351921
217000 -45.216599
218000 -45.216599
219000 -45.216599
220000 -45.216599
221000 -45.082433
222000 -45.082433
223000 -45.082433
224000 -44.958610
225000 -44.958610
226000 -44.958610
227000 -44.958610
228000 -44.823728
229000 -44.823728
230000 -44.823728
231000 -44.691042
232000 -44.691042
233000 -44.691042
234000 -44.558177
235000 -44.558177
236000 -44.558177
237000 -44.558177
238000 -44.432370
239000 -44.432370
240000 -44.432370
241000 -44.309260
242000 -44.309260
243000 -44.309260
244000 -44.309260
245000 -44.178339
246000 -44.178339
247000 -44.178339
248000 -44.049740
249000 -44.049740
250000 -44.049740
251000 -43.924496
252000 -43.924496
253000 -43.924496
254000 -43.924496
255000 -43.800438
256000 -43.800438
257000 -43.800438
258000 -43.675376
259000 -43.675376
260000 -43.675376
261000 -43.675376
262000 -43.559212
263000 -43.559212
264000 -43.559212
265000 -43.430056
266000 -43.430056
267000 -43.430056
268000 -43.312848
269000 -43.312848
270000 -43.312848
271000 -43.312848
272000 -43.191987
273000 -43.191987
274000 -43.191987
275000 -43.072594
276000 -43.072594
277000 -43.072594
278000 -43.072594
279000 -42.958839
280000 -42.958839
281000 -42.958839
282000 -42.836398
283000 -42.836398
284000 -42.836398
285000 -42.721170
286000 -42.721170
287000 -42.721170
288000 -42.721170
289000 -42.604867
290000 -42.604867
291000 -42.604867
292000 -42.491551
293000 -42.491551
294000 -42.491551
295000 -42.491551
296000 -42.383957
297000 -42.383957
298000 -42.383957
299000 -42.266165
300000 -42.266165
301000 -42.266165
302000 -42.266165
303000 -42.153620
304000 -42.153620
305000 -42.153620
306000 -42.049897
307000 -42.049897
308000 -42.049897
309000 -42.049897
310000 -41.936952
311000 -41.936952
312000 -41.936952
313000 -41.833333
314000 -41.833333
315000 -41.833333
316000 -41.833333
317000 -41.719739
318000 -41.719739
319000 -41.719739
320000 -41.617552
321000 -41.617552
322000 -41.617552
323000 -41.617552
324000 -41.507912
325000 -41.507912
326000 -41.507912
327000 -41.401149
328000 -41.401149
329000 -41.401149
330000 -41.291294
331000 -41.291294
332000 -41.291294
333000 -41.291294
334000 -41.188121
335000 -41.188121
336000 -41.188121
337000 -41.087323
338000 -41.087323
339000 -41.087323
340000 -41.087323
341000 -40.983298
342000 -40.983298
343000 -40.983298
344000 -40.883048
345000 -40.883048
346000 -40.883048
347000 -40.883048
348000 -40.780094
349000 -40.780094
350000 -40.780094
351000 -40.680942
352000 -40.680942
353000 -40.680942
354000 -40.680942
355000 -40.576344
356000 -40.576344
357000 -40.576344
358000 -40.480684
359000 -40.480684
360000 -40.480684
361000 -40.480684
362000 -40.382984
363000 -40.382984
364000 -40.382984
365000 -40.280913
366000 -40.280913
367000 -40.280913
368000 -40.280913
369000 -40.178909
370000 -40.178909
371000 -40.178909
372000 -40.084882
373000 -40.084882
374000 -40.084882
375000 -40.084882
376000 -39.989659
377000 -39.989659
378000 -39.989659
379000 -39.887774
380000 -39.887774
381000 -39.887774
382000 -39.887774
383000 -39.795138
384000 -39.795138
385000 -39.795138
386000 -39.698629
387000 -39.698629
388000 -39.698629
389000 -39.698629
390000 -39.604110
391000 -39.604110
392000 -39.604110
393000 -39.504972
394000 -39.504972
395000 -39.504972
396000 -39.504972
397000 -39.415263
398000 -39.415263
399000 -39.415263
400000 -39.318672
401000 -39.318672
402000 -39.318672
403000 -39.318672
404000 -39.233670
405000 -39.233670
406000 -39.233670
407000 -39.137837
408000 -39.137837
409000 -39.137837
410000 -39.137837
411000 -39.045583
412000 -39.045583
413000 -39.045583
414000 -38.952867
415000 -38.952867
416000 -38.952867
417000 -38.952867
418000 -38.864333
419000 -38.864333
420000 -38.864333
421000 -38.778688
422000 -38.778688
423000 -38.778688
424000 -38.778688
425000 -38.688269
426000 -38.688269
427000 -38.688269
428000 -38.597454
429000 -38.597454
430000 -38.597454
431000 -38.597454
432000 -38.507289
433000 -38.507289
