trajectory performance
1000 -56.666667
2000 -56.666667
3000 -56.666667
4000 -56.666667
5000 -56.666667
6000 -56.624073
7000 -56.624073
8000 -56.624073
9000 -56.624073
10000 -56.467087
11000 -56.467087
12000 -56.467087
13000 -56.467087
14000 -56.324203
15000 -56.324203
16000 -56.324203
17000 -56.324203
18000 -56.182349
19000 -56.182349
20000 -56.182349
21000 -56.182349
22000 -56.045016
23000 -56.045016
24000 -56.045016
25000 -56.045016
26000 -55.903882
27000 -55.903882
28000 -55.903882
29000 -55.903882
30000 -55.903882
31000 -55.772964
32000 -55.772964
33000 -55.772964
34000 -55.772964
35000 -55.630205
36000 -55.630205
37000 -55.630205
38000 -55.487647
39000 -55.487647
40000 -55.487647
41000 -55.487647
42000 -55.487647
43000 -55.361812
44000 -55.361812
45000 -55.361812
46000 -55.361812
47000 -55.232590
48000 -55.232590
49000 -55.232590
50000 -55.232590
51000 -55.086671
52000 -55.086671
53000 -55.086671
54000 -55.086671
55000 -54.955617
56000 -54.955617
57000 -54.955617
58000 -54.955617
59000 -54.823817
60000 -54.823817
61000 -54.823817
62000 -54.823817
63000 -54.686246
64000 -54.686246
65000 -54.686246
66000 -54.686246
67000 -54.559484
68000 -54.559484
69000 -54.559484
70000 -54.559484
71000 -54.427749
72000 -54.427749
73000 -54.427749
74000 -54.427749
75000 -54.298195
76000 -54.298195
77000 -54.298195
78000 -54.298195
79000 -54.175623
80000 -54.175623
81000 -54.175623
82000 -54.175623
83000 -54.044926
84000 -54.044926
85000 -54.044926
86000 -54.044926
87000 -53.915805
88000 -53.915805
89000 -53.915805
90000 -53.915805
91000 -53.786443
92000 -53.786443
93000 -53.786443
94000 -53.786443
95000 -53.662307
96000 -53.662307
97000 -53.662307
98000 -53.662307
99000 -53.531514
100000 -53.531514
101000 -53.531514
102000 -53.531514
103000 -53.411623
104000 -53.411623
105000 -53.411623
106000 -53.411623
107000 -53.286415
108000 -53.286415
109000 -53.286415
110000 -53.286415
111000 -53.164608
112000 -53.164608
113000 -53.164608
114000 -53.164608
115000 -53.034554
116000 -53.034554
117000 -53.034554
118000 -53.034554
119000 -52.913511
120000 -52.913511
121000 -52.913511
122000 -52.913511
123000 -52.793250
124000 -52.793250
125000 -52.793250
126000 -52.793250
127000 -52.674001
128000 -52.674001
129000 -52.674001
130000 -52.674001
131000 -52.552894
132000 -52.552894
133000 -52.552894
134000 -52.552894
135000 -52.437211
136000 -52.437211
137000 -52.437211
138000 -52.437211
139000 -52.437211
140000 -52.322363
141000 -52.322363
142000 -52.322363
143000 -52.322363
144000 -52.203699
145000 -52.203699
146000 -52.203699
147000 -52.203699
148000 -52.084070
149000 -52.084070
150000 -52.084070
151000 -52.084070
152000 -51.968324
153000 -51.968324
154000 -51.968324
155000 -51.968324
156000 -51.854476
157000 -51.854476
158000 -51.854476
159000 -51.854476
160000 -51.731968
161000 -51.731968
162000 -51.731968
163000 -51.731968
164000 -51.620662
165000 -51.620662
166000 -51.620662
167000 -51.620662
168000 -51.502130
169000 -51.502130
170000 -51.502130
171000 -51.502130
172000 -51.391729
173000 -51.391729
174000 -51.391729
175000 -51.391729
176000 -51.275899
177000 -51.275899
178000 -51.275899
179000 -51.275899
180000 -51.164715
181000 -51.164715
182000 -51.164715
183000 -51.164715
184000 -51.056163
185000 -51.056163
186000 -51.056163
187000 -51.056163
188000 -50.939703
189000 -50.939703
190000 -50.939703
191000 -50.939703
192000 -50.826240
193000 -50.826240
194000 -50.826240
195000 -50.826240
196000 -50.717197
197000 -50.717197
198000 -50.717197
199000 -50.717197
200000 -50.609477
201000 -50.609477
202000 -50.609477
203000 -50.609477
204000 -50.609477
205000 -50.502367
206000 -50.502367
207000 -50.502367
208000 -50.502367
209000 -50.395520
210000 -50.395520
211000 -50.395520
212000 -50.395520
213000 -50.292784
214000 -50.292784
215000 -50.292784
216000 -50.292784
217000 -50.177477
218000 -50.177477
219000 -50.177477
220000 -50.177477
221000 -50.073443
222000 -50.073443
223000 -50.073443
224000 -50.073443
225000 -49.967795
226000 -49.967795
227000 -49.967795
228000 -49.967795
229000 -49.858916
230000 -49.858916
231000 -49.858916
232000 -49.858916
233000 -49.858916
234000 -49.757185
235000 -49.757185
236000 -49.757185
237000 -49.757185
238000 -49.651803
239000 -49.651803
240000 -49.651803
241000 -49.651803
242000 -49.555298
243000 -49.555298
244000 -49.555298
245000 -49.555298
246000 -49.445174
247000 -49.445174
248000 -49.445174
249000 -49.445174
250000 -49.345756
251000 -49.345756
252000 -49.345756
253000 -49.345756
254000 -49.243571
255000 -49.243571
256000 -49.243571
257000 -49.243571
258000 -49.243571
259000 -49.142028
260000 -49.142028
261000 -49.142028
262000 -49.142028
263000 -49.046371
264000 -49.046371
265000 -49.046371
266000 -49.046371
267000 -48.948809
268000 -48.948809
269000 -48.948809
270000 -48.948809
271000 -48.948809
272000 -48.846381
273000 -48.846381
274000 -48.846381
275000 -48.846381
276000 -48.747420
277000 -48.747420
278000 -48.747420
279000 -48.747420
280000 -48.652150
281000 -48.652150
282000 -48.652150
283000 -48.652150
284000 -48.545093
285000 -48.545093
286000 -48.545093
287000 -48.545093
288000 -48.450820
289000 -48.450820
290000 -48.450820
291000 -48.450820
292000 -48.350583
293000 -48.350583
294000 -48.350583
295000 -48.350583
296000 -48.350583
297000 -48.256817
298000 -48.256817
299000 -48.256817
300000 -48.256817
301000 -48.159551
302000 -48.159551
303000 -48.159551
304000 -48.159551
305000 -48.063828
306000 -48.063828
307000 -48.063828
308000 -48.063828
309000 -47.970072
310000 -47.970072
311000 -47.970072
312000 -47.970072
313000 -47.970072
314000 -47.877062
315000 -47.877062
316000 -47.877062
317000 -47.877062
318000 -47.777050
319000 -47.777050
320000 -47.777050
321000 -47.777050
322000 -47.684555
323000 -47.684555
324000 -47.684555
325000 -47.684555
326000 -47.594232
327000 -47.594232
328000 -47.594232
329000 -47.594232
330000 -47.499805
331000 -47.499805
332000 -47.499805
333000 -47.499805
334000 -47.499805
335000 -47.404694
336000 -47.404694
337000 -47.404694
338000 -47.404694
339000 -47.312624
340000 -47.312624
341000 -47.312624
342000 -47.312624
343000 -47.223724
344000 -47.223724
345000 -47.223724
346000 -47.223724
347000 -47.223724
348000 -47.135398
349000 -47.135398
350000 -47.135398
351000 -47.135398
352000 -47.046014
353000 -47.046014
354000 -47.046014
355000 -47.046014
356000 -46.953053
357000 -46.953053
358000 -46.953053
359000 -46.953053
360000 -46.855062
361000 -46.855062
362000 -46.855062
363000 -46.855062
364000 -46.771087
365000 -46.771087
366000 -46.771087
367000 -46.771087
368000 -46.771087
369000 -46.681153
370000 -46.681153
371000 -46.681153
372000 -46.681153
373000 -46.592286
374000 -46.592286
375000 -46.592286
376000 -46.592286
377000 -46.503830
378000 -46.503830
379000 -46.503830
380000 -46.503830
381000 -46.417016
382000 -46.417016
383000 -46.417016
384000 -46.417016
385000 -46.417016
386000 -46.330793
387000 -46.330793
388000 -46.330793
389000 -46.330793
390000 -46.242703
391000 -46.242703
392000 -46.242703
393000 -46.242703
394000 -46.155854
395000 -46.155854
396000 -46.155854
397000 -46.155854
398000 -46.068830
399000 -46.068830
400000 -46.068830
401000 -46.068830
402000 -46.068830
403000 -45.984692
404000 -45.984692
405000 -45.984692
406000 -45.984692
407000 -45.897269
408000 -45.897269
409000 -45.897269
410000 -45.897269
411000 -45.816143
412000 -45.816143
413000 -45.816143
414000 -45.816143
415000 -45.816143
416000 -45.731003
417000 -45.731003
418000 -45.731003
419000 -45.731003
420000 -45.640398
421000 -45.640398
422000 -45.640398
423000 -45.640398
424000 -45.562941
425000 -45.562941
426000 -45.562941
427000 -45.562941
428000 -45.477122
429000 -45.477122
430000 -45.477122
431000 -45.477122
432000 -45.477122
433000 -45.391266
