trajectory performance
1000 -56.666667
2000 -56.666667
3000 -56.666667
4000 -56.666667
5000 -56.666667
6000 -56.666667
7000 -56.666667
8000 -56.666667
9000 -56.666667
10000 -56.666667
11000 -56.666667
12000 -56.666667
13000 -56.666667
14000 -56.666667
15000 -56.666667
16000 -56.666667
17000 -56.666667
18000 -56.666667
19000 -56.666667
20000 -56.666667
21000 -56.666667
22000 -56.666667
23000 -56.666667
24000 -56.666667
25000 -56.666667
26000 -56.666667
27000 -56.666667
28000 -56.666667
29000 -56.666667
30000 -56.477611
31000 -56.477611
32000 -56.477611
33000 -56.477611
34000 -56.477611
35000 -56.477611
36000 -56.477611
37000 -56.477611
38000 -56.477611
39000 -56.477611
40000 -56.477611
41000 -56.477611
42000 -56.477611
43000 -56.477611
44000 -56.477611
45000 -56.477611
46000 -56.477611
47000 -56.477611
48000 -56.477611
49000 -56.477611
50000 -56.477611
51000 -56.477611
52000 -56.477611
53000 -56.477611
54000 -56.477611
55000 -56.477611
56000 -56.477611
57000 -56.477611
58000 -56.334589
59000 -56.334589
60000 -56.334589
61000 -56.334589
62000 -56.334589
63000 -56.334589
64000 -56.334589
65000 -56.334589
66000 -56.334589
67000 -56.334589
68000 -56.334589
69000 -56.334589
70000 -56.334589
71000 -56.334589
72000 -56.334589
73000 -56.334589
74000 -56.334589
75000 -56.334589
76000 -56.334589
77000 -56.334589
78000 -56.334589
79000 -56.334589
80000 -56.334589
81000 -56.334589
82000 -56.334589
83000 -56.334589
84000 -56.183899
85000 -56.183899
86000 -56.183899
87000 -56.183899
88000 -56.183899
89000 -56.183899
90000 -56.183899
91000 -56.183899
92000 -56.183899
93000 -56.183899
94000 -56.183899
95000 -56.183899
96000 -56.183899
97000 -56.183899
98000 -56.183899
99000 -56.183899
100000 -56.183899
101000 -56.183899
102000 -56.183899
103000 -56.183899
104000 -56.183899
105000 -56.183899
106000 -56.183899
107000 -56.183899
108000 -56.183899
109000 -56.183899
110000 -56.183899
111000 -56.183899
112000 -56.049492
113000 -56.049492
114000 -56.049492
115000 -56.049492
116000 -56.049492
117000 -56.049492
118000 -56.049492
119000 -56.049492
120000 -56.049492
121000 -56.049492
122000 -56.049492
123000 -56.049492
124000 -56.049492
125000 -56.049492
126000 -56.049492
127000 -56.049492
128000 -56.049492
129000 -56.049492
130000 -56.049492
131000 -56.049492
132000 -56.049492
133000 -56.049492
134000 -56.049492
135000 -56.049492
136000 -56.049492
137000 -56.049492
138000 -56.049492
139000 -55.908695
140000 -55.908695
141000 -55.908695
142000 -55.908695
143000 -55.908695
144000 -55.908695
145000 -55.908695
146000 -55.908695
147000 -55.908695
148000 -55.908695
149000 -55.908695
150000 -55.908695
151000 -55.908695
152000 -55.908695
153000 -55.908695
154000 -55.908695
155000 -55.908695
156000 -55.908695
157000 -55.908695
158000 -55.908695
159000 -55.908695
160000 -55.908695
161000 -55.908695
162000 -55.908695
163000 -55.908695
164000 -55.908695
165000 -55.908695
166000 -55.908695
167000 -55.772903
168000 -55.772903
169000 -55.772903
170000 -55.772903
171000 -55.772903
172000 -55.772903
173000 -55.772903
174000 -55.772903
175000 -55.772903
176000 -55.772903
177000 -55.772903
178000 -55.772903
179000 -55.772903
180000 -55.772903
181000 -55.772903
182000 -55.772903
183000 -55.772903
184000 -55.772903
185000 -55.772903
186000 -55.772903
187000 -55.772903
188000 -55.772903
189000 -55.772903
190000 -55.772903
191000 -55.772903
192000 -55.772903
193000 -55.772903
194000 -55.772903
195000 -55.772903
196000 -55.637839
197000 -55.637839
198000 -55.637839
199000 -55.637839
200000 -55.637839
201000 -55.637839
202000 -55.637839
203000 -55.637839
204000 -55.637839
205000 -55.637839
206000 -55.637839
207000 -55.637839
208000 -55.637839
209000 -55.637839
210000 -55.637839
211000 -55.637839
212000 -55.637839
213000 -55.637839
214000 -55.637839
215000 -55.637839
216000 -55.637839
217000 -55.637839
218000 -55.637839
219000 -55.637839
220000 -55.637839
221000 -55.637839
222000 -55.637839
223000 -55.637839
224000 -55.502740
225000 -55.502740
226000 -55.502740
227000 -55.502740
228000 -55.502740
229000 -55.502740
230000 -55.502740
231000 -55.502740
232000 -55.502740
233000 -55.502740
234000 -55.502740
235000 -55.502740
236000 -55.502740
237000 -55.502740
238000 -55.502740
239000 -55.502740
240000 -55.502740
241000 -55.502740
242000 -55.502740
243000 -55.502740
244000 -55.502740
245000 -55.502740
246000 -55.502740
247000 -55.502740
248000 -55.502740
249000 -55.502740
250000 -55.502740
251000 -55.502740
252000 -55.367880
253000 -55.367880
254000 -55.367880
255000 -55.367880
256000 -55.367880
257000 -55.367880
258000 -55.367880
259000 -55.367880
260000 -55.367880
261000 -55.367880
262000 -55.367880
263000 -55.367880
264000 -55.367880
265000 -55.367880
266000 -55.367880
267000 -55.367880
268000 -55.367880
269000 -55.367880
270000 -55.367880
271000 -55.367880
272000 -55.367880
273000 -55.367880
274000 -55.367880
275000 -55.367880
276000 -55.367880
277000 -55.367880
278000 -55.367880
279000 -55.367880
280000 -55.367880
281000 -55.367880
282000 -55.239566
283000 -55.239566
284000 -55.239566
285000 -55.239566
286000 -55.239566
287000 -55.239566
288000 -55.239566
289000 -55.239566
290000 -55.239566
291000 -55.239566
292000 -55.239566
293000 -55.239566
294000 -55.239566
295000 -55.239566
296000 -55.239566
297000 -55.239566
298000 -55.239566
299000 -55.239566
300000 -55.239566
301000 -55.239566
302000 -55.239566
303000 -55.239566
304000 -55.239566
305000 -55.239566
306000 -55.239566
307000 -55.239566
308000 -55.090557
309000 -55.090557
310000 -55.090557
311000 -55.090557
312000 -55.090557
313000 -55.090557
314000 -55.090557
315000 -55.090557
316000 -55.090557
317000 -55.090557
318000 -55.090557
319000 -55.090557
320000 -55.090557
321000 -55.090557
322000 -55.090557
323000 -55.090557
324000 -55.090557
325000 -55.090557
326000 -55.090557
327000 -55.090557
328000 -55.090557
329000 -55.090557
330000 -55.090557
331000 -55.090557
332000 -55.090557
333000 -55.090557
334000 -55.090557
335000 -54.959636
336000 -54.959636
337000 -54.959636
338000 -54.959636
339000 -54.959636
340000 -54.959636
341000 -54.959636
342000 -54.959636
343000 -54.959636
344000 -54.959636
345000 -54.959636
346000 -54.959636
347000 -54.959636
348000 -54.959636
349000 -54.959636
350000 -54.959636
351000 -54.959636
352000 -54.959636
353000 -54.959636
354000 -54.959636
355000 -54.959636
356000 -54.959636
357000 -54.959636
358000 -54.959636
359000 -54.959636
360000 -54.959636
361000 -54.959636
362000 -54.959636
363000 -54.827938
364000 -54.827938
365000 -54.827938
366000 -54.827938
367000 -54.827938
368000 -54.827938
369000 -54.827938
370000 -54.827938
371000 -54.827938
372000 -54.827938
373000 -54.827938
374000 -54.827938
375000 -54.827938
376000 -54.827938
377000 -54.827938
378000 -54.827938
379000 -54.827938
380000 -54.827938
381000 -54.827938
382000 -54.827938
383000 -54.827938
384000 -54.827938
385000 -54.827938
386000 -54.827938
387000 -54.827938
388000 -54.827938
389000 -54.689447
390000 -54.689447
391000 -54.689447
392000 -54.689447
393000 -54.689447
394000 -54.689447
395000 -54.689447
396000 -54.689447
397000 -54.689447
398000 -54.689447
399000 -54.689447
400000 -54.689447
401000 -54.689447
402000 -54.689447
403000 -54.689447
404000 -54.689447
405000 -54.689447
406000 -54.689447
407000 -54.689447
408000 -54.689447
409000 -54.689447
410000 -54.689447
411000 -54.689447
412000 -54.689447
413000 -54.689447
414000 -54.689447
415000 -54.689447
416000 -54.689447
417000 -54.561871
418000 -54.561871
419000 -54.561871
420000 -54.561871
421000 -54.561871
422000 -54.561871
423000 -54.561871
424000 -54.561871
425000 -54.561871
426000 -54.561871
427000 -54.561871
428000 -54.561871
429000 -54.561871
430000 -54.561871
431000 -54.561871
432000 -54.561871
433000 -54.561871
