trajectory performance
1000 -56.666667
2000 -55.710004
3000 -54.670051
4000 -54.196355
5000 -53.517013
6000 -52.325988
7000 -51.306934
8000 -50.597439
9000 -49.727144
10000 -48.621737
11000 -48.101712
12000 -47.446687
13000 -46.976617
14000 -46.368602
15000 -45.735836
16000 -45.176454
17000 -44.843115
18000 -44.192880
19000 -43.633284
20000 -43.225218
21000 -42.687784
22000 -42.429650
23000 -41.875668
24000 -41.486966
25000 -41.193856
26000 -40.742614
27000 -40.520402
28000 -40.112035
29000 -39.758429
30000 -39.205704
31000 -38.937895
32000 -38.297466
33000 -38.078901
34000 -37.730242
35000 -37.471163
36000 -37.113755
37000 -36.776469
38000 -36.518562
39000 -36.253776
40000 -35.989910
41000 -35.714155
42000 -35.407605
43000 -35.106744
44000 -34.821295
45000 -34.540050
46000 -34.317263
47000 -34.178617
48000 -34.178617
49000 -33.935398
50000 -33.674595
51000 -33.614920
52000 -33.443996
53000 -33.258294
54000 -33.019392
55000 -32.850710
56000 -32.611180
57000 -32.442901
58000 -32.210436
59000 -31.981531
60000 -31.900122
61000 -31.713770
62000 -31.529244
63000 -31.330223
64000 -31.180964
65000 -31.046418
66000 -30.904893
67000 -30.837233
68000 -30.660303
69000 -30.522552
70000 -30.378972
71000 -30.196198
72000 -30.055431
73000 -29.956926
74000 -29.793740
75000 -29.699480
76000 -29.624288
77000 -29.463614
78000 -29.309875
79000 -29.208434
80000 -29.017891
81000 -28.907364
82000 -28.704429
83000 -28.594429
84000 -28.534848
85000 -28.477496
86000 -28.383530
87000 -28.292341
88000 -28.120501
89000 -28.041647
90000 -27.958955
91000 -27.880729
92000 -27.782839
93000 -27.728054
94000 -27.618616
95000 -27.560991
96000 -27.463222
97000 -27.317362
98000 -27.186297
99000 -27.134761
100000 -27.057929
101000 -26.962515
102000 -26.847715
103000 -26.739809
104000 -26.673769
105000 -26.566655
106000 -26.496489
107000 -26.429574
108000 -26.326662
109000 -26.220930
110000 -26.147704
111000 -26.044211
112000 -25.991154
113000 -25.892513
114000 -25.847967
115000 -25.728098
116000 -25.635587
117000 -25.570991
118000 -25.522961
119000 -25.446955
120000 -25.374121
121000 -25.326198
122000 -25.243280
123000 -25.174676
124000 -25.119464
125000 -25.092801
126000 -25.010345
127000 -24.972919
128000 -24.944523
129000 -24.879750
130000 -24.830549
131000 -24.774904
132000 -24.719930
133000 -24.627440
134000 -24.591373
135000 -24.521470
136000 -24.454807
137000 -24.395212
138000 -24.357133
139000 -24.318760
140000 -24.268258
141000 -24.217851
142000 -24.165319
143000 -24.096219
144000 -24.046105
145000 -23.984116
146000 -23.949013
147000 -23.920430
148000 -23.898646
149000 -23.872342
150000 -23.872342
151000 -23.832317
152000 -23.796617
153000 -23.762783
154000 -23.707682
155000 -23.663887
156000 -23.619980
157000 -23.598525
158000 -23.543530
159000 -23.511465
160000 -23.462390
161000 -23.403823
162000 -23.379381
163000 -23.322018
164000 -23.288711
165000 -23.254887
166000 -23.210899
167000 -23.179746
168000 -23.124620
169000 -23.079973
170000 -23.073757
171000 -23.040753
172000 -23.007256
173000 -22.961470
174000 -22.941805
175000 -22.935971
176000 -22.897786
177000 -22.842688
178000 -22.797602
179000 -22.745362
180000 -22.708041
181000 -22.668185
182000 -22.637375
183000 -22.571851
184000 -22.521043
185000 -22.489792
186000 -22.461430
187000 -22.432098
188000 -22.429150
189000 -22.404626
190000 -22.399148
191000 -22.392428
192000 -22.350863
193000 -22.325445
194000 -22.275542
195000 -22.272055
196000 -22.251512
197000 -22.221544
198000 -22.192689
199000 -22.162859
200000 -22.132864
201000 -22.096559
202000 -22.058993
203000 -22.029064
204000 -21.993023
205000 -21.958384
206000 -21.930097
207000 -21.915539
208000 -21.875941
209000 -21.856853
210000 -21.831481
211000 -21.820902
212000 -21.806248
213000 -21.757845
214000 -21.733255
215000 -21.715086
216000 -21.678715
217000 -21.633548
218000 -21.629628
219000 -21.603111
220000 -21.561963
221000 -21.540648
222000 -21.511823
223000 -21.486801
224000 -21.474572
225000 -21.450449
226000 -21.412384
227000 -21.388679
228000 -21.365039
229000 -21.330424
230000 -21.290596
231000 -21.257958
232000 -21.226715
233000 -21.194434
234000 -21.181211
235000 -21.154477
236000 -21.135297
237000 -21.107852
238000 -21.080148
239000 -21.063574
240000 -21.058651
241000 -21.035610
242000 -21.022559
243000 -21.012401
244000 -20.989275
245000 -20.946186
246000 -20.938627
247000 -20.920201
248000 -20.897017
249000 -20.876084
250000 -20.862394
251000 -20.823278
252000 -20.795826
253000 -20.781381
254000 -20.747768
255000 -20.718341
256000 -20.699535
257000 -20.690923
258000 -20.657982
259000 -20.638241
260000 -20.616484
261000 -20.587139
262000 -20.574684
263000 -20.546135
264000 -20.527774
265000 -20.497260
266000 -20.462289
267000 -20.436977
268000 -20.421468
269000 -20.383981
270000 -20.358769
271000 -20.355268
272000 -20.322804
273000 -20.307252
274000 -20.293822
275000 -20.273930
276000 -20.245368
277000 -20.235286
278000 -20.232017
279000 -20.213393
280000 -20.199957
281000 -20.173099
282000 -20.170479
283000 -20.163353
284000 -20.141031
285000 -20.117512
286000 -20.089055
287000 -20.070560
288000 -20.052723
289000 -20.042405
290000 -20.030334
291000 -20.020029
292000 -20.005948
293000 -19.980327
294000 -19.969318
295000 -19.949250
296000 -19.938743
297000 -19.921614
298000 -19.901938
299000 -19.881926
300000 -19.873039
301000 -19.853017
302000 -19.845230
303000 -19.831334
304000 -19.806682
305000 -19.796467
306000 -19.782687
307000 -19.765034
308000 -19.747388
309000 -19.737369
310000 -19.727580
311000 -19.721299
312000 -19.710261
313000 -19.689835
314000 -19.666872
315000 -19.643896
316000 -19.633758
317000 -19.627567
318000 -19.610596
319000 -19.588070
320000 -19.584443
321000 -19.584443
322000 -19.572471
323000 -19.542297
324000 -19.533118
325000 -19.530635
326000 -19.527002
327000 -19.505188
328000 -19.490506
329000 -19.472438
330000 -19.457685
331000 -19.448760
332000 -19.443381
333000 -19.433969
334000 -19.415200
335000 -19.395021
336000 -19.380356
337000 -19.371762
338000 -19.361998
339000 -19.344176
340000 -19.330022
341000 -19.326297
342000 -19.322571
343000 -19.314610
344000 -19.298779
345000 -19.286581
346000 -19.264527
347000 -19.252132
348000 -19.236847
349000 -19.227666
350000 -19.205974
351000 -19.197553
352000 -19.191715
353000 -19.183012
354000 -19.164642
355000 -19.149878
356000 -19.148333
357000 -19.143162
358000 -19.131775
359000 -19.118987
360000 -19.105842
361000 -19.094532
362000 -19.085149
363000 -19.083069
364000 -19.077402
365000 -19.064797
366000 -19.063801
367000 -19.063801
368000 -19.063801
369000 -19.052550
370000 -19.052550
371000 -19.049394
372000 -19.038096
373000 -19.025924
374000 -19.011302
375000 -18.997533
376000 -18.986783
377000 -18.976148
378000 -18.958186
379000 -18.955388
380000 -18.945693
381000 -18.940598
382000 -18.934851
383000 -18.933032
384000 -18.920853
385000 -18.911571
386000 -18.897119
387000 -18.888208
388000 -18.885295
389000 -18.878930
390000 -18.876390
391000 -18.871303
392000 -18.853867
393000 -18.845106
394000 -18.836879
395000 -18.832476
396000 -18.817213
397000 -18.808339
398000 -18.808339
399000 -18.799669
400000 -18.784563
401000 -18.776291
402000 -18.758193
403000 -18.758193
404000 -18.750514
405000 -18.750514
406000 -18.741210
407000 -18.731088
408000 -18.715978
409000 -18.708842
410000 -18.693778
411000 -18.688006
412000 -18.673191
413000 -18.670114
414000 -18.661682
415000 -18.646614
416000 -18.633446
417000 -18.624564
