trajectory performance
1000 -56.666667
2000 -56.666667
3000 -56.666667
4000 -56.666667
5000 -56.666667
6000 -56.666667
7000 -56.666667
8000 -56.666667
9000 -56.666667
10000 -56.666667
11000 -56.666667
12000 -56.666667
13000 -56.666667
14000 -56.666667
15000 -56.666667
16000 -56.666667
17000 -56.666667
18000 -56.666667
19000 -56.666667
20000 -56.666667
21000 -56.666667
22000 -56.666667
23000 -56.666667
24000 -56.666667
25000 -56.666667
26000 -56.666667
27000 -56.666667
28000 -56.666667
29000 -56.666667
30000 -56.666667
31000 -56.666667
32000 -56.666667
33000 -56.666667
34000 -56.666667
35000 -56.666667
36000 -56.666667
37000 -56.666667
38000 -56.666667
39000 -56.666667
40000 -56.666667
41000 -56.666667
42000 -56.666667
43000 -56.666667
44000 -56.666667
45000 -56.666667
46000 -56.666667
47000 -56.666667
48000 -56.666667
49000 -56.666667
50000 -56.666667
51000 -56.666667
52000 -56.666667
53000 -56.666667
54000 -56.666667
55000 -56.666667
56000 -56.666667
57000 -56.666667
58000 -56.666667
59000 -56.666667
60000 -56.666667
61000 -56.666667
62000 -56.666667
63000 -56.666667
64000 -56.666667
65000 -56.666667
66000 -56.666667
67000 -56.666667
68000 -56.666667
69000 -56.666667
70000 -56.666667
71000 -56.666667
72000 -56.666667
73000 -56.666667
74000 -56.666667
75000 -56.380136
76000 -56.380136
77000 -56.380136
78000 -56.380136
79000 -56.380136
80000 -56.380136
81000 -56.380136
82000 -56.380136
83000 -56.380136
84000 -56.380136
85000 -56.380136
86000 -56.380136
87000 -56.380136
88000 -56.380136
89000 -56.380136
90000 -56.380136
91000 -56.380136
92000 -56.380136
93000 -56.380136
94000 -56.380136
95000 -56.380136
96000 -56.380136
97000 -56.380136
98000 -56.380136
99000 -56.380136
100000 -56.380136
101000 -56.380136
102000 -56.380136
103000 -56.380136
104000 -56.380136
105000 -56.380136
106000 -56.380136
107000 -56.380136
108000 -56.380136
109000 -56.380136
110000 -56.380136
111000 -56.380136
112000 -56.380136
113000 -56.380136
114000 -56.380136
115000 -56.380136
116000 -56.380136
117000 -56.380136
118000 -56.380136
119000 -56.380136
120000 -56.380136
121000 -56.380136
122000 -56.380136
123000 -56.380136
124000 -56.380136
125000 -56.380136
126000 -56.380136
127000 -56.380136
128000 -56.380136
129000 -56.380136
130000 -56.380136
131000 -56.380136
132000 -56.380136
133000 -56.380136
134000 -56.380136
135000 -56.380136
136000 -56.380136
137000 -56.380136
138000 -56.380136
139000 -56.380136
140000 -56.380136
141000 -56.380136
142000 -56.380136
143000 -56.380136
144000 -56.380136
145000 -56.380136
146000 -56.380136
147000 -56.380136
148000 -56.380136
149000 -56.380136
150000 -56.380136
151000 -56.380136
152000 -56.380136
153000 -56.380136
154000 -56.380136
155000 -56.380136
156000 -56.380136
157000 -56.380136
158000 -56.380136
159000 -56.380136
160000 -56.380136
161000 -56.252263
162000 -56.252263
163000 -56.252263
164000 -56.252263
165000 -56.252263
166000 -56.252263
167000 -56.252263
168000 -56.252263
169000 -56.252263
170000 -56.252263
171000 -56.252263
172000 -56.252263
173000 -56.252263
174000 -56.252263
175000 -56.252263
176000 -56.252263
177000 -56.252263
178000 -56.252263
179000 -56.252263
180000 -56.252263
181000 -56.252263
182000 -56.252263
183000 -56.252263
184000 -56.252263
185000 -56.252263
186000 -56.252263
187000 -56.252263
188000 -56.252263
189000 -56.252263
190000 -56.252263
191000 -56.252263
192000 -56.252263
193000 -56.252263
194000 -56.252263
195000 -56.252263
196000 -56.252263
197000 -56.252263
198000 -56.252263
199000 -56.252263
200000 -56.252263
201000 -56.252263
202000 -56.252263
203000 -56.252263
204000 -56.252263
205000 -56.252263
206000 -56.252263
207000 -56.252263
208000 -56.252263
209000 -56.252263
210000 -56.252263
211000 -56.252263
212000 -56.252263
213000 -56.252263
214000 -56.252263
215000 -56.252263
216000 -56.252263
217000 -56.252263
218000 -56.252263
219000 -56.252263
220000 -56.252263
221000 -56.252263
222000 -56.252263
223000 -56.252263
224000 -56.252263
225000 -56.252263
226000 -56.252263
227000 -56.252263
228000 -56.252263
229000 -56.252263
230000 -56.252263
231000 -56.252263
232000 -56.252263
233000 -56.252263
234000 -56.252263
235000 -56.252263
236000 -56.252263
237000 -56.252263
238000 -56.252263
239000 -56.252263
240000 -56.252263
241000 -56.252263
242000 -56.252263
243000 -56.252263
244000 -56.252263
245000 -56.252263
246000 -56.111609
247000 -56.111609
248000 -56.111609
249000 -56.111609
250000 -56.111609
251000 -56.111609
252000 -56.111609
253000 -56.111609
254000 -56.111609
255000 -56.111609
256000 -56.111609
257000 -56.111609
258000 -56.111609
259000 -56.111609
260000 -56.111609
261000 -56.111609
262000 -56.111609
263000 -56.111609
264000 -56.111609
265000 -56.111609
266000 -56.111609
267000 -56.111609
268000 -56.111609
269000 -56.111609
270000 -56.111609
271000 -56.111609
272000 -56.111609
273000 -56.111609
274000 -56.111609
275000 -56.111609
276000 -56.111609
277000 -56.111609
278000 -56.111609
279000 -56.111609
280000 -56.111609
281000 -56.111609
282000 -56.111609
283000 -56.111609
284000 -56.111609
285000 -56.111609
286000 -56.111609
287000 -56.111609
288000 -56.111609
289000 -56.111609
290000 -56.111609
291000 -56.111609
292000 -56.111609
293000 -56.111609
294000 -56.111609
295000 -56.111609
296000 -56.111609
297000 -56.111609
298000 -56.111609
299000 -56.111609
300000 -56.111609
301000 -56.111609
302000 -56.111609
303000 -56.111609
304000 -56.111609
305000 -56.111609
306000 -56.111609
307000 -56.111609
308000 -56.111609
309000 -56.111609
310000 -56.111609
311000 -56.111609
312000 -56.111609
313000 -56.111609
314000 -56.111609
315000 -56.111609
316000 -56.111609
317000 -56.111609
318000 -56.111609
319000 -56.111609
320000 -56.111609
321000 -56.111609
322000 -56.111609
323000 -56.111609
324000 -56.111609
325000 -56.111609
326000 -56.111609
327000 -56.111609
328000 -56.111609
329000 -56.111609
330000 -55.968836
331000 -55.968836
332000 -55.968836
333000 -55.968836
334000 -55.968836
335000 -55.968836
336000 -55.968836
337000 -55.968836
338000 -55.968836
339000 -55.968836
340000 -55.968836
341000 -55.968836
342000 -55.968836
343000 -55.968836
344000 -55.968836
345000 -55.968836
346000 -55.968836
347000 -55.968836
348000 -55.968836
349000 -55.968836
350000 -55.968836
351000 -55.968836
352000 -55.968836
353000 -55.968836
354000 -55.968836
355000 -55.968836
356000 -55.968836
357000 -55.968836
358000 -55.968836
359000 -55.968836
360000 -55.968836
361000 -55.968836
362000 -55.968836
363000 -55.968836
364000 -55.968836
365000 -55.968836
366000 -55.968836
367000 -55.968836
368000 -55.968836
369000 -55.968836
370000 -55.968836
371000 -55.968836
372000 -55.968836
373000 -55.968836
374000 -55.968836
375000 -55.968836
376000 -55.968836
377000 -55.968836
378000 -55.968836
379000 -55.968836
380000 -55.968836
381000 -55.968836
382000 -55.968836
383000 -55.968836
384000 -55.968836
385000 -55.968836
386000 -55.968836
387000 -55.968836
388000 -55.968836
389000 -55.968836
390000 -55.968836
391000 -55.968836
392000 -55.968836
393000 -55.968836
394000 -55.968836
395000 -55.968836
396000 -55.968836
397000 -55.968836
398000 -55.968836
399000 -55.968836
400000 -55.968836
401000 -55.968836
402000 -55.968836
403000 -55.968836
404000 -55.968836
405000 -55.968836
406000 -55.968836
407000 -55.968836
408000 -55.968836
409000 -55.968836
410000 -55.968836
411000 -55.968836
412000 -55.968836
413000 -55.968836
414000 -55.968836
415000 -55.830245
416000 -55.830245
417000 -55.830245
418000 -55.830245
419000 -55.830245
420000 -55.830245
421000 -55.830245
422000 -55.830245
423000 -55.830245
424000 -55.830245
425000 -55.830245
426000 -55.830245
427000 -55.830245
428000 -55.830245
429000 -55.830245
430000 -55.830245
431000 -55.830245
432000 -55.830245
433000 -55.830245
