Return1 Return2 Return3 Return4
-0.02 -0.13 -0.13 -0.13
0.03 0.01 -0.1 -0.1
-0.01 0.02 0.0 -0.11
0.07 0.06 0.09 0.07
0.00999999999999 0.08 0.07 0.1
-0.02 -0.01 0.06 0.05
0.03 0.01 0.02 0.09
0.01 0.04 0.02 0.03
0.0 0.01 0.04 0.02
0.00999999999999 0.00999999999999 0.02 0.05
0.02 0.03 0.03 0.04
0.0 0.02 0.03 0.03
0.02 0.02 0.04 0.05
0.0 0.02 0.02 0.04
0.0 0.0 0.02 0.02
0.02 0.02 0.02 0.04
-0.00999999999999 0.01 0.01 0.01
0.0 -0.00999999999999 0.01 0.01
0.0 0.0 -0.00999999999999 0.01
0.0 0.0 0.0 -0.00999999999999
0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0
0.03 0.03 0.03 0.03
0.0 0.03 0.03 0.03
-0.02 -0.02 0.00999999999999 0.00999999999999
0.0 -0.02 -0.02 0.00999999999999
-0.02 -0.02 -0.04 -0.04
-0.15 -0.17 -0.17 -0.19
0.0 -0.15 -0.17 -0.17
0.01 0.01 -0.14 -0.16
-0.01 0.0 0.0 -0.15
0.01 0.0 0.01 0.01
0.01 0.02 0.01 0.02
0.03 0.04 0.05 0.04
0.06 0.09 0.1 0.11
0.03 0.09 0.12 0.13
0.01 0.04 0.1 0.13
0.0 0.01 0.04 0.1
0.0 0.0 0.01 0.04
0.03 0.03 0.03 0.04
-0.01 0.02 0.02 0.02
-0.02 -0.03 0.0 0.0
-0.06 -0.08 -0.09 -0.06
-0.01 -0.07 -0.09 -0.1
0.03 0.02 -0.04 -0.06
0.03 0.06 0.05 -0.01
0.0 0.03 0.06 0.05
0.02 0.02 0.05 0.08
0.05 0.07 0.07 0.1
0.0 0.05 0.07 0.07
0.11 0.11 0.16 0.18
0.08 0.19 0.19 0.24
-0.03 0.05 0.16 0.16
