100 100000 2 0.5 10000000

1 0.000335112551171 -0.00314386225397 inf 0.996987666045 1000 [0.0007726785843260586, -0.014586486853659153, 0.8687412738800049]
2 0.00178342505107 -0.0066100176237 -0.00346615536973 0.995350384024 2000 [0.0007726785843260586, -0.014586486853659153, 0.8687416911125183]
3 0.000703365092173 -0.00259648117092 0.00401353645277 0.997144165998 3000 [0.0007726785843260586, -0.014586486853659153, 0.8687419295310974]
4 0.00617105648217 -0.00490638458078 -0.00230990340986 0.997013775936 4000 [0.0007726785843260586, -0.014586486853659153, 0.8687419891357422]
5 0.000292258271758 -0.000518692674928 0.00438769190585 1.00147888443 5000 [0.0007726785843260586, -0.014586486853659153, 0.8687421679496765]
6 0.00180447829381 -0.00140017091376 -0.000881478238835 0.999340218675 6000 [0.0007726785843260586, -0.014586486853659153, 0.8687421083450317]
7 0.000297924996284 -0.00404822634992 -0.00264805543616 0.995590408806 7000 [0.0007726785843260586, -0.014586486853659153, 0.8687419891357422]
8 0.000353099431902 -0.00475538391937 -0.000707157569448 0.994991797842 8000 [0.0007726785843260586, -0.014586486853659153, 0.868742048740387]
9 0.000512201645601 -0.0052737208406 -0.000518336921235 0.993438737403 9000 [0.0007726785843260586, -0.014586486853659153, 0.868742048740387]
10 0.00294399466141 -0.00392514309117 0.00134857774943 0.995473568025 10000 [0.0007726785843260586, -0.014586486853659153, 0.8687421083450317]
11 0.00185421362829 -0.00320063333368 0.000724509757488 0.996095450809 11000 [0.0007726785843260586, -0.014586486853659153, 0.8687419295310974]
12 0.000912947110293 -0.00189318850617 0.00130744482751 0.998447933098 12000 [0.0007726785843260586, -0.014586486853659153, 0.868742048740387]
13 6.98339852111e-06 -0.00264287862377 -0.000749690117604 0.997724395069 13000 [0.0007726785843260586, -0.014586486853659153, 0.8687421083450317]
14 0.0012344614634 -0.00160440331086 0.00103847531292 0.999147209634 14000 [0.000772493367549032, -0.014586486853659153, 0.8687421083450317]
15 2.52451884194e-05 -0.00265088161062 -0.00104647829976 0.998013638397 15000 [0.000772493367549032, -0.014586486853659153, 0.8687422275543213]
16 0.00104778329546 -0.0026678795939 -1.69979832889e-05 0.997340125238 16000 [0.000772493367549032, -0.014586486853659153, 0.8687422275543213]
17 0.00456797994328 -0.00283770419042 -0.00016982459652 0.997347064596 17000 [0.000772493367549032, -0.014586486853659153, 0.8687422871589661]
18 0.000287912776429 -0.00500817539545 -0.00217047120503 0.996179089207 18000 [0.000772493367549032, -0.014586486853659153, 0.8687421679496765]
19 0.00238147903247 -0.00270317182738 0.00230500356807 0.996664698636 19000 [0.000772493367549032, -0.014586486853659153, 0.8687421679496765]
20 0.00414906578828 -0.00247414716158 0.000229024665797 0.998081295066 20000 [0.000772493367549032, -0.014586486853659153, 0.868742048740387]
21 0.00150142021166 -0.00368237703676 -0.00120822987518 0.99604254756 21000 [0.000772493367549032, -0.014586486853659153, 0.8687419891357422]
22 0.00128888053539 -0.00466959495647 -0.000987217919708 0.995170611837 22000 [0.000772493367549032, -0.014586486853659153, 0.8687419295310974]
23 0.00176592652718 -0.00517127049185 -0.000501675535379 0.994598918104 23000 [0.000772493367549032, -0.014586486853659153, 0.8687418103218079]
24 0.00240448450992 -0.00492785748577 0.000243413006079 0.994261441484 24000 [0.000772493367549032, -0.014586486853659153, 0.8687416911125183]
25 9.28474611074e-05 -0.00413188068295 0.000795976802822 0.994810135744 25000 [0.000772493367549032, -0.014586486853659153, 0.8687416315078735]
