Open High Low Close Volume
235.25 235.3 235.16 235.25 144040.0
235.27 235.27 235.24 235.24 30637.0
235.11 235.26 235.1 235.26 69873.0
235.11 235.16 235.085 235.12 123847.0
235.08 235.16 235.06 235.11 70902.0
235.01 235.095 235.01 235.06 64639.0
235.06 235.1 235.02 235.03 76334.0
235.16 235.17 235.04 235.06 85349.0
235.14 235.19 235.09 235.15 52815.0
235.21 235.22 235.11 235.15 61695.0
235.27 235.29 235.19 235.2 67698.0
235.22 235.27 235.2 235.255 61695.0
235.25 235.26 235.17 235.22 31313.0
235.3 235.3 235.23 235.24 29325.0
235.27 235.3 235.27 235.28 21590.0
235.2 235.28 235.18 235.27 66100.0
235.23 235.25 235.18 235.2 27136.0
235.19 235.22 235.17 235.22 32006.0
235.17 235.22 235.15 235.2 62582.0
235.13 235.17 235.09 235.17 27374.0
235.09 235.15 235.08 235.13 75739.0
235.06 235.11 235.06 235.09 71082.0
235.09 235.14 235.055 235.06 42021.0
235.05 235.12 235.05 235.095 69599.0
234.97 235.05 234.91 235.05 126765.0
235.015 235.02 234.97 234.97 28528.0
235.06 235.06 235.01 235.02 27599.0
235.02 235.08 235.02 235.07 56579.0
235.01 235.03 234.98 235.02 71244.0
235.07 235.08 235.01 235.01 52578.0
235.1 235.13 235.07 235.07 24196.0
235.13 235.17 235.11 235.11 54786.0
235.07 235.135 235.07 235.12 22252.0
235.05 235.08 235.05 235.06 33717.0
235.05 235.05 234.98 235.05 60679.0
235.06 235.1 235.02 235.05 24983.0
235.09 235.105 235.04 235.05 38195.0
234.97 235.08 234.94 235.075 47153.0
235.0 235.03 234.94 234.985 35582.0
235.03 235.06 234.99 234.99 33966.0
235.065 235.07 235.02 235.03 30982.0
235.08 235.1 235.06 235.07 45179.0
235.01 235.09 234.99 235.09 29086.0
235.03 235.07 235.03 235.03 47193.0
235.08 235.11 235.03 235.03 27992.0
235.09 235.13 235.08 235.08 22808.0
235.13 235.14 235.1 235.1 15751.0
235.09 235.13 235.09 235.13 21173.0
235.13 235.145 235.1 235.1 33956.0
235.14 235.15 235.11 235.12 33830.0
235.16 235.17 235.14 235.14 39391.0
235.16 235.17 235.11 235.17 29052.0
235.14 235.18 235.14 235.155 41066.0
235.19 235.21 235.13 235.14 60406.0
235.21 235.21 235.19 235.19 19008.0
235.18 235.21 235.18 235.21 13737.0
235.11 235.185 235.1 235.185 20078.0
235.09 235.12 235.08 235.1 18702.0
235.1 235.12 235.09 235.09 12102.0
235.14 235.14 235.1 235.1 10483.0
235.045 235.14 235.04 235.14 32340.0
235.04 235.11 235.04 235.04 79511.0
235.05 235.06 235.02 235.04 24853.0
235.03 235.06 235.005 235.05 17626.0
235.05 235.08 235.04 235.04 12945.0
235.025 235.05 235.02 235.05 20000.0
