100 100000 2 0.5 10000000

1 0.00235917061571 -0.00417934608587 inf 0.995483622411 1000 [0.0007726785843260586, -0.014586486853659153, 0.8687412738800049]
2 0.000105728311104 -0.00325795181449 0.000921394271379 0.99697937585 100999 [0.0007726785843260586, -0.014586486853659153, 0.8687427639961243]
3 0.000104882372002 -0.00334279439734 -8.4842582851e-05 0.996806308637 200999 [0.0007726785843260586, -0.014586486853659153, 0.8687427639961243]
4 0.000362615591252 -0.00322887251812 0.000113921879219 0.996958832485 300999 [0.0007726785843260586, -0.014586486853659153, 0.8687427639961243]
5 0.000586809131584 -0.00321953641982 9.33609830462e-06 0.99689365206 400999 [0.0007726785843260586, -0.014586486853659153, 0.8687427639961243]
6 0.000334038628706 -0.00332831801289 -0.000108781593073 0.996823317847 500998 [0.0007726785843260586, -0.014586486853659153, 0.8687427043914795]
7 0.000506384434556 -0.00316844373699 0.000159874275907 0.997005037291 600998 [0.0007726785843260586, -0.014586486853659153, 0.8687427043914795]
8 0.000235314374683 -0.0032824578858 -0.000114014148812 0.996865957997 700997 [0.0007726785843260586, -0.014586486853659153, 0.8687426447868347]
9 4.8232894761e-05 -0.00321299209534 6.94657904523e-05 0.996916938037 800997 [0.0007726785843260586, -0.014586486853659153, 0.8687426447868347]
10 0.000216428892745 -0.00322360607931 -1.06139839646e-05 0.997087218165 900997 [0.0007726785843260586, -0.014586486853659153, 0.8687426447868347]
11 0.000352106767602 -0.00337560184211 -0.0001519957628 0.996641318367 1000997 [0.0007726785843260586, -0.014586486853659153, 0.8687426447868347]
