100 100000 2 0.5 10000000

1 0.000836105462388 -0.0029432844013 inf 0.997753690927 1000 [0.0007726785843260586, -0.014586486853659153, 0.8687412738800049]
2 0.000355762451526 -0.00336515823365 -0.000421873832342 0.996901180078 40371 [0.0007726785843260586, -0.014586486853659153, 0.8687406778335571]
3 8.01722981497e-05 -0.00329370727431 7.14509593307e-05 0.996708294537 140371 [0.0007726785843260586, -0.014586486853659153, 0.8687406778335571]
4 5.78888593201e-05 -0.00317592652132 0.000117780752992 0.997232141336 240371 [0.0007726785843260586, -0.014586486853659153, 0.8687406778335571]
5 4.79499749791e-05 -0.0032751864345 -9.92599131783e-05 0.996719848856 340371 [0.0007726785843260586, -0.014586486853659153, 0.8687406778335571]
6 0.00056985015254 -0.00321490606856 6.02803659372e-05 0.996767474831 440371 [0.0007726785843260586, -0.014586486853659153, 0.8687406778335571]
7 0.000180522024409 -0.00338150442569 -0.00016659835713 0.996700989846 457418 [0.0007726785843260586, -0.014586486853659153, 0.8687406182289124]
8 0.000251076404026 -0.0031917009614 0.000189803464293 0.996964188332 557418 [0.0007726785843260586, -0.014586486853659153, 0.8687406182289124]
9 9.60568677939e-05 -0.00329573777282 -0.000104036811417 0.996778914242 657418 [0.0007726785843260586, -0.014586486853659153, 0.8687406182289124]
10 0.000469987015063 -0.00325881387012 3.69239026983e-05 0.99688915294 757418 [0.0007726785843260586, -0.014586486853659153, 0.8687406182289124]
11 0.000437055856875 -0.00340401254787 -0.000145198677746 0.997007647979 770493 [0.0007726785843260586, -0.014586486853659153, 0.8687405586242676]
12 0.000210284645637 -0.00320323898611 0.000200773561753 0.997124466377 870493 [0.0007726785843260586, -0.014586486853659153, 0.8687405586242676]
13 0.000466988242582 -0.00331782028173 -0.000114581295622 0.996653475321 970493 [0.0007726785843260586, -0.014586486853659153, 0.8687405586242676]
14 0.00120621714777 -0.00360838807734 -0.000290567795602 0.996006906291 985338 [0.0007726785843260586, -0.014586486853659153, 0.8687404990196228]
15 0.000747072299131 -0.00310571814917 0.00050266992817 0.996991641534 994220 [0.0007726785843260586, -0.014586486853659153, 0.8687403798103333]
16 0.00013425275673 -0.00370460739137 -0.000598889242203 0.996627392797 1011097 [0.0007726785843260586, -0.014586486853659153, 0.8687403202056885]
